parameter,posterior_mean,posterior_median,posterior_sd,prior_sd,posterior_sd_over_prior_sd,q05,q95
mue,3.7634653885112628,3.760367211423814,0.22801038052907754,0.3373168947740387,0.6759530401873786,3.398868463159353,4.138845408762991
mui,2.8829651309410576,2.882938896717131,0.03171024017900294,0.26214588972554953,0.12096409450555029,2.863640622330755,2.8998452282309533
b,34.88514500448475,34.79924596250058,2.560119720551731,4.099186911246343,0.6245432999231879,30.811706393510104,39.178516047596936
tauA,1474.884622971581,1474.6847828388213,216.82092175058705,246.99044515932192,0.8778514553902118,1115.439664272368,1841.8471179401872
g_LK,0.04909969404863682,0.04934050261974335,0.004294846616901532,0.014433756729740645,0.29755570204755033,0.04400287315249443,0.053927694410085665
g_h,0.05104557527103584,0.051452417075634,0.008927864148649064,0.017320508075688773,0.5154504769510946,0.03690795585513115,0.06427585166692734
c_th2ctx,0.05218737500592316,0.052429208904504775,0.014497215318865506,0.021650635094610966,0.6695976933477573,0.030248171277344228,0.075
