feature,mean_within_theta_seed_variance,between_theta_variance,between_to_seed_variance_ratio
r_exc_mean_hz,0.0020212268277792008,0.013811224486906746,6.83308983291186
r_exc_std_hz,0.009156958928526986,0.08033185992974555,8.772766216028879
r_exc_relative_so_power,0.0008643400781625656,0.007546152926921014,8.730536877293487
r_exc_relative_sigma_power,4.6543714252142424e-06,1.995292827666425e-05,4.286922218663674
r_exc_so_peak_frequency_hz,0.007812500000000002,0.011776620370370371,1.507407407407407
r_exc_sigma_peak_frequency_hz,0.38802083333333337,0.519878472222222,1.3398210290827735
r_exc_spectral_entropy_0p5_20,5.276344781655028e-05,0.0008840073297268635,16.754161570343353
r_inh_mean_hz,0.08974910689012838,0.818253595819789,9.117122433558052
r_inh_std_hz,0.011106154651197287,0.10302231070398211,9.276145879426945
r_inh_relative_so_power,0.0014410143818744286,0.013859821514675567,9.61810075527985
r_inh_relative_sigma_power,3.883427880159115e-06,1.0321085640406745e-05,2.6577255864949554
r_inh_so_peak_frequency_hz,0.007812500000000002,0.010995370370370374,1.4074074074074077
r_inh_sigma_peak_frequency_hz,0.11718749999999999,0.5995370370370369,5.1160493827160485
r_inh_spectral_entropy_0p5_20,9.967636159083479e-05,0.001275675498924918,12.798174798569454
