feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
r_exc_mean_hz,0.04899183552586934,0.4804497691422407,0.8980292245465417,True
r_exc_std_hz,0.0956293541831082,0.5084701442481019,0.8119272974728542,True
r_exc_relative_so_power,0.5002297357221597,0.6531174875358698,0.23408920252700083,True
r_exc_relative_sigma_power,0.5751894332124157,1.1902638376820653,0.5167546765660405,True
r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
r_exc_sigma_peak_frequency_hz,2.0,2.6666666666666665,0.25,True
r_exc_spectral_entropy_0p5_20,0.14179120490997155,0.690941616065677,0.7947855482821378,True
r_inh_mean_hz,0.06747444651455178,0.5166498679191349,0.8694000507804005,True
r_inh_std_hz,0.0780070983692862,0.5333412823650847,0.8537388704970179,True
r_inh_relative_so_power,0.5398582533693288,0.7485746533494781,0.27881841716955436,True
r_inh_relative_sigma_power,0.5123385283702029,1.8409243828711035,0.7216949630646098,True
r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
r_inh_spectral_entropy_0p5_20,0.14372415822956955,0.8515489770434956,0.8312203265999245,True
