distribution,training_iqr_scaled_euclidean_distance
posterior_predictive,2.1305832567549734
posterior_predictive,1.522554604024016
posterior_predictive,2.6755989351291087
posterior_predictive,1.9118770133329088
posterior_predictive,3.0632056022390324
posterior_predictive,2.504713699225822
posterior_predictive,4.05039027965329
posterior_predictive,1.8932978856767182
posterior_predictive,0.8566258660094269
posterior_predictive,3.203180597775943
posterior_predictive,2.533498646482056
posterior_predictive,3.403072198537193
posterior_predictive,2.31925031191539
posterior_predictive,3.306513861133386
posterior_predictive,2.5636817879729086
posterior_predictive,1.7379017128928906
posterior_predictive,3.1800437285686414
posterior_predictive,3.0191877677306844
posterior_predictive,2.313601852824594
posterior_predictive,2.645750601332756
posterior_predictive,1.176706378204422
posterior_predictive,2.387357850671335
posterior_predictive,3.8803390865464404
posterior_predictive,2.310955425752748
posterior_predictive,3.4000286300218336
posterior_predictive,2.4212719586082745
posterior_predictive,3.2810463829575642
posterior_predictive,2.5843361565351066
posterior_predictive,1.523811650763965
posterior_predictive,1.171052513808909
posterior_predictive,3.3592721528526672
posterior_predictive,3.624935623369819
posterior_predictive,1.1111674431876848
posterior_predictive,2.835577640891791
posterior_predictive,3.2236857173209668
posterior_predictive,1.0861658429318284
posterior_predictive,2.7698351954762894
posterior_predictive,1.0551837895064775
posterior_predictive,2.4146039465234637
posterior_predictive,2.749667343994762
posterior_predictive,3.883151943588594
posterior_predictive,3.7392335679738617
posterior_predictive,2.6781480049972815
posterior_predictive,3.06422696811237
posterior_predictive,1.592574557510397
posterior_predictive,3.223774716244124
posterior_predictive,3.69302817413812
posterior_predictive,3.1576289854059936
posterior_predictive,2.143439168137831
posterior_predictive,1.657322666867869
posterior_predictive,2.942001673452201
posterior_predictive,1.1820334458566188
posterior_predictive,1.5560312680196917
posterior_predictive,1.8804863264492546
posterior_predictive,2.844131641209465
posterior_predictive,3.288516604131782
posterior_predictive,2.7667586215877438
posterior_predictive,3.258256809006717
posterior_predictive,2.3591586518503385
posterior_predictive,4.405607659340745
posterior_predictive,1.30069685443731
posterior_predictive,2.944350623948237
posterior_predictive,3.0820984924242727
posterior_predictive,1.3609144263756574
posterior_predictive,2.4403143003748227
posterior_predictive,2.564259379062534
posterior_predictive,2.66043267534852
posterior_predictive,1.92898116861769
posterior_predictive,3.3689292136985802
posterior_predictive,3.327909264055115
posterior_predictive,1.637747735676331
posterior_predictive,3.251161026348427
posterior_predictive,3.1796430513958187
posterior_predictive,3.360442639360142
posterior_predictive,4.337723740743167
posterior_predictive,1.609074246873979
posterior_predictive,2.850660378370683
posterior_predictive,1.6710814602221047
posterior_predictive,2.7837238393240433
posterior_predictive,2.6031673137409483
posterior_predictive,2.245128821494164
posterior_predictive,3.516883414441995
posterior_predictive,2.9388127590833535
posterior_predictive,0.8468671408633592
posterior_predictive,3.404119080956534
posterior_predictive,1.1301314388059516
posterior_predictive,3.0808231173637175
posterior_predictive,2.0926784709156983
posterior_predictive,3.17344249585899
posterior_predictive,2.615968314240941
posterior_predictive,1.15129032383254
posterior_predictive,3.2397578623375307
posterior_predictive,2.5322520457522497
posterior_predictive,2.8713215125250655
posterior_predictive,3.5318957609455204
posterior_predictive,2.2631930008041823
posterior_predictive,2.560258427821616
posterior_predictive,2.4157545315121727
posterior_predictive,1.619581416716819
posterior_predictive,4.28011296822132
posterior_predictive,3.0163912448639256
posterior_predictive,1.546005083034905
posterior_predictive,2.5028784968946036
posterior_predictive,3.1997956732504442
posterior_predictive,2.2318347257451676
posterior_predictive,3.996438377234311
posterior_predictive,1.066339748126987
posterior_predictive,3.0242201696079944
posterior_predictive,6.062966655913377
posterior_predictive,0.8933803198898177
posterior_predictive,4.741084514504648
posterior_predictive,3.147191114878092
posterior_predictive,3.9208899020760772
posterior_predictive,2.171181869872919
posterior_predictive,2.412416941170074
posterior_predictive,4.206419081256972
posterior_predictive,3.2915502971571526
posterior_predictive,3.0656707608679303
posterior_predictive,3.2086969155674745
posterior_predictive,3.3772141431378278
posterior_predictive,2.10703156736559
posterior_predictive,3.4262961997719708
posterior_predictive,1.2235276226499519
posterior_predictive,2.70379087383335
posterior_predictive,1.0343472501951605
posterior_predictive,1.7077593488883391
posterior_predictive,3.4864532900628515
posterior_predictive,1.9258158004094483
posterior_predictive,3.7757674836997865
posterior_predictive,2.8353186432633914
posterior_predictive,1.5880052483940348
posterior_predictive,3.6424871010024393
posterior_predictive,1.0956926026466136
posterior_predictive,2.7384277231767418
posterior_predictive,1.9277392689797346
