draw_index,role,simulator_seed,posterior_sample_seed,member_index,track
0,primary,9651010,9641010,3,7d
1,primary,9755739,9641010,3,7d
2,primary,9860468,9641010,3,7d
3,primary,9965197,9641010,3,7d
4,primary,10069926,9641010,3,7d
5,primary,10174655,9641010,3,7d
6,primary,10279384,9641010,3,7d
7,primary,10384113,9641010,3,7d
8,primary,10488842,9641010,3,7d
9,primary,10593571,9641010,3,7d
10,primary,10698300,9641010,3,7d
11,primary,10803029,9641010,3,7d
12,primary,10907758,9641010,3,7d
13,primary,11012487,9641010,3,7d
14,primary,11117216,9641010,3,7d
15,primary,11221945,9641010,3,7d
16,primary,11326674,9641010,3,7d
17,primary,11431403,9641010,3,7d
18,primary,11536132,9641010,3,7d
19,primary,11640861,9641010,3,7d
20,primary,11745590,9641010,3,7d
21,primary,11850319,9641010,3,7d
22,primary,11955048,9641010,3,7d
23,primary,12059777,9641010,3,7d
24,primary,12164506,9641010,3,7d
25,primary,12269235,9641010,3,7d
26,primary,12373964,9641010,3,7d
27,primary,12478693,9641010,3,7d
28,primary,12583422,9641010,3,7d
29,primary,12688151,9641010,3,7d
30,primary,12792880,9641010,3,7d
31,primary,12897609,9641010,3,7d
32,primary,13002338,9641010,3,7d
33,primary,13107067,9641010,3,7d
34,primary,13211796,9641010,3,7d
35,primary,13316525,9641010,3,7d
36,primary,13421254,9641010,3,7d
37,primary,13525983,9641010,3,7d
38,primary,13630712,9641010,3,7d
39,primary,13735441,9641010,3,7d
40,primary,13840170,9641010,3,7d
41,primary,13944899,9641010,3,7d
42,primary,14049628,9641010,3,7d
43,primary,14154357,9641010,3,7d
44,primary,14259086,9641010,3,7d
45,primary,14363815,9641010,3,7d
46,primary,14468544,9641010,3,7d
47,primary,14573273,9641010,3,7d
48,primary,14678002,9641010,3,7d
49,primary,14782731,9641010,3,7d
50,primary,14887460,9641010,3,7d
51,primary,14992189,9641010,3,7d
52,primary,15096918,9641010,3,7d
53,primary,15201647,9641010,3,7d
54,primary,15306376,9641010,3,7d
55,primary,15411105,9641010,3,7d
56,primary,15515834,9641010,3,7d
57,primary,15620563,9641010,3,7d
58,primary,15725292,9641010,3,7d
59,primary,15830021,9641010,3,7d
60,primary,15934750,9641010,3,7d
61,primary,16039479,9641010,3,7d
62,primary,16144208,9641010,3,7d
63,primary,16248937,9641010,3,7d
64,primary,16353666,9641010,3,7d
65,primary,16458395,9641010,3,7d
66,primary,16563124,9641010,3,7d
67,primary,16667853,9641010,3,7d
68,primary,16772582,9641010,3,7d
69,primary,16877311,9641010,3,7d
70,primary,16982040,9641010,3,7d
71,primary,17086769,9641010,3,7d
72,primary,17191498,9641010,3,7d
73,primary,17296227,9641010,3,7d
74,primary,17400956,9641010,3,7d
75,primary,17505685,9641010,3,7d
76,primary,17610414,9641010,3,7d
77,primary,17715143,9641010,3,7d
78,primary,17819872,9641010,3,7d
79,primary,17924601,9641010,3,7d
80,primary,18029330,9641010,3,7d
81,primary,18134059,9641010,3,7d
82,primary,18238788,9641010,3,7d
83,primary,18343517,9641010,3,7d
84,primary,18448246,9641010,3,7d
85,primary,18552975,9641010,3,7d
86,primary,18657704,9641010,3,7d
87,primary,18762433,9641010,3,7d
88,primary,18867162,9641010,3,7d
89,primary,18971891,9641010,3,7d
90,primary,19076620,9641010,3,7d
91,primary,19181349,9641010,3,7d
92,primary,19286078,9641010,3,7d
93,primary,19390807,9641010,3,7d
94,primary,19495536,9641010,3,7d
95,primary,19600265,9641010,3,7d
