created_utc,track,estimator,training_scale,n_members,comparison_role,calibration_cases,local_posterior_samples,score_observed,null_q95,p_value,reject_alpha_0p05,classifier_seed,runtime_s,classifier_sha256,preregistration_hash,note
2026-08-02T03:34:22.400051+00:00,8d,ensemble,8192,1,ensemble_asymmetric_scale_contrast,20000,10000,0.21966405099775815,0.01984710990113845,0.0,True,9733265,3428.7768561001867,a1982d337fea5dfd50a122c80b75db33349ccc4042d08529f5e97390253c594c,a4eb07b24f84454ae85b3321c920d5f50d452d6314a3db96b5532d468c4eba60,8192 has K=1 (ensemble≡member_1); 32768 has K=5. Asymmetric descriptive scale contrast only — not a causal n_sim effect claim.
2026-08-02T04:32:20.097391+00:00,8d,member_1,8192,1,single_estimator_matched,20000,10000,0.19037973390007237,0.04888330629381431,0.0,True,9734274,3477.344403400086,0e69f84f23faf4b1e293fb5ea6c23d4cf5dd3cd232e26215b82f07e1220e72dd,a4eb07b24f84454ae85b3321c920d5f50d452d6314a3db96b5532d468c4eba60,8192 has K=1 (ensemble≡member_1); 32768 has K=5. Asymmetric descriptive scale contrast only — not a causal n_sim effect claim.
