sample_id_a,sample_id_b,theta_rms_distance,x_distance,x_to_noise_ratio,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
629,1767,0.4201035822526262,0.1692445979063198,0.07343061174149652,0.48218280635774136,0.011208639480173449,-0.0018966076895595152,0.6634945143014193,0.5705020679160953,0.035549494437873363,0.11581683997064829,-0.6315788011997938
708,2036,0.29574007896935833,0.17720365175967648,0.07688382797743804,-0.08634918555617332,0.008534416556358115,-0.07118318136781471,-0.07594682835042488,-0.1038006581366061,0.5535374181345105,0.09757586289197206,0.5955117726698518
582,1874,0.2699545163348138,0.18805777284274483,0.08159313486761809,0.2987795416265727,0.011752053163946008,0.021956937387585695,0.2804868137463927,0.3666762439534068,-0.05025460384786129,0.44482779782265425,-0.28212139103561634
311,365,0.3029592832384171,0.21981260407704778,0.0953706894373275,-0.3171968199312688,0.01910802070051451,-0.09381892532110181,-0.39744396321475517,-0.24863772280514224,0.06877807527780544,0.05573919788002968,-0.6299793533980848
302,532,0.4157026012721024,0.23103859557501524,0.10024134075085937,0.5296131344512102,0.026171782054007053,0.06407497730106104,0.5765487449243665,-0.6227999879047275,-0.02804910112172354,-0.5687195612117649,0.22950296942144627
277,1745,0.33169203305562917,0.24972282721998734,0.10834791890214285,-0.21649336069822278,0.054174197837710686,-0.05968395527452203,-0.10591692011803416,0.04925628472119581,0.8195598078891634,0.31568173971027136,-0.20448136795312166
1604,1916,0.3416281186583864,0.27767965146013174,0.120477621898274,-0.14957768935710203,-0.08302132040262233,-0.1830722047016024,-0.047056037932634465,0.10094411019235827,-0.08725730609148719,0.3223390243947507,-0.8642779914662242
1460,1854,0.5563810756324141,0.27966896984946377,0.12134073285179535,-0.6705780122429129,0.024397226050496323,-0.03565842751413584,-0.646228667348623,-0.5983032211661337,0.6983915036544202,-0.2690923009067774,0.830179497599602
831,1755,0.3412177225297698,0.2861437472415896,0.12414996204241908,-0.24399398174136855,-0.02404897008091217,0.15830291900783777,-0.5315081728622317,0.2849576361477374,-0.43726516049355263,0.30785982124507427,-0.44337880052626116
1026,1412,0.38034191389654376,0.2883949591798055,0.12512670145879004,0.3327286243438724,-0.022968403995036635,-0.027934786863624717,0.5699651138857006,0.5765205230563878,-0.11048544663935922,0.5940866526216267,0.1512660076841713
11,211,0.2872559593676959,0.2911680827690388,0.12632988409570287,-0.10608748905360693,-0.05986658483743651,-0.07513501401990663,-0.16267912462353706,-0.5418303869664668,-0.2925088871270419,-0.4673071764409542,-0.12514768820255995
339,689,0.2814712470353393,0.29627890754586844,0.12854733147369202,-0.48013011272996664,0.03429029043763898,-0.1099054738879201,-0.5468145636841654,0.11675211694091547,-0.24139622692018747,-0.09091434720903635,-0.10418138094246399
723,1133,0.3049487432974675,0.30777032660984416,0.1335331445636478,-0.07969939708709739,-0.07762448210269211,0.05346948280930519,-0.14194567035883687,-0.2343741059303287,-0.36149337235838164,-0.3188133193179965,0.6490871766582131
159,349,0.4011670524810688,0.3141764361762067,0.13631258065886329,-0.550171509385109,-0.05454719625413424,-0.16166557371616352,-0.7451088773086667,-0.25131151266396023,0.015517772175371647,-0.3101315014064312,-0.4908290160819888
159,1529,0.5385324634727431,0.3155677322331685,0.1369162260445363,-0.8050038227811454,-0.08897549286484727,-0.2031269669532776,-0.9200361957773564,-0.29169687069952477,0.7914424305781722,0.15620972029864788,-0.20147727522999043
156,612,0.3101291816118137,0.3242867616034513,0.14069917491482362,0.11456748936325345,-0.04800583887845267,-0.14361488912254505,0.3394961226731539,0.37388214934617264,-0.0440915133804084,0.6288998210802674,0.28439557366073137
602,1822,0.31784408914543,0.33358772930006897,0.14473461094173048,-0.21381644345819895,0.061585662886500914,-0.2236100696027281,-0.005365302786231041,-0.6199850784614682,-0.4224763521924615,-0.36431088484823704,-0.1143163088709116
474,1682,0.2851994084264094,0.3372894670524457,0.14634069391883134,0.2216132748872044,0.052479264326393604,-0.03711233939975478,0.268431156873703,-0.02555500064045202,0.2832816923037172,0.08934533875435591,-0.6607013903558255
826,1372,0.3115810734438054,0.3392920837701973,0.147209574654095,0.3057957384735346,0.003298272378742806,-0.0021400107070805863,0.29217397887259733,-0.4151354692876338,0.05537269357591845,-0.6485028667375445,-0.042549213394522556
867,1655,0.36149337591493286,0.3406395049847893,0.14779418394316504,0.18562406860291947,-0.019530189223587232,-0.02586410380899906,0.3546450072899463,0.35305038560181845,-0.058067606762051804,0.4907262297347189,0.7178518483415248
953,1673,0.2546914950686245,0.3417040140760804,0.148256045383618,0.03999025002121892,-0.10221193730831174,0.05555640067905193,-0.08817676641047001,0.20481264963746082,-0.5729550467804074,-0.08226402010768652,-0.34502294007688766
278,1586,0.27904263437311155,0.342701246654801,0.1486887173814831,0.2341964794322845,0.08493698481470324,-0.1556115411221981,0.40357101149857033,-0.07811449840664875,0.3917931579053402,0.39939759857952595,-0.2337719909846783
1026,1468,0.3157194586657176,0.3427209466853724,0.14869726468706376,0.17430871445685658,0.027505447156727758,-0.1728985989466305,0.47293267585337156,0.08672135043889273,0.11493316851556301,0.3829598715528845,0.5876584080979228
836,1136,0.2924441953565309,0.3447648034184053,0.14958403833937056,0.15828070323914317,0.008956952020525821,0.2807153556495904,0.0335933780297637,0.12468072958290577,-0.19122575037181383,0.3584156334400177,0.6313096601516011
674,1304,0.36895932359006245,0.3448646970515844,0.14962737946035265,0.4160482417792082,0.030849771574139484,-0.11569259315729119,0.7378317359834908,0.4129598401486874,-0.2617319840937852,0.10984044801443818,-0.3257532501593232
1412,1468,0.2701397565893684,0.3449398794185652,0.14965999903739008,-0.15841990988701582,0.05047385115176439,-0.1449638120830058,-0.097032438032329,-0.48979917261749506,0.22541861515492223,-0.21112678106874222,0.43639240041375155
407,811,0.2776029118032569,0.3454462424477584,0.1498796961352999,-0.13459719624370323,0.06082059349864688,0.041023951023816674,-0.2832350954413414,-0.01728201564401377,-0.3328628484159708,-0.03639907110482454,0.6327441371977329
670,1734,0.27559174460473,0.34733585918790094,0.1506995492644523,0.14220913220196885,0.064101801253855,-0.02262800931930542,0.1832351339980959,-0.527396154589951,-0.010913574136793724,-0.20739213004708285,-0.4773987354710698
608,1228,0.476235082139093,0.3484128041875329,0.15116680630611395,-0.4585042977705596,-0.005375550128519535,-0.09833566658198825,-0.6348974145948887,-0.625524567440152,-0.2454239083454014,-0.4112919569015503,0.7554496387019753
488,740,0.40395195561304875,0.35349760826469184,0.1533729640127139,-0.0692327152937651,0.014161372557282337,0.0380809772759676,-0.15777604933828127,-0.2619550395756959,0.5526578966528176,-0.637503370642662,0.7025799332186579
1156,1404,0.335771296971482,0.3564125015880904,0.1546376566678782,-0.13868257962167269,0.04746622219681729,0.036379780620336394,-0.14128329046070587,-0.4324576025828719,0.5663025584071874,-0.07409239932894704,0.5881842439994216
359,1919,0.2886585048926323,0.3585746213865956,0.15557574143647165,0.11836855486035353,0.028766826726496414,0.03462714329361924,0.051849232986569294,0.15255697350949027,-0.6112746074795724,-0.1290807845070958,0.4840162266045812
1022,1614,0.42379794729499015,0.35925655761425684,0.15587161495317658,0.045286796055733936,-0.12193085812032234,0.33304477669298627,-0.18018527515232574,-0.6451630722731354,-0.23996502440422773,-0.7816880960017443,0.43781175650656223
756,924,0.2674850551412259,0.36132226988721994,0.15676787112774326,-0.0485030068084597,0.017603515647351964,0.08000727463513568,-0.20988083537667998,0.5516175711527467,0.4194737654179333,0.1793085178360343,0.08295031078159809
24,326,0.3658486941870927,0.3683006764941997,0.1597956112888506,-0.6616340111941101,-0.02811141312122334,-0.06883527711033827,-0.7287284331396223,0.07297523133456704,0.16147762257605797,0.12343290634453297,-0.22314301691949368
1571,1657,0.322379409200727,0.36830941092152586,0.15979940091847367,-0.4656418822705746,0.050235490314662345,-0.031913049519061876,-0.3975012879818678,-0.2506299484521148,-0.07185272127389908,-0.009222779422998435,-0.6204779930412769
1441,1571,0.4645575325152491,0.3699761997080396,0.16052257508031792,0.5652290238067508,-0.07131845690309985,-0.2158921845257284,0.8950344715267421,0.05733234435319895,0.6376636344939469,0.35821252036839724,0.12659059092402464
