target,metric,description,sham_mean,dose_-0.0500,dose_-0.0350,dose_-0.0200,dose_-0.0075,dose_+0.0075,dose_+0.0200,dose_+0.0350,dose_+0.0500
T1,so_peak_frequency_hz,Oscillation frequency / entrainment,0.4166666666666667,0.7999999999999999,0.7999999999999999,0.19999999999999996,0.49999999999999994,0.09999999999999991,0.0,-0.4,0.0
T2,so_rms_amplitude,Slow-oscillation amplitude,0.8464399147815892,-0.684362323283793,-0.678614908629833,-0.680037074834606,-0.32199069265521485,0.1509472725098053,0.23882533380453067,0.4416649096126207,0.5557204153157905
T3,so_density_per_min,Slow-oscillation density,20.0,1.0,1.1333333333333333,1.1666666666666667,0.5333333333333334,-0.033333333333333395,0.033333333333333395,0.2,0.3
T4,spindle_density_per_min,Spindle density,2.0,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667
T5,sigma_power,Spindle amplitude / power,0.0782584987041699,-0.9920096328479527,-0.9901118385783076,-0.827559791714893,-0.26296856635431537,0.07926170938535812,0.1814244976153637,0.026269818942195322,0.26857476775672445
T6,coupling_strength,SO-spindle coupling strength,0.3910415424559616,-0.6079306884224632,-0.7102946644040224,-0.6174190068415102,-0.27217256083126146,0.13874304807529395,0.13483583483072056,0.24590698584198847,0.25566096140071615
T7,preferred_phase_rad,Preferred phase / timing,-0.10301115420894186,-0.23771065554268078,-0.22628996324902803,-0.33136494926585364,-0.015426812570985271,0.021354785894127468,-0.006946905797520192,-0.03153364249631396,-0.04390976202870764
T8,state_transitions_per_min,Dynamical regime / state transition,27.333333333333332,2.853658536585366,2.9512195121951224,2.6829268292682933,1.3902439024390245,-0.5121951219512195,-0.5121951219512195,-0.5121951219512195,-0.4146341463414634
