seed,dose_mV_per_ms,condition,numerically_stable,cortical_min_hz,cortical_max_hz,thalamic_min_hz,thalamic_max_hz,elapsed_s,so_peak_frequency_hz,so_rms_amplitude,so_density_per_min,spindle_density_per_min,sigma_power,coupling_strength,preferred_phase_rad,state_transitions_per_min
11003,0.0,SHAM,True,7.313468247599272e-07,35.66510406503022,47.350169466413924,58.55532328434651,11.17819619178772,0.25,0.9685759697580485,20.0,2.0,0.14383944051676217,0.4722829357960769,-0.06251522991293655,12.0
22007,0.0,SHAM,True,1.4202636388539566e-06,34.126432294623164,47.76949757967548,57.68981910498514,6.363739967346191,0.375,0.9382245634797943,20.0,2.0,0.07652414250874165,0.478263468848236,-0.13621667234059873,12.0
33013,0.0,SHAM,True,9.139698340238403e-06,31.15714774201611,47.03210244046449,57.93333882208892,6.308877468109131,0.625,0.6325192111069247,20.0,2.0,0.01441191308700588,0.22257822272357186,-0.11029665915269588,58.0
11003,-0.0075,ACTIVE,True,9.223607685454383e-07,34.33664353678408,47.35022690491289,58.55528635556949,5.999104261398315,0.25,0.981298451683938,20.0,2.0,0.13002397705180418,0.4797527848403725,-0.06050057030828939,12.0
22007,-0.0075,ACTIVE,True,5.913691235365903e-06,31.592828082940894,47.769463181537304,57.68939350433642,6.097712755203247,0.75,0.6596934245265142,16.0,2.0,0.0418695709289026,0.32422630418616827,-0.21249220303560185,82.0
33013,-0.0075,ACTIVE,True,0.012191330072602436,1.4812224135139045,47.03700179304097,57.93227507781494,6.070963144302368,0.875,0.08069054477968068,56.0,0.0,0.0011433725039731153,0.049853204336407525,-0.08241954061171504,102.0
11003,0.0075,ACTIVE,True,7.939387513861146e-07,36.17820650495172,47.35007321988232,58.55535598583308,6.203112602233887,0.25,0.9542199825269007,22.0,2.0,0.12668717766667395,0.45640977767399654,-0.08970138901663399,12.0
22007,0.0075,ACTIVE,True,1.5495392076217895e-06,35.87355654604198,47.76953360565215,57.7128954962593,6.470547676086426,0.75,0.9676597693829588,18.0,0.0,0.0713118567146899,0.45168536106320745,-0.14671334915399808,12.0
33013,0.0075,ACTIVE,True,9.369732326912056e-07,33.34274917097414,47.032112197570726,57.93336358029512,6.475572347640991,0.375,1.0007433818740472,18.0,2.0,0.055385168874818896,0.4277923752038947,-0.008535192998690608,16.0
11003,-0.02,ACTIVE,True,4.179330471119116e-06,33.954279674715266,47.34987642707849,58.55526856408405,6.103253364562988,0.25,0.6962441583801664,16.0,2.0,0.038586019269718934,0.3505155280605598,-0.05801610995587825,86.0
22007,-0.02,ACTIVE,True,0.0074029197074477315,1.4995747492270934,47.76940234233461,57.68842670133706,6.098864316940308,0.375,0.048693386385931965,58.0,0.0,0.000900500405654303,0.03334663577722041,-1.3482048765885717,118.0
33013,-0.02,ACTIVE,True,0.010676859951621022,1.4596718526355648,47.03705568600069,57.93234261118672,6.340606927871704,0.875,0.06755062856469413,56.0,0.0,0.000998215774507264,0.06495302119930843,0.0038238336640633004,98.0
11003,0.02,ACTIVE,True,1.1090053948197746e-06,36.22225498935698,47.34983305858297,58.55537520999895,6.689161062240601,0.25,1.20368257284205,22.0,0.0,0.08942597452504704,0.4411638948606212,-0.19055196674419753,16.0
22007,0.02,ACTIVE,True,8.677995170394116e-07,37.87421570053647,47.76959718246247,57.87936034489715,6.278199911117554,0.75,1.0177205963669789,18.0,2.0,0.09854304787121643,0.4807961368610489,-0.05441347436394951,12.0
33013,0.02,ACTIVE,True,3.952729113910252e-06,37.28494934495484,47.0379575959699,57.93240739887307,6.144942283630371,0.25,0.9243704607153134,22.0,2.0,0.08940050015085611,0.4093438341378414,-0.08496479994963772,12.0
11003,-0.035,ACTIVE,True,1.2498222894258682e-06,32.026881741727095,47.350002557598344,58.55576966797632,6.444728374481201,1.0,0.7216223872193622,14.0,2.0,0.0007616918190155426,0.23049604265901677,-0.17581338317175507,104.0
22007,-0.035,ACTIVE,True,0.005935858159369191,1.1026188827177879,47.76933924674884,57.68745512414046,6.116947174072266,0.375,0.03842920040877285,58.0,0.0,0.0007264388024584344,0.0319086894813921,-0.8807088160589018,122.0
33013,-0.035,ACTIVE,True,0.00892172994941451,1.2524733295526067,47.0373819745594,57.93242508480204,6.270337343215942,0.875,0.05604792042617689,56.0,0.0,0.0008333673819444242,0.07745573172711036,0.050785623050914934,98.0
11003,0.035,ACTIVE,True,4.521790650048479e-07,37.43712416720229,47.34944925554026,58.55538956929513,6.3057050704956055,0.25,1.2350707098637026,22.0,2.0,0.07000866880502181,0.4888231410070644,-0.2559288000042873,16.0
22007,0.035,ACTIVE,True,1.2894369237643696e-06,35.3085445463847,47.76966329928812,57.680756626769345,6.561713695526123,0.25,1.2501342967953548,26.0,2.0,0.08746712676268802,0.4935905561472015,-0.04683479304484565,12.0
33013,0.035,ACTIVE,True,1.9414609266375175e-06,36.15157203847726,47.03795317908645,57.98240242593316,6.2451136112213135,0.25,1.1756431630492852,24.0,0.0,0.08346721031973958,0.4791904713466616,-0.10104997885599461,12.0
11003,-0.05,ACTIVE,True,4.245582177744466e-06,28.968285839934783,47.35010337036646,58.55571660802634,6.4829182624816895,1.0,0.7228313176524076,8.0,2.0,0.0006006853833437139,0.34113322637470167,-0.3852231912876428,108.0
22007,-0.05,ACTIVE,True,0.004859953191560577,0.8409540541310385,47.769279296326836,57.68658527877948,6.081789016723633,0.375,0.031965181555551926,56.0,0.0,0.0005872638005179173,0.03159681349205977,-0.7043685165475685,106.0
33013,-0.05,ACTIVE,True,0.007621383158590332,1.060047309112558,47.037669474631045,57.93251268218443,6.030052185058594,0.875,0.046708485336615806,56.0,0.0,0.0006879932283813742,0.0872161251800195,0.0709821870057052,102.0
11003,0.05,ACTIVE,True,2.834744507716194e-07,35.89288836981321,47.34885358419971,58.55629200790339,6.3700783252716064,0.75,1.2365475236450487,26.0,2.0,0.09128295286112895,0.48593001089431,-0.16783244581891302,20.0
22007,0.05,ACTIVE,True,1.6716115222788393e-06,37.14530658509299,47.76971711303248,57.68085286263354,6.121426343917847,0.25,1.2376821388791053,26.0,0.0,0.042195071619061296,0.45631251544591317,-0.129421333966242,12.0
33013,0.05,ACTIVE,True,1.2008504623292926e-06,38.072176204153585,47.03795691806651,57.93219126465406,6.283005237579346,0.25,1.4762419047674749,26.0,0.0,0.16435224597570652,0.5308042711033921,-0.14350959320095558,16.0
