theta_id_a,theta_id_b,theta_rms_distance,x_distance,noise_floor_q95,severity_ratio_x_to_noise,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
0,7,0.30730622156543486,1.8571884271658086,2.3048234774636587,0.8057833692363938,-0.11342116259038447,0.4461480891332034,0.2635021274909377,-0.15122998878359784,-0.18587078899145126,-0.3073336863890288,-0.3722721952944994,0.42859307024627924
0,15,0.37002622592349155,2.0630445549916225,2.3048234774636587,0.8950987245504365,0.07993000280112035,0.13269079010933688,0.5514172203838827,-0.3373229978606105,0.7476039333268999,0.16059366893023264,-0.1820950312539935,-0.18881548661738656
0,55,0.27807450282757984,2.1514128020212864,2.3048234774636587,0.9334392950512665,-0.05287118069827566,0.41382076498121034,0.47807087283581534,-0.011178603395819553,0.03401514608412981,-0.21485377848148346,-0.24591122940182686,0.32877380680292845
0,56,0.2734218700010478,0.6710002658286387,2.3048234774636587,0.2911287013472461,-0.1330975210294128,-0.2816141732037065,0.06925991084426686,-0.3572739968076346,0.291690720245242,-0.12456495035439719,0.06430424097925425,0.5136906430125237
0,67,0.28049491654825726,2.2464246376703936,2.3048234774636587,0.9746623373267918,-0.38247392233461136,0.4555845120921732,-0.0744886593893167,0.03311175759881757,0.3281689360737799,0.1519593633711338,0.24141192622482777,-0.2826030272990465
0,79,0.2514058784718828,2.2079260877531794,2.3048234774636587,0.957958867280756,0.05990293994545951,0.40481874253600847,0.3764167893677951,0.11818017251789592,-0.08511533960700035,-0.10353975556790818,0.1816232101991773,-0.3627182161435485
0,80,0.2591181369413738,1.8394894303738512,2.3048234774636587,0.7981042575972525,0.11313669383525847,0.004404028877616262,0.5007975297048692,-0.21976589038968064,0.36122345551848395,0.2321528233587743,0.1076649846509099,0.17103825509548187
0,84,0.3228116268680718,1.7462787624250347,2.3048234774636587,0.7576626928265786,-0.14368652179837216,-0.2348801642656324,0.018855127505958302,0.19182876497507106,0.6280303178355097,0.40784101746976387,0.396652833558619,0.05099633801728487
0,96,0.3568853400571663,2.238280818952117,2.3048234774636587,0.971128956658855,0.04868046194314968,-0.15224803425371614,0.277867206372321,-0.29823376052081574,0.5826237881556152,0.26226222794502996,0.2742727091535926,0.5863248948007822
0,104,0.33240317252721957,1.7826984497169365,2.3048234774636587,0.7734642011190834,-0.01967162545770383,-0.21375256590545133,0.5682258512824776,-0.11213319469243299,-0.10084663890302181,0.6066534062847496,-0.0824250690639019,-0.34265296906232845
1,47,0.4626183458422552,2.2354699454275035,2.3048234774636587,0.9699093953553115,0.8831599745899437,0.16723458096385016,-0.46562083624303324,0.42339688446372736,-0.0335354832932353,0.41104664094746124,0.4947528801858424,-0.3053765846416354
1,53,0.25520135645717507,1.8295536085587267,2.3048234774636587,0.7937933756957638,0.17518939450383186,-0.028184821829199846,0.22484383173286948,-0.4933342095464469,0.04638306237757206,0.12785680126398807,0.12359319813549507,-0.40227941889315844
2,4,0.33470690576278084,1.8522244196027875,2.3048234774636587,0.8036296218403096,0.13307119160890557,0.1424973104149102,0.14559267275035398,0.7217364190146328,-0.17156841605901707,-0.48451820015907304,-0.15107420086860657,-0.1705830292776227
2,8,0.3459331813977693,1.5534985782943227,2.3048234774636587,0.6740206325925963,0.32546376902610047,0.09173156321048692,0.4719701772555709,0.19843602925539028,0.14756930246949196,-0.7136534806340933,-0.21617868635803464,-0.05543341487646103
2,10,0.3116423223926422,2.282160531975139,2.3048234774636587,0.9901671665053242,-0.193519069813192,0.44041864946484555,0.09651123266667144,0.31596036907285474,-0.3087107641622423,-0.2805980630218983,-0.371804510243237,-0.35231761820614327
2,12,0.39712963197402057,2.2246231222164807,2.3048234774636587,0.9652032548126269,0.08063390199095005,0.3290702607482672,-0.08031622227281343,0.5317296199500563,-0.1050368128344416,-0.7645861990749836,-0.4740958260372281,-0.193203958682716
