theta_id_a,theta_id_b,theta_rms_distance,x_distance,noise_floor_q95,severity_ratio_x_to_noise,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
0,2,0.4089804584137235,2.646839550640298,2.3048234774636587,1.1483914393101422,-0.3901987485587594,-0.40327355638146356,0.374420437961817,-0.382484151981771,0.41089944448322047,0.5591320861130954,0.4088120423257351,0.2969113979488611
0,4,0.28828345248139814,3.506991940488978,2.3048234774636587,1.5215880846320797,-0.25712755694985384,-0.26077624596655335,0.520013110712171,0.3392522670328618,0.2393310284242034,0.07461388595402241,0.2577378414571285,0.12632836867123842
0,8,0.40041903752802377,2.996367418883678,2.3048234774636587,1.3000420414760043,-0.06473497953265893,-0.31154199317097664,0.8463906152173879,-0.18404812272638071,0.5584687469527124,-0.1545213945209979,0.19263335596770045,0.2414779830724001
0,9,0.42783638636223004,4.439353787679031,2.3048234774636587,1.9261144426402297,-0.7250476451590657,0.2755328388884667,0.21832648105919383,0.4430166706442834,-0.11305139679461729,0.6761255366727711,-0.2841732008382678,-0.26101410761475585
0,10,0.2873959456476555,3.0435115301822275,2.3048234774636587,1.320496584637127,-0.5837178183719514,0.037145093083381986,0.47093167062848845,-0.06652378290891625,0.10218868032097816,0.2785340230911971,0.037007532082498074,-0.055406220257282146
0,11,0.33911685352827664,3.7507821705403144,2.3048234774636587,1.6273620115445282,-0.18079803232103564,0.38753881398588425,0.09286940656602416,0.31036339048296224,0.4926417507231234,-0.022541499696671963,-0.4397990172728896,0.4422107096761465
0,16,0.28999656827795317,3.9222959542359765,2.3048234774636587,1.701777161065829,0.08529713656753324,-0.22056045196950402,0.1692084809765224,0.25063081365078715,0.02219479065388441,0.4367236839607359,-0.4669703720137477,0.3407825324684381
0,18,0.3169727125897658,3.7551711691963665,2.3048234774636587,1.6292662782699272,-0.49154717195779113,-0.1163669694215057,0.04460545163601659,0.36796835251152515,0.6112867332994937,0.12866448517888796,-0.12382165994495153,0.07526972889900219
0,19,0.38551622825935333,2.5087539944332864,2.3048234774636587,1.088479885320347,-0.26904728170484293,0.5488633764907719,0.4262992832809687,-0.2510896297171711,-0.029166873544454686,0.33434194326400773,0.3524967869743705,0.5776489805430174
0,20,0.3953881098203796,3.035051629352944,2.3048234774636587,1.3168260645682353,-0.1559012504294513,0.02262987568974517,0.7214176068082456,-0.4104067841544746,-0.21946314349770568,0.6437228536233307,-0.2716442486271262,-0.025017485953867546
0,22,0.41079897807444277,4.549278689777686,2.3048234774636587,1.9738078574173221,-0.7343284869566561,-0.3634034469723697,0.595896695740521,-0.027741434052586333,0.3779672486707566,-0.04726808797568072,-0.36599172931164503,0.20938025880604988
0,25,0.3581221552212627,2.321396603691621,2.3048234774636587,1.0071906271304563,-0.6857719756662846,0.48828170727938447,0.013015613891184552,-0.3076303498819468,0.13524624705314625,0.10457518510520458,0.18634168058633802,0.3981871660798788
0,27,0.33857995103650484,3.0781831057159557,2.3048234774636587,1.3355396349499788,-0.20487690716981888,0.1084456583485009,0.38853507209569227,0.05989658273756515,0.5295444866642355,0.5543494336307051,0.0900220014154911,-0.33613142743706703
0,28,0.3933429838855831,3.6027088209290925,2.3048234774636587,1.5631170265992305,-0.3492677044123412,-0.411951683461666,0.12493379227817103,-0.10128235258162,0.7142570232972502,0.23712513875216262,-0.532608887180686,0.2648155661299824
0,29,0.2908298458949891,4.016874808059306,2.3048234774636587,1.742812344344771,-0.4463479518890379,0.2509420076385143,0.5027252128347757,0.27969226893037585,-0.14495355729013693,0.03838269039988518,-0.055802162736654226,-0.24062119144946337
0,30,0.32267563404659516,3.1427722240870404,2.3048234774636587,1.3635630905432732,-0.7991550508886573,-0.049945171922445186,0.2495401743799449,-0.21862549427896727,0.1944928839802741,-0.0796964233741162,-0.1914247516542673,0.030386841855943203
0,31,0.47989326820819467,3.7522421678177236,2.3048234774636587,1.6279954645146515,0.040532309561968086,0.3496296303346754,0.8773258356377485,0.4121643509715798,0.2722705379128455,0.5895964484661819,0.285381980240345,0.5250890189781785
0,32,0.323697597624541,2.4153523120375726,2.3048234774636587,1.0479554445946313,0.028653434477746584,-0.3805549647659059,0.44676550757139954,0.07914446014910964,-0.20333872921764862,0.5293252784758807,-0.15120935533195734,0.37727782130241394
0,33,0.4150228086951688,3.170694887686796,2.3048234774636587,1.3756779721699057,-0.8184191239997742,0.20666757132858082,0.08627374656498432,-0.03989468887448322,0.6564445924013852,-0.26991144847124804,0.3719840357080102,-0.11937983520328999
0,35,0.2956832536101101,2.448752045923967,2.3048234774636587,1.06244667752981,-0.3374041458591818,0.3266137791797522,0.21173079870641254,-0.39131075423210837,0.25433278176933527,0.4288662141188981,0.028830555267632008,0.17752166464924812
0,38,0.411827091230305,3.5941151750214533,2.3048234774636587,1.5593884781912213,-0.6659736046567559,-0.2688384428620334,0.31876617018133424,-0.13869524747133233,0.5951847340911626,0.045829715207219235,-0.2520668813958764,0.5479838391765952
0,39,0.2810332449572036,3.1371775363559915,2.3048234774636587,1.3611357082357978,-0.07695000153034902,0.0677899429574611,0.6829162575304513,0.23836978618055604,-0.014026144519448391,0.21405362058430916,0.2242515692487359,0.04267877433449041
0,41,0.42889582960222106,4.159571816984905,2.3048234774636587,1.8047246818061324,-0.7463144175708292,0.39510137867182504,0.7275840612128381,-0.22990829776972532,-0.16007914673537016,0.135134437121451,0.07047873176634312,0.3569768331944942
0,42,0.36364877709414856,3.537037116375536,2.3048234774636587,1.5346238664090084,-0.6083509456366301,-0.3352291639894246,-0.007076334208249824,0.29183170665055536,0.14909388311207272,-0.24676734581589677,-0.3100130930542946,0.5576799735426903
0,43,0.31740627922175396,2.720258032186738,2.3048234774636587,1.1802457146003407,-0.13651481270790095,0.2669936856254939,0.6031656051054599,-0.08131730183958985,0.3206145036965607,0.4597942782565953,0.16679363511502746,0.06005198322236538
0,44,0.44153363138270907,3.988082039978061,2.3048234774636587,1.7303199481318818,-0.28872339986264695,-0.19694613665342287,0.9020642954856162,0.0721704810857775,0.5088956747204065,0.26918795332312595,-0.21094084531068802,0.49254951532930136
0,45,0.25246967915992025,3.336736973114779,2.3048234774636587,1.447719101155065,-0.5029834881424903,0.15587084088474512,0.2876681787893176,0.20291908178478485,0.08691037632524967,-0.05666771996766329,0.3127408232539892,-0.011781401000916847
0,46,0.4443949851606439,3.8454320412567013,2.3048234774636587,1.668428007115063,-0.8675190079957241,-0.08227344974875428,0.5266086515039208,-0.32660287525504816,-0.09634828846901666,-0.17276333458721604,-0.5521221272647381,-0.30427283328026555
0,48,0.3390301568757973,3.000791371898481,2.3048234774636587,1.3019614739436356,0.0683563575148583,-0.09317937493324246,0.7770687751471999,-0.1703429315239191,0.2251673387363552,-0.029987567104399093,0.3814492989331484,-0.2760812249034643
