epoch,train_loss,validation_loss,improved
0,10.301996245194674,9.001165344906465,True
1,8.18770324016969,7.295954769618779,True
2,6.663802811071166,5.780023895388228,True
3,5.162575779258045,4.325753431841117,True
4,3.7776666241087957,2.9822976090830204,True
5,2.3567641859534056,1.565960272187171,True
6,1.0222188972054371,0.3847297156206311,True
7,-0.24671383724247573,-1.1143012353113086,True
8,-1.5360779955356738,-2.141937229449261,True
9,-2.0865175122480566,-2.735711039003891,True
10,-2.840993099248299,-2.4199846781060432,False
11,-3.1049729015112852,-3.3517481299991974,True
12,-3.4439183505328885,-3.901947225489775,True
13,-3.8312241135777168,-3.599935367844401,False
14,-3.713126171914902,-4.193961927211972,True
15,-4.031152444981943,-4.100498991329785,False
16,-4.204383046164833,-4.101589689758226,False
17,-4.354040467621779,-4.490017056865303,True
18,-4.491621599759828,-4.765353465320353,True
19,-4.699324080988991,-4.3954310574326385,False
20,-4.774554322292869,-4.898114578659156,True
21,-4.925909770983912,-5.1225272698994635,True
22,-5.103441814158631,-4.778925797908016,False
23,-5.163102709456677,-5.234192213635274,True
24,-5.298077029313122,-5.3742281978072866,True
25,-5.395706906474736,-5.098005648826294,False
26,-5.474735167130749,-5.617784096476578,True
27,-5.600656593365247,-5.7312169643957365,True
28,-5.70533786238745,-5.456010994985404,False
29,-5.772658785447982,-5.849249908609073,True
30,-5.846599971765128,-6.194473674903383,True
31,-5.757037416024331,-6.012260384919042,False
32,-6.128609374757852,-6.2298243744983735,True
33,-6.36023276248931,-6.297761938940798,True
34,-6.403772317782014,-6.554070689527589,True
35,-6.427089148985854,-5.818612171885514,False
36,-5.876146812356017,-5.160535629471519,False
37,-5.742463429623359,-6.281898506247201,False
38,-6.367674390647762,-6.505582929930747,False
39,-6.621592211343153,-6.475143921822719,False
40,-6.198198761230222,-6.183680681764698,False
41,-5.882661106839845,-6.504832609128326,False
42,-6.351934842917106,-5.646470052569532,False
43,-5.322787163486249,-5.507152911836067,False
44,-5.848059585986316,-6.252370109127395,False
45,-6.144566390428334,-5.999144180031276,False
46,-6.265876039720522,-6.569611871391671,True
47,-6.73416486084393,-6.797444771221581,True
48,-6.9279580882442,-6.907016832434916,True
49,-6.831256121858594,-6.891015125987076,False
50,-7.0695137782965265,-6.327879235480375,False
51,-6.122417439073449,-6.453825977832979,False
52,-6.118845214430469,-6.3975897538141755,False
53,-6.40014415224948,-6.634862884792716,False
54,-6.684825198859729,-7.079035702077652,True
55,-7.02140894948986,-6.807598361381133,False
56,-7.017466023920184,-7.347872298412073,True
57,-7.181531859270048,-7.08738052099261,False
58,-7.232110211403008,-7.432972377780592,True
59,-7.347226521857336,-7.348556253871505,False
60,-7.410585647518105,-7.701920503081437,True
61,-7.471758970708971,-7.431339939811225,False
62,-7.501865837751723,-7.381838586368974,False
63,-7.591256853116589,-7.517390665136389,False
64,-7.660100618743547,-7.807047018744359,True
65,-7.704875131852841,-7.7485468395606825,False
66,-7.694310354588006,-7.73162915876154,False
67,-7.562576710063678,-7.729046374150155,False
68,-7.704420615635921,-5.752736139195628,False
69,-6.010983355305256,-7.194197303753348,False
70,-7.140940820524146,-7.283283275986067,False
71,-7.060591700421397,-7.118201258417525,False
72,-7.366207515091975,-7.530903349862726,False
73,-7.608995064614412,-7.5271244791174645,False
74,-7.62807361737827,-7.440831660933345,False
