track,member_key,parameter,strategy,metric,delta_vs_clipped,tolerance,exceeds_tolerance
8d,member_1,c_ctx2th,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_1,c_ctx2th,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_1,c_ctx2th,raw_preclip,rank_mean,0.0,0.03,False
8d,member_1,c_ctx2th,raw_preclip,bias_unit,0.0,0.02,False
8d,member_1,c_ctx2th,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_1,c_ctx2th,rejection_in_support,pit_ecdf_ks,-0.010599415204678442,0.05,False
8d,member_1,c_ctx2th,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_1,c_ctx2th,rejection_in_support,rank_mean,0.001137102014294955,0.03,False
8d,member_1,c_ctx2th,rejection_in_support,bias_unit,-0.003808898851275444,0.02,False
8d,member_1,c_ctx2th,rejection_in_support,boundary_point_mass,-0.016194661458333332,0.02,False
8d,member_2,mue,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,mue,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,mue,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,mue,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,mue,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,mue,rejection_in_support,pit_ecdf_ks,0.04410331384015598,0.05,False
8d,member_2,mue,rejection_in_support,central_cov_90,-0.08333333333333337,0.03,True
8d,member_2,mue,rejection_in_support,rank_mean,0.01945256660168937,0.03,False
8d,member_2,mue,rejection_in_support,bias_unit,-0.007733109872788194,0.02,False
8d,member_2,mue,rejection_in_support,boundary_point_mass,-0.07462565104166667,0.02,True
8d,member_2,mui,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,mui,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,mui,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,mui,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,mui,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,mui,rejection_in_support,pit_ecdf_ks,0.022173489278752456,0.05,False
8d,member_2,mui,rejection_in_support,central_cov_90,-0.04166666666666674,0.03,True
8d,member_2,mui,rejection_in_support,rank_mean,0.005116959064327409,0.03,False
8d,member_2,mui,rejection_in_support,bias_unit,-2.9635188790658965e-05,0.02,False
8d,member_2,mui,rejection_in_support,boundary_point_mass,-0.0042724609375,0.02,False
8d,member_2,b,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,b,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,b,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,b,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,b,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,b,rejection_in_support,pit_ecdf_ks,-0.0020711500974658903,0.05,False
8d,member_2,b,rejection_in_support,central_cov_90,-0.04166666666666663,0.03,True
8d,member_2,b,rejection_in_support,rank_mean,0.0010152696556205432,0.03,False
8d,member_2,b,rejection_in_support,bias_unit,-0.0009643752515936903,0.02,False
8d,member_2,b,rejection_in_support,boundary_point_mass,-0.049763997395833336,0.02,True
8d,member_2,tauA,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,tauA,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,tauA,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,tauA,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,tauA,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,tauA,rejection_in_support,pit_ecdf_ks,0.06505847953216376,0.05,True
8d,member_2,tauA,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_2,tauA,rejection_in_support,rank_mean,0.020955165692007838,0.03,False
8d,member_2,tauA,rejection_in_support,bias_unit,-0.008064990009491645,0.02,False
8d,member_2,tauA,rejection_in_support,boundary_point_mass,-0.0810546875,0.02,True
8d,member_2,g_LK,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,g_LK,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,g_LK,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,g_LK,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,g_LK,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,g_LK,rejection_in_support,pit_ecdf_ks,-0.00012183235867449516,0.05,False
8d,member_2,g_LK,rejection_in_support,central_cov_90,-0.04166666666666663,0.03,True
8d,member_2,g_LK,rejection_in_support,rank_mean,0.009137426900584722,0.03,False
8d,member_2,g_LK,rejection_in_support,bias_unit,-0.0034097140111650024,0.02,False
8d,member_2,g_LK,rejection_in_support,boundary_point_mass,-0.043294270833333336,0.02,True
8d,member_2,g_h,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,g_h,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,g_h,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,g_h,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,g_h,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,g_h,rejection_in_support,pit_ecdf_ks,0.00974658869395717,0.05,False
8d,member_2,g_h,rejection_in_support,central_cov_90,-0.02083333333333326,0.03,False
