track,n_train,estimator,parameter,n_cases,n_posterior_samples_per_case,rank_mean,rank_var,tail_low_005,tail_high_095,pit_ecdf_ks,pit_ecdf_ks_pvalue,central_cov_50,central_cov_80,central_cov_90,central_cov_95,bias_unit,mae_unit,mean_posterior_std,is_focus,framing,ranks_npz_sha256
8d,8192,member_1,g_h,1024,1000,0.49412696678321677,0.09173092441084528,0.0810546875,0.0576171875,0.04071904657842158,0.06520454265852804,0.47265625,0.7587890625,0.861328125,0.91015625,0.0209685743375303,0.1681087715896865,0.2044263736679568,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,member_1,c_th2ctx,1024,1000,0.4932547920829171,0.09959653821275842,0.0703125,0.083984375,0.06083564872627373,0.0009763884718936757,0.4130859375,0.7255859375,0.845703125,0.91796875,-0.044950007657462265,0.16634856010932708,0.18689392402666272,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,member_1,c_ctx2th,1024,1000,0.5096505057442557,0.08627504665644493,0.0595703125,0.0693359375,0.025378917957042946,0.5163070228489226,0.5009765625,0.7783203125,0.87109375,0.92578125,-0.02097922253778961,0.25164709389900963,0.2835929566717823,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,32768,ensemble,mue,1024,1000,0.5206941496003996,0.10061773208464311,0.0771484375,0.087890625,0.07157783622627367,5.237741906063496e-05,0.423828125,0.703125,0.8349609375,0.908203125,-0.01726505517035548,0.14753850079250697,0.14914737801154843,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,ensemble,mui,1024,1000,0.5896379011613386,0.03549759783400535,0.0087890625,0.0087890625,0.2524594546078921,5.235034647431306e-58,0.736328125,0.9501953125,0.982421875,0.9931640625,-0.002452919764436956,0.006101153564486594,0.01713505760062617,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,ensemble,b,1024,1000,0.5070495910339661,0.084676287787086,0.0537109375,0.0556640625,0.020284403096903103,0.7854500340935979,0.494140625,0.78515625,0.890625,0.9375,-0.0014168176403472899,0.09222120517188159,0.11775258180023229,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,ensemble,tauA,1024,1000,0.5246843000749251,0.10026761209114185,0.0751953125,0.0927734375,0.07219440715534464,4.364710225526788e-05,0.419921875,0.71484375,0.83203125,0.90234375,-0.019171072945027845,0.18825852038207813,0.19180752861393557,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,ensemble,g_LK,1024,1000,0.49640691339910087,0.08960377462479684,0.0576171875,0.0654296875,0.029171999875124865,0.3415821723615128,0.4794921875,0.7734375,0.876953125,0.9345703125,0.028602877049706876,0.15023437680792995,0.17362759969910257,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,ensemble,g_h,1024,1000,0.5071442229645354,0.08582015611403414,0.056640625,0.0546875,0.022730199488012026,0.656669908617856,0.49609375,0.7861328125,0.888671875,0.9384765625,0.01716662262151658,0.14822946714957652,0.1933511149363767,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,ensemble,c_th2ctx,1024,1000,0.4943396447302697,0.09512664062177736,0.0634765625,0.0693359375,0.046029166146353634,0.025280418523178194,0.435546875,0.744140625,0.8671875,0.9228515625,-0.04350025704479776,0.1561473188266973,0.1789944311713043,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
