track,parameter,n_members,rank_means,n_mean_below_045,n_mean_above_055,n_cov90_off_by_005,majority_3of5_direction,majority_3of5_cov_fail,mean_central_cov_90,mean_pit_ks
8d,mui,5,"[0.6744525006243756, 0.6584792160964036, 0.6544002872127872, 0.6612411026473527, 0.301432942057942]",1,4,0,True,False,0.9400390625,0.3060166396103896
8d,mue,5,"[0.5203917176573426, 0.5168464348151849, 0.5127236045204795, 0.5315212131618382, 0.5220307036713288]",0,0,5,False,True,0.8294921875,0.0744466471028971
8d,tauA,5,"[0.5252111170079921, 0.5220258257367633, 0.5201078218656343, 0.5298666177572429, 0.5258715893481518]",0,0,5,False,True,0.8283203125,0.0755599868881119
7d,mui,5,"[0.6323920220404595, 0.3320810049325674, 0.3301200752372627, 0.33650626717032966, 0.6691501857517483]",3,2,1,True,False,0.9314453125,0.28578960102397605
7d,mue,5,"[0.5221058238636364, 0.5085061422952049, 0.5254208681943057, 0.5224453281093906, 0.514053329483017]",0,0,5,False,True,0.8259765625,0.0743927947052947
7d,tauA,5,"[0.5208268294205795, 0.5156084150224776, 0.5193683269855145, 0.5169039944430569, 0.5268920532592407]",0,0,5,False,True,0.8259765625,0.07203343531468528
