track,member_key,strategy,parameter,n_cases,rank_mean,pit_ecdf_ks,central_cov_90,central_cov_95,bias_unit,mean_lower_leak,mean_upper_leak,boundary_point_mass,mean_accept_rate
8d,member_1,raw_preclip,mue,48,0.5378086419753086,0.11123294346978563,0.9583333333333334,0.9791666666666666,-0.02731471691125383,0.04052734375,0.044392903645833336,0.08492024739583333,1.0
8d,member_1,raw_preclip,mui,48,0.6227257959714101,0.28642787524366475,0.9583333333333334,0.9791666666666666,-0.0037491320399567485,0.0035807291666666665,0.004964192708333333,0.008544921875,1.0
8d,member_1,raw_preclip,b,48,0.4721003898635478,0.134990253411306,0.8958333333333334,0.9791666666666666,0.016802311409264803,0.022379557291666668,0.041178385416666664,0.06355794270833333,1.0
8d,member_1,raw_preclip,tauA,48,0.5565708252111762,0.15034113060428855,0.9375,0.9583333333333334,-0.05040009094712635,0.025960286458333332,0.06388346354166667,0.08984375,1.0
8d,member_1,raw_preclip,g_LK,48,0.5742771280051981,0.1817738791423002,0.9375,0.9583333333333334,-0.0013659464893862605,0.026529947916666668,0.023030598958333332,0.049560546875,1.0
8d,member_1,raw_preclip,g_h,48,0.5214424951267057,0.10343567251461994,0.8541666666666666,0.9375,0.029785142105538398,0.0103759765625,0.027547200520833332,0.037923177083333336,1.0
8d,member_1,raw_preclip,c_th2ctx,48,0.5378086419753086,0.20236354775828463,0.9375,0.9791666666666666,-0.05479254658954839,0.011027018229166666,0.022867838541666668,0.033894856770833336,1.0
8d,member_1,raw_preclip,c_ctx2th,48,0.49602014294996755,0.07200292397660824,0.9583333333333334,0.9791666666666666,0.001491487375460565,0.0076904296875,0.008504231770833334,0.016194661458333332,1.0
8d,member_1,clipped,mue,48,0.5378086419753086,0.11123294346978563,0.9583333333333334,0.9791666666666666,-0.02731471691125383,0.04052734375,0.044392903645833336,0.08492024739583333,1.0
8d,member_1,clipped,mui,48,0.6227257959714101,0.28642787524366475,0.9583333333333334,0.9791666666666666,-0.0037491320399567485,0.0035807291666666665,0.004964192708333333,0.008544921875,1.0
8d,member_1,clipped,b,48,0.4721003898635478,0.134990253411306,0.8958333333333334,0.9791666666666666,0.016802311409264803,0.022379557291666668,0.041178385416666664,0.06355794270833333,1.0
8d,member_1,clipped,tauA,48,0.5565708252111762,0.15034113060428855,0.9375,0.9583333333333334,-0.05040009094712635,0.025960286458333332,0.06388346354166667,0.08984375,1.0
8d,member_1,clipped,g_LK,48,0.5742771280051981,0.1817738791423002,0.9375,0.9583333333333334,-0.0013659464893862605,0.026529947916666668,0.023030598958333332,0.049560546875,1.0
8d,member_1,clipped,g_h,48,0.5214424951267057,0.10343567251461994,0.8541666666666666,0.9375,0.029785142105538398,0.0103759765625,0.027547200520833332,0.037923177083333336,1.0
8d,member_1,clipped,c_th2ctx,48,0.5378086419753086,0.20236354775828463,0.9375,0.9791666666666666,-0.05479254658954839,0.011027018229166666,0.022867838541666668,0.033894856770833336,1.0
8d,member_1,clipped,c_ctx2th,48,0.49602014294996755,0.07200292397660824,0.9583333333333334,0.9791666666666666,0.001491487375460565,0.0076904296875,0.008504231770833334,0.016194661458333332,1.0
8d,member_1,rejection_in_support,mue,48,0.5605912930474334,0.1710526315789474,0.8958333333333334,0.9166666666666666,-0.04057915861873577,0.04052734375,0.044392903645833336,0.0,0.7003173828125
8d,member_1,rejection_in_support,mui,48,0.6269899285250163,0.305921052631579,0.9583333333333334,0.9583333333333334,-0.0036551553833608827,0.0035807291666666665,0.004964192708333333,0.0,0.7003173828125
8d,member_1,rejection_in_support,b,48,0.48046621182586097,0.13096978557504868,0.875,0.9166666666666666,0.012927850242704153,0.022379557291666668,0.041178385416666664,0.0,0.7003173828125
8d,member_1,rejection_in_support,tauA,48,0.5809372969460688,0.16240253411306038,0.875,0.875,-0.05881180179615816,0.025960286458333332,0.06388346354166667,0.0,0.7003173828125
8d,member_1,rejection_in_support,g_LK,48,0.5875568551007148,0.1915204678362573,0.8958333333333334,0.9375,-0.009682906713957587,0.026529947916666668,0.023030598958333332,0.0,0.7003173828125
8d,member_1,rejection_in_support,g_h,48,0.531595191682911,0.11878654970760238,0.8333333333333334,0.9166666666666666,0.02549693948822096,0.0103759765625,0.027547200520833332,0.0,0.7003173828125
8d,member_1,rejection_in_support,c_th2ctx,48,0.5493421052631579,0.20236354775828463,0.8541666666666666,0.875,-0.058037529001012444,0.011027018229166666,0.022867838541666668,0.0,0.7003173828125
8d,member_1,rejection_in_support,c_ctx2th,48,0.4971572449642625,0.06140350877192979,0.9375,0.9583333333333334,-0.002317411475814879,0.0076904296875,0.008504231770833334,0.0,0.7003173828125
8d,member_2,raw_preclip,mue,48,0.5325292397660819,0.10294834307992201,0.9583333333333334,1.0,-0.025638378186461825,0.03173828125,0.042887369791666664,0.07462565104166667,1.0
8d,member_2,raw_preclip,mui,48,0.6278833658219624,0.31518031189083817,0.9583333333333334,1.0,-0.0032027597771957517,0.002685546875,0.0015869140625,0.0042724609375,1.0
8d,member_2,raw_preclip,b,48,0.46345029239766083,0.136817738791423,0.8541666666666666,1.0,0.018594112984525662,0.016805013020833332,0.032958984375,0.049763997395833336,1.0
8d,member_2,raw_preclip,tauA,48,0.5542153996101364,0.13974171539961017,0.8958333333333334,0.9791666666666666,-0.048605932776505746,0.028401692708333332,0.052652994791666664,0.0810546875,1.0
8d,member_2,raw_preclip,g_LK,48,0.564327485380117,0.1655701754385965,0.9375,0.9791666666666666,-0.006402239785529673,0.0250244140625,0.018269856770833332,0.043294270833333336,1.0
8d,member_2,raw_preclip,g_h,48,0.539108187134503,0.14169103313840153,0.8541666666666666,0.9375,0.015763126915165532,0.011149088541666666,0.017781575520833332,0.0289306640625,1.0
8d,member_2,raw_preclip,c_th2ctx,48,0.5038174139051331,0.12378167641325538,0.9166666666666666,0.9583333333333334,-0.03475373789357642,0.00927734375,0.018880208333333332,0.028157552083333332,1.0
8d,member_2,raw_preclip,c_ctx2th,48,0.4920808966861598,0.07188109161793377,0.9375,0.9583333333333334,0.012056158273480833,0.004679361979166667,0.004801432291666667,0.009480794270833334,1.0
8d,member_2,clipped,mue,48,0.5325292397660819,0.10294834307992201,0.9583333333333334,1.0,-0.025638378186461825,0.03173828125,0.042887369791666664,0.07462565104166667,1.0
8d,member_2,clipped,mui,48,0.6278833658219624,0.31518031189083817,0.9583333333333334,1.0,-0.0032027597771957517,0.002685546875,0.0015869140625,0.0042724609375,1.0
8d,member_2,clipped,b,48,0.46345029239766083,0.136817738791423,0.8541666666666666,1.0,0.018594112984525662,0.016805013020833332,0.032958984375,0.049763997395833336,1.0
8d,member_2,clipped,tauA,48,0.5542153996101364,0.13974171539961017,0.8958333333333334,0.9791666666666666,-0.048605932776505746,0.028401692708333332,0.052652994791666664,0.0810546875,1.0
8d,member_2,clipped,g_LK,48,0.564327485380117,0.1655701754385965,0.9375,0.9791666666666666,-0.006402239785529673,0.0250244140625,0.018269856770833332,0.043294270833333336,1.0
8d,member_2,clipped,g_h,48,0.539108187134503,0.14169103313840153,0.8541666666666666,0.9375,0.015763126915165532,0.011149088541666666,0.017781575520833332,0.0289306640625,1.0
8d,member_2,clipped,c_th2ctx,48,0.5038174139051331,0.12378167641325538,0.9166666666666666,0.9583333333333334,-0.03475373789357642,0.00927734375,0.018880208333333332,0.028157552083333332,1.0
8d,member_2,clipped,c_ctx2th,48,0.4920808966861598,0.07188109161793377,0.9375,0.9583333333333334,0.012056158273480833,0.004679361979166667,0.004801432291666667,0.009480794270833334,1.0
8d,member_2,rejection_in_support,mue,48,0.5519818063677713,0.147051656920078,0.875,0.9375,-0.03337148805925002,0.03173828125,0.042887369791666664,0.0,0.7390950520833334
8d,member_2,rejection_in_support,mui,48,0.6330003248862898,0.33735380116959063,0.9166666666666666,0.9791666666666666,-0.0032323949659864106,0.002685546875,0.0015869140625,0.0,0.7390950520833334
8d,member_2,rejection_in_support,b,48,0.4644655620532814,0.13474658869395711,0.8125,0.9375,0.01762973773293197,0.016805013020833332,0.032958984375,0.0,0.7390950520833334
8d,member_2,rejection_in_support,tauA,48,0.5751705653021443,0.20480019493177393,0.875,0.8958333333333334,-0.05667092278599739,0.028401692708333332,0.052652994791666664,0.0,0.7390950520833334
8d,member_2,rejection_in_support,g_LK,48,0.5734649122807017,0.165448343079922,0.8958333333333334,0.9375,-0.009811953796694676,0.0250244140625,0.018269856770833332,0.0,0.7390950520833334
8d,member_2,rejection_in_support,g_h,48,0.5421539961013645,0.1514376218323587,0.8333333333333334,0.875,0.0167221743419456,0.011149088541666666,0.017781575520833332,0.0,0.7390950520833334
