key,cov_z_ij
7d|member_1|mue|g_LK,0.20055463800824866
7d|member_1|mue|g_h,0.08204228384465373
7d|member_1|mue|c_th2ctx,0.03454751878092184
7d|member_1|mui|b,0.006300546791370501
7d|member_1|mui|tauA,0.028709860313943233
7d|member_1|mui|g_LK,0.04195432085737616
7d|member_1|mui|g_h,0.013859170361240424
7d|member_1|mui|c_th2ctx,-0.04872306356773331
7d|member_1|b|tauA,0.026174486254297115
7d|member_1|tauA|g_LK,0.0606003599166432
7d|member_1|tauA|g_h,-0.005281609785918101
7d|member_1|tauA|c_th2ctx,-0.054880984343962734
7d|member_2|mue|mui,0.0024106256256604714
7d|member_2|mue|b,0.1056181001823504
7d|member_2|mue|tauA,0.2907979179916897
7d|member_2|mue|g_LK,0.17710294167729299
7d|member_2|mue|g_h,-0.025104073247246585
7d|member_2|mue|c_th2ctx,-0.03501042964767974
7d|member_2|mui|b,-0.024196718895475783
7d|member_2|mui|tauA,-0.0007269378512531442
7d|member_2|mui|g_LK,0.0018088118679365512
7d|member_2|mui|g_h,0.01956119553715099
7d|member_2|mui|c_th2ctx,-0.062346653608585906
7d|member_2|b|tauA,0.04312853486642906
7d|member_2|tauA|g_LK,0.07242321209720477
7d|member_2|tauA|g_h,0.009403978312521346
7d|member_2|tauA|c_th2ctx,-0.08503182588535037
7d|member_3|mue|mui,0.04647288793171285
7d|member_3|mue|b,-0.08427064023940982
7d|member_3|mue|tauA,0.2403216432376703
7d|member_3|mue|g_LK,0.24197445969894388
7d|member_3|mue|g_h,0.14862820024551318
7d|member_3|mue|c_th2ctx,0.01465147947096396
7d|member_3|mui|b,0.030186083784525728
7d|member_3|mui|tauA,-0.044877686657481215
7d|member_3|mui|g_LK,0.040880363877255785
7d|member_3|mui|g_h,-0.0858058761519886
7d|member_3|mui|c_th2ctx,-0.038177479743765334
7d|member_3|b|tauA,-0.027296467327952184
7d|member_3|tauA|g_LK,0.08088073365784665
7d|member_3|tauA|g_h,0.057882101742210305
7d|member_3|tauA|c_th2ctx,-0.015542340691659573
7d|member_4|mue|mui,0.1285563388204945
7d|member_4|mue|b,-0.011613550183142286
7d|member_4|mue|tauA,0.2401812278896586
7d|member_4|mue|g_LK,0.2906173795951923
7d|member_4|mue|g_h,0.03681187294570728
7d|member_4|mue|c_th2ctx,-0.02214948879094814
7d|member_4|mui|b,-0.043164195170677634
7d|member_4|mui|tauA,0.021048625674808866
7d|member_4|mui|g_LK,0.03783494598172982
7d|member_4|mui|g_h,0.03241008935673727
7d|member_4|mui|c_th2ctx,-0.140369784189997
7d|member_4|b|tauA,0.022170042832517618
7d|member_4|tauA|g_LK,0.08774838942871346
7d|member_4|tauA|g_h,0.005190256755569118
7d|member_4|tauA|c_th2ctx,-0.013746227660795196
7d|member_5|mue|mui,0.04360213634918765
7d|member_5|mue|b,-0.011679434164417692
7d|member_5|mue|tauA,0.32030608038256236
7d|member_5|mue|g_LK,0.24034593232686421
7d|member_5|mue|g_h,0.10992574838651656
7d|member_5|mue|c_th2ctx,-0.04284715599429818
7d|member_5|mui|b,-0.014719495232633117
7d|member_5|mui|tauA,-0.019506438793431072
7d|member_5|mui|g_LK,0.0115187675146769
7d|member_5|mui|g_h,-0.023325972342392424
7d|member_5|mui|c_th2ctx,-0.06327268887493384
7d|member_5|b|tauA,-0.0970481234383773
7d|member_5|tauA|g_LK,0.09443353520482854
7d|member_5|tauA|g_h,0.05513408744873816
7d|member_5|tauA|c_th2ctx,-0.028962960147073585
7d|ensemble|mue|mui,0.05047271117577153
7d|ensemble|mue|b,-0.01867479379740988
7d|ensemble|mue|tauA,0.2516843447787209
7d|ensemble|mue|g_LK,0.1998000328119567
7d|ensemble|mue|g_h,0.063108992052701
7d|ensemble|mue|c_th2ctx,0.03216354313089221
7d|ensemble|mui|b,0.004127991201353741
7d|ensemble|mui|tauA,-0.006083132676626246
7d|ensemble|mui|g_LK,0.008640988967414507
7d|ensemble|mui|g_h,0.0045221925914658645
7d|ensemble|mui|c_th2ctx,-0.08145812444012773
7d|ensemble|b|tauA,-0.04734352667628011
7d|ensemble|tauA|g_LK,0.05983171302424325
7d|ensemble|tauA|g_h,0.025328339078628772
7d|ensemble|tauA|c_th2ctx,-0.007289660678724854
