center,scale,parameter,seed_a,seed_b,direction_cosine
v8_fitted,0.01,c_th2ctx,1103,2207,-0.26404821311699345
v8_fitted,0.01,c_th2ctx,1103,3301,0.21849942947122888
v8_fitted,0.01,c_th2ctx,2207,3301,-0.40359086853532716
v8_fitted,0.01,c_ctx2th,1103,2207,0.828082823021105
v8_fitted,0.01,c_ctx2th,1103,3301,-0.4369602542725816
v8_fitted,0.01,c_ctx2th,2207,3301,-0.4998992693324361
v8_fitted,0.02,mue,1103,2207,0.5046090989132426
v8_fitted,0.02,mue,1103,3301,0.1054551270675619
v8_fitted,0.02,mue,2207,3301,0.6089469857730992
v8_fitted,0.02,mui,1103,2207,-0.263931216111748
v8_fitted,0.02,mui,1103,3301,0.14599979056212872
v8_fitted,0.02,mui,2207,3301,-0.7205485507521368
v8_fitted,0.02,b,1103,2207,0.9140618811734015
v8_fitted,0.02,b,1103,3301,0.0729059959532052
v8_fitted,0.02,b,2207,3301,0.18384767670586966
v8_fitted,0.02,tauA,1103,2207,-0.0519595467834728
v8_fitted,0.02,tauA,1103,3301,-0.717116625454504
v8_fitted,0.02,tauA,2207,3301,0.26395473828958876
v8_fitted,0.02,g_LK,1103,2207,0.7889493776856352
v8_fitted,0.02,g_LK,1103,3301,0.9574323493644007
v8_fitted,0.02,g_LK,2207,3301,0.923016084964057
v8_fitted,0.02,g_h,1103,2207,0.7207211138474537
v8_fitted,0.02,g_h,1103,3301,0.27811493134366494
v8_fitted,0.02,g_h,2207,3301,0.25416851909543214
v8_fitted,0.02,c_th2ctx,1103,2207,0.04912068987171393
v8_fitted,0.02,c_th2ctx,1103,3301,0.05744583992668625
v8_fitted,0.02,c_th2ctx,2207,3301,-0.1670601826783126
v8_fitted,0.02,c_ctx2th,1103,2207,0.21204102676818484
v8_fitted,0.02,c_ctx2th,1103,3301,0.5257571431320478
v8_fitted,0.02,c_ctx2th,2207,3301,0.7518752106115123
v8_fitted,0.05,mue,1103,2207,0.44019667197005646
v8_fitted,0.05,mue,1103,3301,0.45970522061578756
v8_fitted,0.05,mue,2207,3301,0.5563075844177104
v8_fitted,0.05,mui,1103,2207,0.22175925957208775
v8_fitted,0.05,mui,1103,3301,0.07904617537025384
v8_fitted,0.05,mui,2207,3301,-0.5279588711366483
v8_fitted,0.05,b,1103,2207,0.5559453964539018
v8_fitted,0.05,b,1103,3301,0.41000814077455516
v8_fitted,0.05,b,2207,3301,0.7904421830320341
v8_fitted,0.05,tauA,1103,2207,0.08825297233904848
v8_fitted,0.05,tauA,1103,3301,0.844124014231224
v8_fitted,0.05,tauA,2207,3301,-0.055394486707966595
v8_fitted,0.05,g_LK,1103,2207,0.9108733076444645
v8_fitted,0.05,g_LK,1103,3301,0.9199003575522626
v8_fitted,0.05,g_LK,2207,3301,0.9547607635996818
v8_fitted,0.05,g_h,1103,2207,0.9398301276653922
v8_fitted,0.05,g_h,1103,3301,0.9741728567216476
v8_fitted,0.05,g_h,2207,3301,0.9639367647041661
v8_fitted,0.05,c_th2ctx,1103,2207,0.8738246691495544
v8_fitted,0.05,c_th2ctx,1103,3301,-0.63069891538038
v8_fitted,0.05,c_th2ctx,2207,3301,-0.5911518866586007
v8_fitted,0.05,c_ctx2th,1103,2207,0.012246187374989196
v8_fitted,0.05,c_ctx2th,1103,3301,-0.014357518105169179
v8_fitted,0.05,c_ctx2th,2207,3301,-0.666309350761523
v8a_local_best,0.01,mue,1103,2207,0.029063357687736158
v8a_local_best,0.01,mue,1103,3301,-0.6835321763936179
v8a_local_best,0.01,mue,2207,3301,0.3687992638539747
