center,scale,seed,parameter,sensitivity_norm
v8_fitted,0.01,2207,c_ctx2th,16.124023313070133
v8_fitted,0.02,2207,mue,10.37429536644809
v8_fitted,0.02,2207,mui,9.07974501322109
v8_fitted,0.02,2207,b,9.622956664116222
v8_fitted,0.02,2207,tauA,4.3156936921006
v8_fitted,0.02,2207,g_LK,9.67704997382328
v8_fitted,0.02,2207,g_h,6.582832616010881
v8_fitted,0.02,2207,c_th2ctx,7.062489712199849
v8_fitted,0.02,2207,c_ctx2th,2.98495092787709
v8_fitted,0.05,2207,mue,5.696603858828862
v8_fitted,0.05,2207,mui,2.6940589207041663
v8_fitted,0.05,2207,b,3.5938775001399943
v8_fitted,0.05,2207,tauA,1.9869956401842115
v8_fitted,0.05,2207,g_LK,6.4926160868890745
v8_fitted,0.05,2207,g_h,7.169259645929581
v8_fitted,0.05,2207,c_th2ctx,4.072227720157446
v8_fitted,0.05,2207,c_ctx2th,2.4673365904064686
v8_fitted,0.01,3301,mue,6.7868355390475275
v8_fitted,0.01,3301,mui,17.51058410870733
v8_fitted,0.01,3301,b,8.504415117443225
v8_fitted,0.01,3301,tauA,13.496511959842323
v8_fitted,0.01,3301,g_LK,23.112019617774035
v8_fitted,0.01,3301,g_h,19.140709931655483
v8_fitted,0.01,3301,c_th2ctx,17.894567776771535
v8_fitted,0.01,3301,c_ctx2th,17.779477374152883
v8_fitted,0.02,3301,mue,2.094206990085357
v8_fitted,0.02,3301,mui,7.84772328118329
v8_fitted,0.02,3301,b,7.186478411165712
v8_fitted,0.02,3301,tauA,7.483877039256855
v8_fitted,0.02,3301,g_LK,9.51132862749917
v8_fitted,0.02,3301,g_h,7.856657878905286
v8_fitted,0.02,3301,c_th2ctx,7.80123804051697
v8_fitted,0.02,3301,c_ctx2th,5.1590712257830935
v8_fitted,0.05,3301,mue,3.844103422224652
v8_fitted,0.05,3301,mui,1.7579736834292738
v8_fitted,0.05,3301,b,3.898578684653968
v8_fitted,0.05,3301,tauA,3.0994531302876815
v8_fitted,0.05,3301,g_LK,6.69186107298376
v8_fitted,0.05,3301,g_h,7.103889780031383
v8_fitted,0.05,3301,c_th2ctx,3.4238530781546865
v8_fitted,0.05,3301,c_ctx2th,1.3823523354036964
v8a_local_best,0.01,1103,mue,24.182791233939373
v8a_local_best,0.01,1103,mui,18.484047050421072
v8a_local_best,0.01,1103,b,20.728944924183732
v8a_local_best,0.01,1103,tauA,16.542522261995913
v8a_local_best,0.01,1103,g_LK,19.04098833943079
v8a_local_best,0.01,1103,g_h,15.682293636309419
v8a_local_best,0.01,1103,c_th2ctx,34.73096833480903
v8a_local_best,0.01,1103,c_ctx2th,22.333626063607166
v8a_local_best,0.02,1103,mue,8.661595580372328
v8a_local_best,0.02,1103,mui,9.242001048112446
v8a_local_best,0.02,1103,b,10.880950715156771
v8a_local_best,0.02,1103,tauA,9.982160528346812
v8a_local_best,0.02,1103,g_LK,15.085982986867146
v8a_local_best,0.02,1103,g_h,3.90737923427723
v8a_local_best,0.02,1103,c_th2ctx,11.180988169145083
v8a_local_best,0.02,1103,c_ctx2th,9.194973299390636
v8a_local_best,0.05,1103,mue,3.136720158673142
v8a_local_best,0.05,1103,mui,2.391212356909298
v8a_local_best,0.05,1103,b,5.166359066432279
v8a_local_best,0.05,1103,tauA,4.611642154791182
v8a_local_best,0.05,1103,g_LK,13.983779496436775
v8a_local_best,0.05,1103,g_h,4.574565622791738
v8a_local_best,0.05,1103,c_th2ctx,3.5517268621805607
v8a_local_best,0.05,1103,c_ctx2th,3.516057832307957
v8a_local_best,0.01,2207,mue,20.474511317937406
v8a_local_best,0.01,2207,mui,27.578147674443443
v8a_local_best,0.01,2207,b,10.418649525637806
v8a_local_best,0.01,2207,tauA,14.534508582276514
v8a_local_best,0.01,2207,g_LK,27.99287875925055
v8a_local_best,0.01,2207,g_h,15.754546255709364
v8a_local_best,0.01,2207,c_th2ctx,11.185631535505022
v8a_local_best,0.01,2207,c_ctx2th,15.035390775378188
v8a_local_best,0.02,2207,mue,3.6323800237757733
v8a_local_best,0.02,2207,mui,4.833795857339535
v8a_local_best,0.02,2207,b,12.329974940556822
v8a_local_best,0.02,2207,tauA,4.986846534325991
v8a_local_best,0.02,2207,g_LK,14.060469306030285
v8a_local_best,0.02,2207,g_h,3.6212251365330204
v8a_local_best,0.02,2207,c_th2ctx,8.40790250647495
v8a_local_best,0.02,2207,c_ctx2th,7.610231376017356
v8a_local_best,0.05,2207,mue,4.202792674287873
v8a_local_best,0.05,2207,mui,3.0809199344399327
v8a_local_best,0.05,2207,b,1.8161030922173713
v8a_local_best,0.05,2207,tauA,3.2705810381689373
v8a_local_best,0.05,2207,g_LK,12.653052453278537
v8a_local_best,0.05,2207,g_h,11.416381616421653
v8a_local_best,0.05,2207,c_th2ctx,3.2006059119696832
v8a_local_best,0.05,2207,c_ctx2th,3.5980782002751237
v8a_local_best,0.01,3301,mue,29.668698785095607
v8a_local_best,0.01,3301,mui,27.73820247428499
v8a_local_best,0.01,3301,b,16.577570015204472
v8a_local_best,0.01,3301,tauA,15.022588168236473
v8a_local_best,0.01,3301,g_LK,14.602699221402126
v8a_local_best,0.01,3301,g_h,15.144072946360316
v8a_local_best,0.01,3301,c_th2ctx,15.768606353869615
v8a_local_best,0.01,3301,c_ctx2th,13.929865943923414
v8a_local_best,0.02,3301,mue,14.759768806779228
v8a_local_best,0.02,3301,mui,9.011548106073487
v8a_local_best,0.02,3301,b,14.154898444409277
v8a_local_best,0.02,3301,tauA,8.301128050710979
v8a_local_best,0.02,3301,g_LK,20.436933527018827
v8a_local_best,0.02,3301,g_h,7.493339404459072
v8a_local_best,0.02,3301,c_th2ctx,7.924523682337936
v8a_local_best,0.02,3301,c_ctx2th,10.933056671515347
v8a_local_best,0.05,3301,mue,5.047487082757173
v8a_local_best,0.05,3301,mui,1.4248075464136964
v8a_local_best,0.05,3301,b,4.777195274422297
v8a_local_best,0.05,3301,tauA,2.169587577182757
v8a_local_best,0.05,3301,g_LK,10.752146103872757
v8a_local_best,0.05,3301,g_h,8.157794138762071
v8a_local_best,0.05,3301,c_th2ctx,5.324270190795115
v8a_local_best,0.05,3301,c_ctx2th,5.452489529445318
