epoch,train_loss,validation_loss,improved
0,10.826647097038782,10.098325729370117,True
1,10.012718794601629,9.52713394165039,True
2,9.437052476284213,8.961833953857422,True
3,8.891457213202852,8.465095520019531,True
4,8.407403023974615,8.004993438720703,True
5,7.969511544960938,7.576532363891602,True
6,7.588620202588285,7.190077781677246,True
7,7.209772074111596,6.802853584289551,True
8,6.815005185348322,6.43001127243042,True
9,6.436875930182464,6.074437618255615,True
10,6.116535476886569,5.7373528480529785,True
11,5.766686773074595,5.3910698890686035,True
12,5.436059141239101,4.983377933502197,True
13,5.0080203101159455,4.5615410804748535,True
14,4.561473328703763,4.145625591278076,True
15,4.138856993837792,3.7149062156677246,True
16,3.682104095218565,3.262373447418213,True
17,3.2438037850630113,2.8887221813201904,True
18,2.9284781330908487,2.613971710205078,True
19,2.63340756574078,2.200093984603882,True
20,2.1576879475474375,1.7050153017044067,True
21,1.612695771629494,1.2066466808319092,True
22,1.1144585819639505,0.7588329315185547,True
23,0.6862536615294281,0.2791983485221863,True
24,0.20461695599239663,-0.1337905079126358,True
25,-0.19814263507280389,-0.5324567556381226,True
26,-0.6082938242264236,-0.9228705763816833,True
27,-0.981612516908487,-1.120737910270691,True
28,-1.2010468468126878,-1.4500077962875366,True
29,-1.5951550804566341,-1.8189973831176758,True
30,-1.9247734838635908,-2.016806125640869,True
31,-2.1926612064490225,-2.3178699016571045,True
32,-2.421790959906727,-2.4477713108062744,True
33,-2.4362998395116753,-2.0095040798187256,False
34,-2.259413394021311,-2.4846107959747314,True
35,-2.454362020771976,-2.6067891120910645,True
36,-2.809432759787788,-2.894390344619751,True
37,-3.067642161014079,-2.6948275566101074,False
38,-2.6646009926102496,-3.0374906063079834,True
39,-3.1802689907260837,-2.9934256076812744,False
40,-3.16141716400285,-3.319959878921509,True
41,-3.3375353901946196,-3.6286661624908447,True
42,-3.645514204031672,-3.356489896774292,False
43,-3.550526309082495,-3.5492329597473145,False
44,-3.4849014405565337,-3.7137410640716553,True
45,-3.795901247986797,-3.722691297531128,True
46,-3.9044163730987496,-3.862093448638916,True
47,-3.935090155705557,-4.127825736999512,True
48,-4.205009341112588,-4.153310298919678,True
49,-4.259115551803451,-3.993509531021118,False
50,-4.033359899787198,-4.48427677154541,True
51,-4.1886865486902956,-3.1072962284088135,False
52,-3.260772033372981,-4.287872791290283,False
53,-4.2419985192396545,-3.2506844997406006,False
54,-3.3820731988412343,-4.4185791015625,False
55,-4.408878240770154,-3.6025912761688232,False
56,-3.6341819335681946,-4.3480634689331055,False
57,-4.450535312310878,-4.016208171844482,False
58,-4.118294615827771,-4.609379291534424,True
59,-4.694060755379961,-4.432463645935059,False
60,-4.611531617167377,-4.366389751434326,False
61,-4.333366029702415,-4.659088611602783,True
62,-4.8128406436465525,-4.580022811889648,False
63,-4.563511553382612,-5.001745700836182,True
64,-4.913662438135774,-4.0530500411987305,False
65,-4.287574852984606,-4.831418037414551,False
66,-4.931773594021342,-4.966663837432861,False
67,-4.965119171666495,-4.993330478668213,False
68,-5.097715784570888,-5.15386438369751,True
69,-5.282500828856933,-5.3221940994262695,True
70,-5.307017258536846,-5.054868221282959,False
71,-5.13509329675482,-5.056952476501465,False
72,-5.2664210453263385,-4.896670341491699,False
73,-4.8880054920516125,-5.06341028213501,False
74,-5.234242692714827,-5.111144065856934,False
75,-5.102030837843295,-5.105174541473389,False
76,-5.33621624140781,-4.764433860778809,False
77,-4.719159210326743,-4.686634063720703,False
78,-4.721588588899717,-4.42482852935791,False
79,-4.650279863579627,-5.524117469787598,True
