draw_index,role,simulator_seed,posterior_sample_seed,member_index,track
0,primary,9850016,9840016,5,8d
1,primary,9954745,9840016,5,8d
2,primary,10059474,9840016,5,8d
3,primary,10164203,9840016,5,8d
4,primary,10268932,9840016,5,8d
5,primary,10373661,9840016,5,8d
6,primary,10478390,9840016,5,8d
7,primary,10583119,9840016,5,8d
8,primary,10687848,9840016,5,8d
9,primary,10792577,9840016,5,8d
10,primary,10897306,9840016,5,8d
11,primary,11002035,9840016,5,8d
12,primary,11106764,9840016,5,8d
13,primary,11211493,9840016,5,8d
14,primary,11316222,9840016,5,8d
15,primary,11420951,9840016,5,8d
16,primary,11525680,9840016,5,8d
17,primary,11630409,9840016,5,8d
18,primary,11735138,9840016,5,8d
19,primary,11839867,9840016,5,8d
20,primary,11944596,9840016,5,8d
21,primary,12049325,9840016,5,8d
22,primary,12154054,9840016,5,8d
23,primary,12258783,9840016,5,8d
24,primary,12363512,9840016,5,8d
25,primary,12468241,9840016,5,8d
26,primary,12572970,9840016,5,8d
27,primary,12677699,9840016,5,8d
28,primary,12782428,9840016,5,8d
29,primary,12887157,9840016,5,8d
30,primary,12991886,9840016,5,8d
31,primary,13096615,9840016,5,8d
32,primary,13201344,9840016,5,8d
33,primary,13306073,9840016,5,8d
34,primary,13410802,9840016,5,8d
35,primary,13515531,9840016,5,8d
36,primary,13620260,9840016,5,8d
37,primary,13724989,9840016,5,8d
38,primary,13829718,9840016,5,8d
39,primary,13934447,9840016,5,8d
40,primary,14039176,9840016,5,8d
41,primary,14143905,9840016,5,8d
42,primary,14248634,9840016,5,8d
43,primary,14353363,9840016,5,8d
44,primary,14458092,9840016,5,8d
45,primary,14562821,9840016,5,8d
46,primary,14667550,9840016,5,8d
47,primary,14772279,9840016,5,8d
48,primary,14877008,9840016,5,8d
49,primary,14981737,9840016,5,8d
50,primary,15086466,9840016,5,8d
51,primary,15191195,9840016,5,8d
52,primary,15295924,9840016,5,8d
53,primary,15400653,9840016,5,8d
54,primary,15505382,9840016,5,8d
55,primary,15610111,9840016,5,8d
56,primary,15714840,9840016,5,8d
57,primary,15819569,9840016,5,8d
58,primary,15924298,9840016,5,8d
59,primary,16029027,9840016,5,8d
60,primary,16133756,9840016,5,8d
61,primary,16238485,9840016,5,8d
62,primary,16343214,9840016,5,8d
63,primary,16447943,9840016,5,8d
64,primary,16552672,9840016,5,8d
65,primary,16657401,9840016,5,8d
66,primary,16762130,9840016,5,8d
67,primary,16866859,9840016,5,8d
68,primary,16971588,9840016,5,8d
69,primary,17076317,9840016,5,8d
70,primary,17181046,9840016,5,8d
71,primary,17285775,9840016,5,8d
72,primary,17390504,9840016,5,8d
73,primary,17495233,9840016,5,8d
74,primary,17599962,9840016,5,8d
75,primary,17704691,9840016,5,8d
76,primary,17809420,9840016,5,8d
77,primary,17914149,9840016,5,8d
78,primary,18018878,9840016,5,8d
79,primary,18123607,9840016,5,8d
80,primary,18228336,9840016,5,8d
81,primary,18333065,9840016,5,8d
82,primary,18437794,9840016,5,8d
83,primary,18542523,9840016,5,8d
84,primary,18647252,9840016,5,8d
85,primary,18751981,9840016,5,8d
86,primary,18856710,9840016,5,8d
87,primary,18961439,9840016,5,8d
88,primary,19066168,9840016,5,8d
89,primary,19170897,9840016,5,8d
90,primary,19275626,9840016,5,8d
91,primary,19380355,9840016,5,8d
