track,estimator,feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
7d,member_4,r_exc_mean_hz,0.05101812914014835,0.4804497691422407,0.8938117313882108,True
7d,member_4,r_exc_std_hz,0.08745451752833869,0.5084701442481019,0.8280046163621628,True
7d,member_4,r_exc_relative_so_power,0.404259867735277,0.6531174875358698,0.381030403487589,True
7d,member_4,r_exc_relative_sigma_power,0.7301162430181389,1.1902638376820653,0.38659293855387855,True
7d,member_4,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_4,r_exc_sigma_peak_frequency_hz,2.0,2.6666666666666665,0.25,True
7d,member_4,r_exc_spectral_entropy_0p5_20,0.15758150121134223,0.690941616065677,0.7719322478957998,True
7d,member_4,r_inh_mean_hz,0.056834471882957364,0.5166498679191349,0.8899942196600871,True
7d,member_4,r_inh_std_hz,0.10931069967205972,0.5333412823650847,0.7950454928459223,True
7d,member_4,r_inh_relative_so_power,0.4511143041075609,0.7485746533494781,0.3973689837225165,True
7d,member_4,r_inh_relative_sigma_power,0.4758228943141547,1.8409243828711035,0.7415304513637535,True
7d,member_4,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_4,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_4,r_inh_spectral_entropy_0p5_20,0.1633077679403393,0.8515489770434956,0.8082226949443005,True
