feature,mean_within_theta_seed_variance,between_theta_variance,between_to_seed_variance_ratio
r_exc_mean_hz,0.0032955904034140263,0.01787613509755887,5.424258754680286
r_exc_std_hz,0.01627706459462827,0.15531204089487918,9.541772104666526
r_exc_relative_so_power,0.0008277945010537832,0.007660140857153691,9.253674489746338
r_exc_relative_sigma_power,2.8286268097722133e-06,1.5187028065693587e-05,5.369046214660104
r_exc_so_peak_frequency_hz,0.007812500000000002,0.0214988425925926,2.7518518518518524
r_exc_sigma_peak_frequency_hz,0.4674479166666667,0.36339699074074083,0.7774063757350667
r_exc_spectral_entropy_0p5_20,3.408488809385446e-05,0.0006265579147422744,18.382278768732217
r_inh_mean_hz,0.15658381211912833,0.9168888992414433,5.855579110207625
r_inh_std_hz,0.017539274261896796,0.12855476994055381,7.329537586388775
r_inh_relative_so_power,0.0012616910017227327,0.01309998674902505,10.382880381280458
r_inh_relative_sigma_power,6.859691182067201e-06,2.9665065879617728e-05,4.324548305785103
r_inh_so_peak_frequency_hz,0.007812500000000002,0.0214988425925926,2.7518518518518524
r_inh_sigma_peak_frequency_hz,0.3697916666666667,0.33700810185185187,0.9113458528951487
r_inh_spectral_entropy_0p5_20,5.795691381751625e-05,0.0009376511014684713,16.178416684172824
