feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
r_exc_mean_hz,0.05163958668099387,0.4840955016451484,0.8933276873974204,True
r_exc_std_hz,0.08502812875066404,0.5070538871095158,0.8323094824588155,True
r_exc_relative_so_power,0.5243837159682643,0.6370372215404273,0.17683975404098717,True
r_exc_relative_sigma_power,0.5961078444119462,1.2009036333102099,0.5036172529773975,True
r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
r_exc_sigma_peak_frequency_hz,1.5,2.0,0.25,True
r_exc_spectral_entropy_0p5_20,0.15084247065023648,0.699942910687691,0.7844931803051847,True
r_inh_mean_hz,0.06159080444909932,0.507075139530506,0.8785371246830885,True
r_inh_std_hz,0.07613507071797937,0.5163369064393546,0.8525476878207201,True
r_inh_relative_so_power,0.5763807787651903,0.7759321507413934,0.257176315977543,True
r_inh_relative_sigma_power,0.5655883833698876,1.8358007235477087,0.6919118855793451,True
r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
r_inh_spectral_entropy_0p5_20,0.157245918377797,0.8552273200866184,0.8161355294848731,True
