dataset_id,track,scale,estimator,parameter,ks_statistic,ks_pvalue,rank_mean,rank_variance,bias_mean,normalized_posterior_sd_median,holm_clear_issue
official_300,8d,32768,ensemble,mue,0.08699966699966699,0.020027974751559714,0.5239160839160839,0.10178372514725126,-0.017281629499047994,0.5534930312898543,False
official_300,8d,32768,ensemble,mui,0.2727206127206127,3.31678599451824e-20,0.6021778221778222,0.031109684237559703,-0.0031969057706495124,0.05216107942137693,True
official_300,8d,32768,ensemble,b,0.04054279054279053,0.6918879468953957,0.5035364635364635,0.08845446255354074,-0.0032045929009715717,0.38372227234555545,False
official_300,8d,32768,ensemble,tauA,0.08348984348984345,0.02877245094127212,0.5279320679320679,0.10078597115132486,-0.018713374215488632,0.7236782015672332,False
official_300,8d,32768,ensemble,g_LK,0.047908757908757815,0.48180002304172975,0.5025807525807526,0.09362554130077576,0.026328612497697274,0.616241434357996,False
official_300,8d,32768,ensemble,g_h,0.04293373293373293,0.6220906058096611,0.500889110889111,0.08769591635765596,0.02248537343926728,0.7211222025918076,False
official_300,8d,32768,ensemble,c_th2ctx,0.07541791541791543,0.06255322039675237,0.498018648018648,0.10019672680673886,-0.048548060546939574,0.6601898639860859,False
official_300,8d,32768,ensemble,c_ctx2th,0.01850482850482854,0.9999118392102935,0.4982817182817183,0.08410256855296765,0.002363390556226174,0.9949686648113591,False
official_300,8d,32768,member_1,mue,0.08936396936396929,0.015559530203012378,0.5228138528138527,0.10466346137922054,-0.016425483531008166,0.5425807716308424,False
official_300,8d,32768,member_1,mui,0.31695304695304694,2.7010823312707565e-27,0.6850249750249751,0.04163311277678515,-0.006420104888578256,0.051090333993144756,True
official_300,8d,32768,member_1,b,0.05575424575424576,0.29749557144544536,0.5036430236430237,0.09340929718251394,-0.003088053713242213,0.3991292037965247,False
official_300,8d,32768,member_1,tauA,0.0948151848151848,0.008472058798476288,0.5313020313020314,0.1022613238090069,-0.02215514348509411,0.7041019795516065,False
official_300,8d,32768,member_1,g_LK,0.05923409923409928,0.23381191478900842,0.5021578421578422,0.09758795833483687,0.025238040952632823,0.6217726055072746,False
official_300,8d,32768,member_1,g_h,0.02872127872127872,0.9595240387097069,0.4937096237096237,0.08750448411813803,0.027514146463945507,0.7411723140906145,False
official_300,8d,32768,member_1,c_th2ctx,0.08176823176823173,0.034181007574608735,0.5021978021978022,0.10530293431338873,-0.05031586730542282,0.6478746736241042,False
official_300,8d,32768,member_1,c_ctx2th,0.02167166167166157,0.9984564129904645,0.5004329004329005,0.08475805020063437,-0.003777495293567578,0.9923325271264258,False
official_300,8d,32768,member_2,mue,0.08794871794871795,0.018112558820354414,0.5225308025308025,0.10296886280608245,-0.014428011880566676,0.5516394139055876,False
official_300,8d,32768,member_2,mui,0.32999000999001,1.3174503708792462e-29,0.6694572094572095,0.04224228985581346,-0.00465160417680939,0.03847860137021958,True
official_300,8d,32768,member_2,b,0.04412254412254413,0.5875923082092898,0.5028471528471529,0.09001746785618434,-0.000894915722310543,0.3672488766284925,False
official_300,8d,32768,member_2,tauA,0.087968697968698,0.018074055661840643,0.5248884448884449,0.10119433871240593,-0.015577600750451287,0.7219420177186382,False
official_300,8d,32768,member_2,g_LK,0.04624708624708629,0.5272456868520208,0.5062204462204463,0.09150177647259161,0.023952354136854412,0.615420380371888,False
official_300,8d,32768,member_2,g_h,0.04562437562437571,0.5447088696145164,0.49289377289377284,0.09184052859614757,0.027013345134134094,0.6844062334252774,False
official_300,8d,32768,member_2,c_th2ctx,0.10076923076923078,0.004185332412379626,0.46730269730269736,0.09887423002358234,-0.026631521101420124,0.6652638960619977,True
official_300,8d,32768,member_2,c_ctx2th,0.025834165834165812,0.9852206590013027,0.49538128538128545,0.08525619311565806,0.0057851647647718584,0.9923706220492063,False
official_300,8d,32768,member_3,mue,0.08828504828504824,0.017474089540297152,0.5136829836829836,0.10210793418645767,-0.00460980961099267,0.5557823141866791,False
official_300,8d,32768,member_3,mui,0.314005994005994,8.708001827606111e-27,0.6607925407925408,0.043785900622442,-0.003276200364343822,0.024215875831198143,True
official_300,8d,32768,member_3,b,0.0597602397602397,0.22514397977747858,0.5199433899433898,0.09117744889688666,-0.013144634012132884,0.32980836835643546,False
official_300,8d,32768,member_3,tauA,0.07082917082917084,0.09390989936529714,0.5199300699300698,0.10057675344144727,-0.0023312977235764266,0.7270791025698569,False
official_300,8d,32768,member_3,g_LK,0.04858141858141862,0.4639452492335395,0.5044622044622045,0.0935532102826347,0.02182579493150115,0.5778830991235668,False
official_300,8d,32768,member_3,g_h,0.059274059274059265,0.23314491752246957,0.504988344988345,0.09298244375768858,0.019765284207339088,0.6125241854769702,False
official_300,8d,32768,member_3,c_th2ctx,0.06439893439893443,0.158960424005251,0.5023276723276724,0.09944291549532462,-0.048902182830497624,0.6266355411242283,False
official_300,8d,32768,member_3,c_ctx2th,0.030356310356310368,0.9370694371345956,0.4952047952047952,0.08339386466276298,0.008947622211029132,0.9983355229934223,False
official_300,8d,32768,member_4,mue,0.10604062604062603,0.00216254254675105,0.534022644022644,0.10565094709254898,-0.02481316282724341,0.5280189615884019,True
official_300,8d,32768,member_4,mui,0.34958374958374955,2.818444934634732e-33,0.6866633366633367,0.03783465489568751,-0.0060744097549468275,0.05598314418538193,True
official_300,8d,32768,member_4,b,0.0631135531135531,0.17552647099082264,0.4949250749250749,0.0922762451331541,0.0025468088934818903,0.4128796126313937,False
official_300,8d,32768,member_4,tauA,0.10385614385614383,0.0028548451040050103,0.5343922743922744,0.10558838782548183,-0.028026868319138885,0.7003712580759387,True
official_300,8d,32768,member_4,g_LK,0.06112554112554114,0.20378777137002524,0.511092241092241,0.09806974169992423,0.018357459083199502,0.6578984388950937,False
official_300,8d,32768,member_4,g_h,0.04263736263736273,0.6307369323299055,0.5101565101565101,0.08954880503732988,0.01786175310301284,0.7425120371608677,False
official_300,8d,32768,member_4,c_th2ctx,0.09075924075924069,0.01336326342282151,0.5100299700299701,0.10356984543493687,-0.059754667545979225,0.6572369912792262,False
official_300,8d,32768,member_4,c_ctx2th,0.02832833832833831,0.9640419731092945,0.49421245421245413,0.08372018556309181,0.008604862621674935,0.994962831848928,False
official_300,8d,32768,member_5,mue,0.08366633366633369,0.028263106170642982,0.5233633033633034,0.10158962600340621,-0.019830753710120917,0.5530670959845374,False
official_300,8d,32768,member_5,mui,0.3476656676656677,6.60256867723695e-33,0.3075757575757575,0.038945484522482775,0.0060324892308563,0.04980679190064398,True
official_300,8d,32768,member_5,b,0.05504162504162502,0.31192653106960555,0.49418581418581425,0.09211215274623438,0.0008148193297286829,0.3864396585514328,False
official_300,8d,32768,member_5,tauA,0.0776423576423576,0.05090061361762077,0.5297269397269397,0.09972321383796194,-0.020868915707493822,0.7342725647737463,False
official_300,8d,32768,member_5,g_LK,0.049523809523809526,0.439514071373183,0.48681984681984686,0.09351765640921302,0.04037132412816087,0.6170305877177105,False
official_300,8d,32768,member_5,g_h,0.038285048285048195,0.7564811067140463,0.5015850815850815,0.08801548885518427,0.02182759520597756,0.7548063733916794,False
official_300,8d,32768,member_5,c_th2ctx,0.0863769563769563,0.02138084311063838,0.5041058941058941,0.10044897274266568,-0.05394909436814487,0.6722451778050611,False
official_300,8d,32768,member_5,c_ctx2th,0.02654678654678655,0.9804249748304565,0.5041625041625042,0.08498992735157908,-0.007935785818845034,0.9894475852032778,False
