track,estimator,feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
8d,member_1,r_exc_mean_hz,0.06622528415645532,0.4840955016451484,0.8631978939457285,True
8d,member_1,r_exc_std_hz,0.12925186601576535,0.5070538871095158,0.745092446184425,True
8d,member_1,r_exc_relative_so_power,0.648030560236128,0.6370372215404273,-0.017256980163761204,False
8d,member_1,r_exc_relative_sigma_power,0.6949558067779917,1.2009036333102099,0.42130593371393765,True
8d,member_1,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_1,r_exc_sigma_peak_frequency_hz,1.75,2.0,0.125,True
8d,member_1,r_exc_spectral_entropy_0p5_20,0.1615398627826966,0.699942910687691,0.769209945102545,True
8d,member_1,r_inh_mean_hz,0.0845939929336911,0.507075139530506,0.8331726674432993,True
8d,member_1,r_inh_std_hz,0.10645702148590976,0.5163369064393546,0.7938225601186742,True
8d,member_1,r_inh_relative_so_power,0.7013134648972317,0.7759321507413934,0.09616650859597009,True
8d,member_1,r_inh_relative_sigma_power,0.5895232563564465,1.8358007235477087,0.6788740472782987,True
8d,member_1,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_1,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
8d,member_1,r_inh_spectral_entropy_0p5_20,0.19051645273800544,0.8552273200866184,0.7772329668810045,True
