track,estimator,feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
7d,member_2,r_exc_mean_hz,0.03889232010726476,0.4804497691422407,0.9190501846286653,True
7d,member_2,r_exc_std_hz,0.08787120070398796,0.5084701442481019,0.8271851323071738,True
7d,member_2,r_exc_relative_so_power,0.41528593958763416,0.6531174875358698,0.36414818541384375,True
7d,member_2,r_exc_relative_sigma_power,0.5943932499545066,1.1902638376820653,0.5006205925637164,True
7d,member_2,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_2,r_exc_sigma_peak_frequency_hz,2.0,2.6666666666666665,0.25,True
7d,member_2,r_exc_spectral_entropy_0p5_20,0.11423645516585151,0.690941616065677,0.8346655455256398,True
7d,member_2,r_inh_mean_hz,0.052379123822495155,0.5166498679191349,0.8986177543537214,True
7d,member_2,r_inh_std_hz,0.08662142413893309,0.5333412823650847,0.8375872504096942,True
7d,member_2,r_inh_relative_so_power,0.47803385257504727,0.7485746533494781,0.36140790977079307,True
7d,member_2,r_inh_relative_sigma_power,0.4465171800933101,1.8409243828711035,0.7574494725324228,True
7d,member_2,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_2,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_2,r_inh_spectral_entropy_0p5_20,0.14332176219612952,0.8515489770434956,0.8316928725653218,True
