x,y,n,spearman_rho,p_value
c_th2ctx,T13_ctx_verified_density_per_min,4960,0.1476077920389098,1.4608847619354335e-25
c_th2ctx,T6_ibi_cv,4960,0.26387751066268145,8.464950071518805e-80
c_th2ctx,T4_q,4960,-0.3551934994973447,2.0414684610133275e-147
c_ctx2th,T13_ctx_verified_density_per_min,4960,-0.027756352793218385,0.050619912821224904
c_ctx2th,T6_ibi_cv,4960,0.017062911694280414,0.2295655162345076
g_LK,T13_ctx_verified_density_per_min,4960,-0.14587391066657251,5.364903847390871e-25
g_LK,T6_ibi_cv,4960,-0.06419137403947739,6.058140323258497e-06
g_h,T13_ctx_verified_density_per_min,4960,-0.10666054581965224,5.019547322762425e-14
g_h,T6_ibi_cv,4960,-0.10334548779498741,2.9634283088078603e-13
