eval,score,failed_constraint,c_th2ctx,c_ctx2th,T4_q,T6_ibi_cv,T8_n_sp_events,T12_n_verified,T13_n_ctx_events,T13_n_ctx_verified,T13_ctx_verified_density_per_min,shape_r,so_power,thal_spindle_power,ctx_spindle_power
2482,-0.769231,T13,0.0142349649881936,0.1757967914283368,2.814,0.287,19,16,3,0,0.0,0.0,0.0,0.0,0.0
2496,-0.769231,T13,0.0159935746150972,0.1558065483449,3.219,0.36,24,13,0,0,0.0,0.0,0.0,0.0,0.0
2502,-0.769231,T13,0.0157283526385115,0.1047126310916089,2.707,0.337,23,19,0,0,0.0,0.0,0.0,0.0,0.0
2515,-0.769231,T13,0.0118581246886741,0.1932612001634163,3.097,0.376,26,16,0,0,0.0,0.0,0.0,0.0,0.0
2531,-0.769231,T13,0.0182229682528469,0.130499362240702,3.184,0.344,24,10,0,0,0.0,0.0,0.0,0.0,0.0
2576,-0.769231,T13,0.0235958269818408,0.1309951124395816,4.259,0.377,13,10,3,0,0.0,0.0,0.0,0.0,0.0
2608,-0.769231,T13,0.0288361696254291,0.102180416598234,3.647,0.399,23,20,1,0,0.0,0.0,0.0,0.0,0.0
2700,-0.769231,T13,0.0339338937163132,0.0595748558873299,2.871,0.356,16,12,4,0,0.0,0.0,0.0,0.0,0.0
2735,-0.769231,T13,0.0193711687583122,0.1240607647689655,3.204,0.371,20,10,1,0,0.0,0.0,0.0,0.0,0.0
2822,-0.769231,T13,0.0157283526385115,0.0809526918307138,3.595,0.398,21,15,1,0,0.0,0.0,0.0,0.0,0.0
3053,-0.769231,T13,0.0219569156230849,0.1551299647165518,3.432,0.38,20,18,1,0,0.0,0.0,0.0,0.0,0.0
3081,-0.769231,T13,0.0138393764781742,0.1450733080978151,2.575,0.178,23,22,3,0,0.0,0.0,0.0,0.0,0.0
3115,-0.769231,T13,0.0117921627669642,0.1029103404412201,3.3,0.232,25,20,1,0,0.0,0.0,0.0,0.0,0.0
3181,-0.769231,T13,0.0222715335628076,0.1532077264863691,2.929,0.382,20,14,0,0,0.0,0.0,0.0,0.0,0.0
3214,-0.769231,T13,0.016684276448857,0.1600350813268817,3.301,0.374,22,20,0,0,0.0,0.0,0.0,0.0,0.0
3218,-0.769231,T13,0.0210378611624353,0.1308552513731128,2.574,0.346,25,15,1,0,0.0,0.0,0.0,0.0,0.0
3224,-0.769231,T13,0.0231837830794815,0.0611794170701877,2.455,0.332,19,14,1,0,0.0,0.0,0.0,0.0,0.0
3260,-0.769231,T13,0.0195325758137091,0.1752225098126877,3.245,0.364,19,14,1,0,0.0,0.0,0.0,0.0,0.0
3268,-0.769231,T13,0.0171244555467084,0.1558392411519807,3.578,0.373,22,18,1,0,0.0,0.0,0.0,0.0,0.0
3281,-0.769231,T13,0.0167392056614775,0.0832488069590561,4.531,0.4,24,12,0,0,0.0,0.0,0.0,0.0,0.0
3299,-0.769231,T13,0.0184718699876492,0.1807746492129757,3.629,0.347,19,10,0,0,0.0,0.0,0.0,0.0,0.0
3305,-0.769231,T13,0.0208044070952597,0.1686169702969091,2.887,0.342,11,11,0,0,0.0,0.0,0.0,0.0,0.0
3373,-0.769231,T13,0.0257861770968556,0.1737096945851826,2.042,0.39,19,18,1,0,0.0,0.0,0.0,0.0,0.0
3384,-0.769231,T13,0.0222456899585281,0.1416812357525217,3.307,0.389,24,17,0,0,0.0,0.0,0.0,0.0,0.0
3399,-0.769231,T13,0.0094944657878854,0.123069272315586,2.52,0.328,18,12,0,0,0.0,0.0,0.0,0.0,0.0
3452,-0.769231,T13,0.0360271496699933,0.2026828417561438,3.34,0.382,24,24,2,0,0.0,0.0,0.0,0.0,0.0
3463,-0.769231,T13,0.0227717608664022,0.0560345879268853,3.529,0.333,18,18,1,0,0.0,0.0,0.0,0.0,0.0
3493,-0.769231,T13,0.0207707779901037,0.1488326099489233,2.657,0.392,22,15,0,0,0.0,0.0,0.0,0.0,0.0
3548,-0.769231,T13,0.0249171230841486,0.1440719845254901,2.752,0.307,24,19,1,0,0.0,0.0,0.0,0.0,0.0
3609,-0.769231,T13,0.0269439211436204,0.1176476712083735,2.633,0.334,20,9,1,0,0.0,0.0,0.0,0.0,0.0
3632,-0.769231,T13,0.0391878799701248,0.1850257277186896,2.877,0.35,20,9,4,0,0.0,0.0,0.0,0.0,0.0
3691,-0.769231,T13,0.0118807685537524,0.126987983308975,2.766,0.355,19,17,1,0,0.0,0.0,0.0,0.0,0.0
3731,-0.769231,T13,0.0436770388168388,0.0734194534180212,2.214,0.394,23,15,3,0,0.0,0.0,0.0,0.0,0.0
3738,-0.769231,T13,0.0310007101649246,0.1454881528064735,3.105,0.374,18,5,1,0,0.0,0.0,0.0,0.0,0.0
3764,-0.769231,T13,0.0249955302518001,0.15302832609261,3.342,0.398,16,14,2,0,0.0,0.0,0.0,0.0,0.0
3773,-0.769231,T13,0.0099649708807382,0.157296292416806,3.89,0.203,21,15,0,0,0.0,0.0,0.0,0.0,0.0
3833,-0.769231,T13,0.0122512109561572,0.141314765984661,4.65,0.374,21,9,0,0,0.0,0.0,0.0,0.0,0.0
3862,-0.769231,T13,0.0262822106889673,0.1212685827417255,2.531,0.364,23,17,1,0,0.0,0.0,0.0,0.0,0.0
3864,-0.769231,T13,0.0282589066420846,0.1416812357525217,4.062,0.332,21,16,1,0,0.0,0.0,0.0,0.0,0.0
3904,-0.769231,T13,0.0314094625245603,0.0879419327107008,2.087,0.39,20,10,9,0,0.0,0.0,0.0,0.0,0.0
3909,-0.769231,T13,0.028456610026207,0.1318649786459738,2.852,0.378,22,14,1,0,0.0,0.0,0.0,0.0,0.0
3925,-0.769231,T13,0.0422203840806678,0.1357389924491144,3.068,0.394,19,10,7,0,0.0,0.0,0.0,0.0,0.0
4039,-0.769231,T13,0.0215493671200534,0.123069272315586,2.824,0.356,25,21,0,0,0.0,0.0,0.0,0.0,0.0
