seed,condition,stable,R,dT2,dT5,dT6,pulse_count,saturation_fraction,command_range,control_energy,realized_pulse_phase_rad,T1,T2,T3,T4,T5,T6,T7,T8_MVP_cortical_state_crossing_rate,phase_target_rad,stage
66029,PV_PHASE_LOCKED,True,-0.058864250599339626,-0.006503978996353263,-0.04591184743809961,-0.17653719696655237,24,0.0,0.035,0.0032340000000000008,-2.0803642227512236,0.75,8.026939740901888,53.0,0.0,0.8613955656176291,0.2307731111585517,1.186011547949469,62.0,-3.141592653589793,SCREEN
66029,PV_PHASE_LOCKED,True,-0.05581746976182265,-0.013539855804820212,-0.03571166434015821,-0.16047850309749195,28,0.0,0.035,0.0037730000000000007,-3.1065657928576025,0.75,7.970093454684335,53.0,0.0,0.8706047696785553,0.2352735144938986,1.1241058589736852,60.0,-1.5707963267948966,SCREEN
66029,PV_PHASE_LOCKED,True,-0.05675797424240475,-0.01028745584860881,-0.02628395258550962,-0.18017303268689175,27,0.0,0.035,0.0036382500000000013,-0.4751104606960061,0.75,7.996371182938795,53.0,0.0,0.8791165503537153,0.22975417852704336,1.1283123461560278,62.0,0.0,SCREEN
66029,PV_PHASE_LOCKED,True,-0.062118936419864594,-0.015551018257352424,-0.032609158616699295,-0.18476455054805424,27,0.0,0.035,0.003638250000000001,0.5019063239945468,0.75,7.953844290647088,53.0,0.0,0.8734058574662138,0.2284674186905854,1.1087452225111942,60.0,1.5707963267948966,SCREEN
44017,PV_PHASE_LOCKED,True,0.040357099061229404,-0.039158496949492985,0.09635924424849467,0.1433861458954089,24,0.0,0.035,0.0032340000000000008,-2.170410982358157,0.75,7.785363303079189,56.0,0.0,0.9328855315027401,0.210873664215154,0.27256146869394376,69.0,-1.5707963267948966,CONFIRM
55021,PV_PHASE_LOCKED,True,0.031592678105093974,-0.04501068136489639,-0.10876533806714096,0.3251574132173096,27,0.0,0.035,0.0036382500000000013,-1.945609104733672,0.75,8.093201595275398,54.0,0.0,0.9758851401703312,0.29696583131367155,1.8495788370930455,60.0,-1.5707963267948966,CONFIRM
