epoch,train_loss,validation_loss,improved
0,21.10118739508884,20.167028669031655,True
1,19.273590092548375,18.033729097319814,True
2,16.72319362509964,14.884047564064584,True
3,13.001270055479765,10.475173578029725,True
4,8.23642617180234,5.526348346617164,True
5,3.941191401673761,2.5668241535745016,True
6,2.3043518287649376,1.7404600027130872,True
7,1.5550482306579385,1.194241353360618,True
8,1.114509176130842,0.8172186921282513,True
9,0.7565686632862021,0.4828108630529264,True
10,0.3755116415038359,0.09525615340325891,True
11,-0.04935541043060312,-0.41918730852080555,True
12,-0.4962962023067824,-0.7752324066511015,True
13,-0.8458929465803908,-1.0518347731450708,True
14,-1.1434690290027194,-1.3342299452642115,True
15,-1.4303579736541916,-1.5988445584366962,True
16,-1.7007319691416982,-1.8644919511748523,True
17,-1.9410405755770803,-2.1061316949565234,True
18,-2.2008857785272657,-2.3339685533104872,True
19,-2.3819216991955545,-2.4276463078289496,True
20,-2.5511768289246985,-2.6701423889253197,True
21,-2.661194649080363,-2.7907956763011654,True
22,-2.7623108300825034,-2.745739490229909,False
23,-2.8765976955893566,-2.938716325527284,True
24,-2.9925665663275525,-3.1381289447226175,True
25,-3.134581346942683,-3.23635722137079,True
26,-3.2641372249822185,-3.3266671704082955,True
27,-3.408747149911119,-3.513156159331159,True
28,-3.4867335937835358,-3.4633588488509015,False
29,-3.589806726127317,-3.6739882899493708,True
30,-3.708460733567402,-3.800040048506202,True
31,-3.814438259790814,-3.9332785606384277,True
32,-3.968085799316201,-4.082199180416945,True
33,-4.103374385135078,-4.179671827176722,True
34,-4.197111519265087,-4.310532344259867,True
35,-4.310126418741341,-4.420789644194812,True
36,-4.423549336537046,-4.482408851530494,True
37,-4.48988612143548,-4.481522548489455,False
38,-4.500083634559343,-4.600643506864222,True
39,-4.646407360267872,-4.594846316081721,False
40,-4.684707044827341,-4.728332121779279,True
41,-4.760132510729034,-4.735922124909192,True
42,-4.787794334402306,-4.780702914261236,True
43,-4.874257136031676,-4.86624087589543,True
44,-4.946463564522246,-4.921069198701439,True
45,-4.947337775294452,-4.980443447392162,True
46,-4.927632361541301,-5.020939084960193,True
47,-5.082650180555817,-5.142980094072295,True
48,-5.162615069248447,-5.145936758925275,True
49,-5.200137484786857,-5.255414055614937,True
50,-5.27492496760628,-5.218030527161389,False
51,-5.325332912333282,-5.219698982703976,False
52,-5.339931719760173,-5.379942238040087,True
53,-5.418002571669545,-5.334969936929098,False
54,-5.289968363094679,-5.472164977469095,True
