target,metric,description,negative_effect_seed_44017,negative_effect_seed_55021,negative_effect_seed_66029,negative_effect_median,positive_effect_seed_44017,positive_effect_seed_55021,positive_effect_seed_66029,positive_effect_median
T1,so_peak_frequency_hz,Oscillation frequency / entrainment,3.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0
T2,so_rms_amplitude,Slow-oscillation amplitude,-0.9436461524766238,-0.4453010600940716,-0.3160919320380648,-0.4453010600940716,0.11312440618265292,0.30952975440823355,0.266755200526516,0.266755200526516
T3,so_density_per_min,Slow-oscillation density,1.95,0.05263157894736842,-0.3333333333333333,0.05263157894736842,0.25,0.3157894736842105,0.047619047619047616,0.25
T4,spindle_density_per_min,Spindle density,-1.0,-0.5,2000000000000.0,-0.5,-0.6666666666666666,-0.5,2000000000000.0,-0.5
T5,sigma_power,Spindle amplitude / power,-0.9880090699856636,-0.8785216793098863,-0.8328755886503517,-0.8785216793098863,0.24640759355428712,0.25356334477943054,0.7345592821820999,0.25356334477943054
T6,coupling_strength,SO-spindle coupling strength,-0.7337607788858668,-0.5096235716379224,-0.22203097861502993,-0.5096235716379224,0.126866466620408,0.0899189041602215,0.028805377663037417,0.0899189041602215
T7,preferred_phase_rad,Preferred phase / timing,-0.39375828566516274,1.0438001059817386,-0.06853934355552416,-0.06853934355552416,-0.5865892715425597,0.12215167680485835,0.022342607557087182,0.022342607557087182
T8,state_transitions_per_min,Dynamical regime / state transition,7.538461538461538,2.3870967741935485,1.8235294117647058,2.3870967741935485,-0.23076923076923078,-0.6451612903225806,-0.6764705882352942,-0.6451612903225806
