seed,segment,time_end_s,applied_command_mV_per_ms,measurement,setpoint,normalized_error
44017,0,2.0,0.0,,1.177282590583944,
44017,1,4.0,0.0,,1.177282590583944,
44017,2,6.0,0.0,,1.177282590583944,
44017,3,8.0,0.0,,1.177282590583944,
44017,4,10.0,0.05,0.04022247898848919,1.177282590583944,0.9658344739740536
44017,5,12.0,0.0,1.5381056535125053,1.177282590583944,-0.3064880648150836
44017,6,14.0,0.0,1.383783670267518,1.177282590583944,-0.175404852951361
44017,7,16.0,0.0,1.3198290418478142,1.177282590583944,-0.12108091328621948
44017,8,18.0,0.0,1.3202335716821034,1.177282590583944,-0.12142452648285099
44017,9,20.0,0.0,1.2604186284529977,1.177282590583944,-0.07061689226867567
44017,10,22.0,0.05,0.04756329165946305,1.177282590583944,0.959599086880346
44017,11,24.0,0.0108760758791776,1.1853378868624784,1.177282590583944,-0.00684227928193435
44017,12,26.0,0.00976457257924606,1.2058393445051827,1.177282590583944,-0.024256498949053823
44017,13,28.0,0.009195297567026306,1.2123010702499737,1.177282590583944,-0.029745177535208656
44017,14,30.0,0.008983611876181278,1.2106726854351488,1.177282590583944,-0.028362005110976033
44017,15,32.0,0.011022183309255362,1.1652246957279468,1.177282590583944,0.010242141481100326
44017,16,34.0,0.05,0.04115803745033819,1.177282590583944,0.9650397977685855
44017,17,36.0,0.017251877802246126,1.2306646591544024,1.177282590583944,-0.04534346213680135
44017,18,38.0,0.015193093418239278,1.2622192147043167,1.177282590583944,-0.07214633495789946
44017,19,40.0,0.014125564579491044,1.2690949340998163,1.177282590583944,-0.07798666543631855
44017,20,42.0,0.013336397133327538,1.2693568020317298,1.177282590583944,-0.078209099653904
44017,21,44.0,0.0,1.67456560112133,1.177282590583944,-0.4223990183110825
44017,22,46.0,0.011465380001028987,1.2081946201254519,1.177282590583944,-0.026257102405782863
44017,23,48.0,0.01075990859261829,1.2168640036427123,1.177282590583944,-0.033620995821517764
44017,24,50.0,0.0103124951444284,1.2190400460794906,1.177282590583944,-0.035469356150790055
44017,25,52.0,0.010676132939426371,1.2049677381712809,1.177282590583944,-0.023516144559315083
44017,26,54.0,0.05,0.047791486468083275,1.177282590583944,0.9594052550761171
44017,27,56.0,0.010594481448902966,1.3612035494499637,1.177282590583944,-0.15622498823735528
