seed,dose_mV_per_ms,condition,numerically_stable,max_abs_rate_hz,elapsed_s,so_peak_frequency_hz,so_rms_amplitude,so_density_per_min,spindle_density_per_min,sigma_power,coupling_strength,preferred_phase_rad,state_transitions_per_min
44017,0.0,SHAM,True,59.208224159070426,8.79700000025332,0.25,0.9810688254866199,20.0,3.0,0.06828036316993441,0.4059356642364649,-0.07572278049548363,13.0
55021,0.0,SHAM,True,59.66416424071555,5.015999999828637,0.625,0.8216658477133295,19.0,2.0,0.07498910488427969,0.42416033730425323,-0.059526481105320536,31.0
66029,0.0,SHAM,True,58.958645783198115,4.984000000171363,0.625,0.9425045901776773,21.0,0.0,0.05562994901898592,0.4455545415328919,-0.14207749556473828,34.0
44017,-0.035,NEGATIVE,True,59.20837953356596,5.0,1.0,0.055287003001410776,59.0,0.0,0.0008187450561241538,0.10807599506876471,-0.10553925272918468,111.0
55021,-0.035,NEGATIVE,True,59.66384408478309,5.516000000294298,1.0,0.4557771746834899,20.0,1.0,0.009109550531397103,0.2079982312601138,0.002607266181133,105.0
66029,-0.035,NEGATIVE,True,58.95821620993901,4.859999999869615,0.625,0.6445864933136708,14.0,2.0,0.00929712248320896,0.34662763064997293,-0.15181539384475834,96.0
44017,0.035,POSITIVE,True,59.20860211680032,5.030999999959022,0.25,1.0920516537941065,25.0,1.0,0.08510516314565073,0.4574352876333535,-0.12014095114550652,10.0
55021,0.035,POSITIVE,True,59.66404665592882,4.9219999997876585,0.625,1.0759958757616694,25.0,1.0,0.09400359314075318,0.4623003700228816,-0.052255221624012915,11.0
66029,0.035,POSITIVE,True,58.95895776145138,4.984000000171363,0.625,1.1939225911276854,22.0,2.0,0.09649344443819903,0.45838890837122837,-0.13890311383864154,11.0
