dataset_id,track,scale,estimator,cases,joint_rank_ks_statistic,joint_rank_ks_pvalue,mean_posterior_median_abs_error,prior_median_abs_error,recovery_improvement_fraction,median_normalized_posterior_sd
official_300,7d,32768,ensemble,300,0.2034299034299034,2.3147698538216486e-11,0.12623901981594307,0.24995115581678137,0.49494524478823165,0.5990716964887517
official_300,7d,32768,member_1,300,0.030026640026640017,0.942072656277365,0.12817758001631038,0.24995115581678137,0.48718948869247547,0.5744404640490351
official_300,7d,32768,member_2,300,0.03403263403263401,0.8659527963912752,0.1219992521303218,0.24995115581678137,0.5119076295860403,0.560604909448412
official_300,7d,32768,member_3,300,0.06484515484515485,0.15350979767343553,0.12908780962317473,0.24995115581678137,0.4835478587752625,0.5937891747202779
official_300,7d,32768,member_4,300,0.04761238761238762,0.4897708543729963,0.12888454017229378,0.24995115581678137,0.4843610954663141,0.5987392950588797
official_300,7d,32768,member_5,300,0.03965700965700966,0.7175127148667304,0.12917057387841244,0.24995115581678137,0.483216737060833,0.6362835965097728
