parameter_a,parameter_b,correlation,absolute_correlation
mue,tauA,0.8463713264952046,0.8463713264952046
g_h,c_th2ctx,0.5870082354832197,0.5870082354832197
g_LK,c_th2ctx,0.44658054982148915,0.44658054982148915
b,tauA,-0.3272154225535377,0.3272154225535377
mui,g_LK,0.19694608498187768,0.19694608498187768
mue,b,0.15172161011550858,0.15172161011550858
b,g_h,0.14514127660401757,0.14514127660401757
b,g_LK,-0.14212246024913106,0.14212246024913106
mui,g_h,-0.12831357048365705,0.12831357048365705
mue,g_LK,-0.08107318302066778,0.08107318302066778
tauA,c_th2ctx,0.06404365372990914,0.06404365372990914
mue,mui,-0.06295634812485275,0.06295634812485275
mue,c_th2ctx,0.057559432929146455,0.057559432929146455
mue,g_h,0.05261642576251468,0.05261642576251468
mui,c_th2ctx,-0.04922853067032965,0.04922853067032965
mui,b,0.035744632444021436,0.035744632444021436
mui,tauA,0.031605082134277734,0.031605082134277734
c_th2ctx,c_ctx2th,0.03091028262936646,0.03091028262936646
b,c_ctx2th,0.03028727881445403,0.03028727881445403
g_LK,g_h,-0.02983042388260712,0.02983042388260712
tauA,g_LK,0.022126778238694567,0.022126778238694567
tauA,g_h,-0.021638612449416318,0.021638612449416318
g_h,c_ctx2th,0.017206984586654518,0.017206984586654518
tauA,c_ctx2th,-0.01289528030343488,0.01289528030343488
g_LK,c_ctx2th,-0.009557619142862754,0.009557619142862754
b,c_th2ctx,-0.006992024791575438,0.006992024791575438
mui,c_ctx2th,0.0045806618755853765,0.0045806618755853765
mue,c_ctx2th,-0.004281247037567861,0.004281247037567861
