dataset_id,track,scale,estimator,cases,joint_rank_ks_statistic,joint_rank_ks_pvalue,mean_posterior_median_abs_error,prior_median_abs_error,recovery_improvement_fraction,median_normalized_posterior_sd
powered_1024,8d,32768,ensemble,1024,0.2250122923951049,4.914556785984683e-46,0.1423813534660212,0.24999999934038897,0.43047458463325416,0.6357103659982847
powered_1024,8d,32768,member_1,1024,0.03995028409090906,0.07407651695413475,0.14490938414752463,0.24999999934038897,0.42036246188056026,0.6328563181283674
powered_1024,8d,32768,member_2,1024,0.056157709478021955,0.0030088172778605423,0.14229374281302398,0.24999999934038897,0.43082502724616767,0.6333001652740702
powered_1024,8d,32768,member_3,1024,0.028643231768231803,0.3634002185926325,0.13964772516800394,0.24999999934038897,0.44140909785417337,0.5898527767949906
powered_1024,8d,32768,member_4,1024,0.04973834758991014,0.012176154582190924,0.14646229149320789,0.24999999934038897,0.41415083248143814,0.6413159074185608
powered_1024,8d,32768,member_5,1024,0.029275412087912067,0.33741872875944967,0.1446471173245527,0.24999999934038897,0.42141152917521585,0.6443059459037428
