dataset_id,track,scale,estimator,nominal,empirical
powered_1024,8d,32768,ensemble,0.0,0.0
powered_1024,8d,32768,ensemble,0.01,0.0234375
powered_1024,8d,32768,ensemble,0.02,0.0478515625
powered_1024,8d,32768,ensemble,0.03,0.068359375
powered_1024,8d,32768,ensemble,0.04,0.0888671875
powered_1024,8d,32768,ensemble,0.05,0.1123046875
powered_1024,8d,32768,ensemble,0.06,0.142578125
powered_1024,8d,32768,ensemble,0.07,0.1611328125
powered_1024,8d,32768,ensemble,0.08,0.1787109375
powered_1024,8d,32768,ensemble,0.09,0.201171875
powered_1024,8d,32768,ensemble,0.1,0.2158203125
powered_1024,8d,32768,ensemble,0.11,0.2255859375
powered_1024,8d,32768,ensemble,0.12,0.240234375
powered_1024,8d,32768,ensemble,0.13,0.255859375
powered_1024,8d,32768,ensemble,0.14,0.2646484375
powered_1024,8d,32768,ensemble,0.15,0.283203125
powered_1024,8d,32768,ensemble,0.16,0.302734375
powered_1024,8d,32768,ensemble,0.17,0.3173828125
powered_1024,8d,32768,ensemble,0.18,0.337890625
powered_1024,8d,32768,ensemble,0.19,0.3525390625
powered_1024,8d,32768,ensemble,0.2,0.3720703125
powered_1024,8d,32768,ensemble,0.21,0.3828125
powered_1024,8d,32768,ensemble,0.22,0.4013671875
powered_1024,8d,32768,ensemble,0.23,0.4150390625
powered_1024,8d,32768,ensemble,0.24,0.4306640625
powered_1024,8d,32768,ensemble,0.25,0.4443359375
powered_1024,8d,32768,ensemble,0.26,0.451171875
powered_1024,8d,32768,ensemble,0.27,0.466796875
powered_1024,8d,32768,ensemble,0.28,0.478515625
powered_1024,8d,32768,ensemble,0.29,0.4951171875
powered_1024,8d,32768,ensemble,0.3,0.5107421875
powered_1024,8d,32768,ensemble,0.31,0.5205078125
powered_1024,8d,32768,ensemble,0.32,0.5283203125
powered_1024,8d,32768,ensemble,0.33,0.5380859375
powered_1024,8d,32768,ensemble,0.34,0.552734375
powered_1024,8d,32768,ensemble,0.35000000000000003,0.5634765625
powered_1024,8d,32768,ensemble,0.36,0.5771484375
powered_1024,8d,32768,ensemble,0.37,0.5869140625
powered_1024,8d,32768,ensemble,0.38,0.5986328125
powered_1024,8d,32768,ensemble,0.39,0.609375
powered_1024,8d,32768,ensemble,0.4,0.623046875
powered_1024,8d,32768,ensemble,0.41000000000000003,0.62890625
powered_1024,8d,32768,ensemble,0.42,0.6298828125
powered_1024,8d,32768,ensemble,0.43,0.6376953125
powered_1024,8d,32768,ensemble,0.44,0.6494140625
powered_1024,8d,32768,ensemble,0.45,0.658203125
powered_1024,8d,32768,ensemble,0.46,0.669921875
powered_1024,8d,32768,ensemble,0.47000000000000003,0.6845703125
powered_1024,8d,32768,ensemble,0.48,0.6923828125
powered_1024,8d,32768,ensemble,0.49,0.705078125
powered_1024,8d,32768,ensemble,0.5,0.71484375
powered_1024,8d,32768,ensemble,0.51,0.724609375
powered_1024,8d,32768,ensemble,0.52,0.7314453125
powered_1024,8d,32768,ensemble,0.53,0.7451171875
powered_1024,8d,32768,ensemble,0.54,0.75390625
powered_1024,8d,32768,ensemble,0.55,0.7626953125
powered_1024,8d,32768,ensemble,0.56,0.765625
powered_1024,8d,32768,ensemble,0.5700000000000001,0.76953125
powered_1024,8d,32768,ensemble,0.58,0.775390625
powered_1024,8d,32768,ensemble,0.59,0.791015625
powered_1024,8d,32768,ensemble,0.6,0.794921875
powered_1024,8d,32768,ensemble,0.61,0.80078125
powered_1024,8d,32768,ensemble,0.62,0.8115234375
powered_1024,8d,32768,ensemble,0.63,0.8193359375
powered_1024,8d,32768,ensemble,0.64,0.830078125
powered_1024,8d,32768,ensemble,0.65,0.8330078125
powered_1024,8d,32768,ensemble,0.66,0.8388671875
powered_1024,8d,32768,ensemble,0.67,0.8466796875
powered_1024,8d,32768,ensemble,0.68,0.8544921875
powered_1024,8d,32768,ensemble,0.6900000000000001,0.861328125
powered_1024,8d,32768,ensemble,0.7000000000000001,0.8642578125
powered_1024,8d,32768,ensemble,0.71,0.87109375
powered_1024,8d,32768,ensemble,0.72,0.8818359375
powered_1024,8d,32768,ensemble,0.73,0.8837890625
powered_1024,8d,32768,ensemble,0.74,0.8896484375
powered_1024,8d,32768,ensemble,0.75,0.896484375
powered_1024,8d,32768,ensemble,0.76,0.9052734375
powered_1024,8d,32768,ensemble,0.77,0.9111328125
powered_1024,8d,32768,ensemble,0.78,0.916015625
powered_1024,8d,32768,ensemble,0.79,0.921875
powered_1024,8d,32768,ensemble,0.8,0.92578125
powered_1024,8d,32768,ensemble,0.81,0.927734375
powered_1024,8d,32768,ensemble,0.8200000000000001,0.935546875
powered_1024,8d,32768,ensemble,0.8300000000000001,0.9404296875
powered_1024,8d,32768,ensemble,0.84,0.9453125
powered_1024,8d,32768,ensemble,0.85,0.9521484375
powered_1024,8d,32768,ensemble,0.86,0.955078125
powered_1024,8d,32768,ensemble,0.87,0.9580078125
powered_1024,8d,32768,ensemble,0.88,0.9609375
powered_1024,8d,32768,ensemble,0.89,0.96484375
powered_1024,8d,32768,ensemble,0.9,0.9677734375
powered_1024,8d,32768,ensemble,0.91,0.97265625
powered_1024,8d,32768,ensemble,0.92,0.974609375
powered_1024,8d,32768,ensemble,0.93,0.9755859375
powered_1024,8d,32768,ensemble,0.9400000000000001,0.978515625
powered_1024,8d,32768,ensemble,0.9500000000000001,0.9814453125
powered_1024,8d,32768,ensemble,0.96,0.984375
powered_1024,8d,32768,ensemble,0.97,0.9873046875
powered_1024,8d,32768,ensemble,0.98,0.9921875
powered_1024,8d,32768,ensemble,0.99,0.9970703125
powered_1024,8d,32768,ensemble,1.0,1.0
powered_1024,8d,32768,member_1,0.0,0.0
powered_1024,8d,32768,member_1,0.01,0.0068359375
powered_1024,8d,32768,member_1,0.02,0.017578125
powered_1024,8d,32768,member_1,0.03,0.0283203125
powered_1024,8d,32768,member_1,0.04,0.0400390625
powered_1024,8d,32768,member_1,0.05,0.052734375
powered_1024,8d,32768,member_1,0.06,0.0654296875
powered_1024,8d,32768,member_1,0.07,0.0751953125
powered_1024,8d,32768,member_1,0.08,0.0966796875
powered_1024,8d,32768,member_1,0.09,0.1064453125
powered_1024,8d,32768,member_1,0.1,0.123046875
powered_1024,8d,32768,member_1,0.11,0.1328125
powered_1024,8d,32768,member_1,0.12,0.140625
powered_1024,8d,32768,member_1,0.13,0.1513671875
powered_1024,8d,32768,member_1,0.14,0.166015625
powered_1024,8d,32768,member_1,0.15,0.169921875
powered_1024,8d,32768,member_1,0.16,0.181640625
powered_1024,8d,32768,member_1,0.17,0.189453125
powered_1024,8d,32768,member_1,0.18,0.1953125
powered_1024,8d,32768,member_1,0.19,0.2119140625
powered_1024,8d,32768,member_1,0.2,0.220703125
powered_1024,8d,32768,member_1,0.21,0.23046875
powered_1024,8d,32768,member_1,0.22,0.24609375
powered_1024,8d,32768,member_1,0.23,0.2578125
powered_1024,8d,32768,member_1,0.24,0.2685546875
powered_1024,8d,32768,member_1,0.25,0.27734375
powered_1024,8d,32768,member_1,0.26,0.283203125
powered_1024,8d,32768,member_1,0.27,0.2958984375
powered_1024,8d,32768,member_1,0.28,0.3056640625
powered_1024,8d,32768,member_1,0.29,0.322265625
powered_1024,8d,32768,member_1,0.3,0.333984375
powered_1024,8d,32768,member_1,0.31,0.3408203125
powered_1024,8d,32768,member_1,0.32,0.3486328125
powered_1024,8d,32768,member_1,0.33,0.3544921875
powered_1024,8d,32768,member_1,0.34,0.361328125
powered_1024,8d,32768,member_1,0.35000000000000003,0.3720703125
powered_1024,8d,32768,member_1,0.36,0.3828125
powered_1024,8d,32768,member_1,0.37,0.3916015625
powered_1024,8d,32768,member_1,0.38,0.400390625
powered_1024,8d,32768,member_1,0.39,0.4130859375
powered_1024,8d,32768,member_1,0.4,0.4208984375
powered_1024,8d,32768,member_1,0.41000000000000003,0.43359375
powered_1024,8d,32768,member_1,0.42,0.4453125
powered_1024,8d,32768,member_1,0.43,0.4541015625
powered_1024,8d,32768,member_1,0.44,0.462890625
powered_1024,8d,32768,member_1,0.45,0.4765625
powered_1024,8d,32768,member_1,0.46,0.48828125
powered_1024,8d,32768,member_1,0.47000000000000003,0.5009765625
powered_1024,8d,32768,member_1,0.48,0.5107421875
powered_1024,8d,32768,member_1,0.49,0.521484375
powered_1024,8d,32768,member_1,0.5,0.5341796875
powered_1024,8d,32768,member_1,0.51,0.5390625
powered_1024,8d,32768,member_1,0.52,0.5498046875
powered_1024,8d,32768,member_1,0.53,0.560546875
powered_1024,8d,32768,member_1,0.54,0.568359375
powered_1024,8d,32768,member_1,0.55,0.5791015625
powered_1024,8d,32768,member_1,0.56,0.5947265625
