mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,score,feasible,n_passed,T9_new,T10a_new,T10b_new,T11_new,T9_mi,T10a_phase_argmax_deg,T10b_concentration,T11_up_down_ratio,pac_bimodal,shape_r,T4_q,T12_n_verified,eval
3.974470889224735,3.0836402149600537,35.03834862856099,1777.4575077009963,0.0541670693373557,0.0683580800853026,0.010572741260941099,0.1331794059632531,-1.666667,0,10,1,1,0,1,0.008283081254666855,-10.000000000000002,0.07137056587913344,1.3821888567639875,1,0.0,3.446,14,1
3.822991541146271,2.938327648754957,35.34667195282195,1683.1248458031291,0.0522383340945633,0.0667956078491615,0.012257058457325798,0.1971720083280555,-0.833333,0,11,1,1,1,1,0.010349989546942212,10.000000000000002,0.15794515202844872,1.5169569890549897,0,0.0,3.444,21,2
3.856634392658208,3.141702985354845,35.29779407565585,1641.7723281971494,0.0500959459508581,0.0690294326713425,0.0137267395880167,0.1087932281365581,-3.333333,0,8,0,0,1,0,0.0043358765801438425,169.99999999999997,0.08005987867157649,1.1472095231663928,1,0.0,3.666,23,3
4.051644770310863,3.183244336434233,34.80924164364489,1683.1248458031291,0.0502383475182772,0.0630384417090634,0.005494654610725701,0.1971720083280555,-1.666667,0,10,1,0,1,0,0.01735278919021876,-170.0,0.2210609640874494,0.7392086451059902,0,0.0,4.131,23,4
3.901066578923319,3.104447402897512,36.832826825017705,1592.657060797543,0.0532008596056435,0.0680775354910684,0.0037230864045528986,0.1404043196723562,-2.5,0,9,0,0,0,0,0.0029275323971983506,130.0,0.020041410195318587,1.1355603188756032,1,0.0,3.864,18,5
3.974470889224735,3.0836402149600537,35.03834862856099,1777.4575077009963,0.0541670693373557,0.0673390149679954,0.010572741260941099,0.1229264825980157,0.631582,1,12,1,1,1,1,0.018484795843293548,10.000000000000002,0.10325444363279428,1.2987709087167871,1,0.5159141719072219,3.778,12,6
3.840264109162785,3.358828092154395,36.97346335175128,1513.46441884003,0.0491984021387755,0.0585344814115043,0.007731135397662202,0.1352849555643935,-2.5,0,9,0,1,0,0,0.0016405959186747744,-10.000000000000002,0.015168608225853296,1.1878439503260094,0,0.0,3.623,22,7
3.9519646419067898,3.440687777366912,36.76445037373334,1625.8057782178123,0.0522612808591826,0.0704164671130382,0.010406279220337798,0.10683256694295332,-1.666667,0,10,0,1,0,1,0.0037530178119834297,-10.000000000000002,0.0566524355288037,1.3381562758701235,0,0.0,3.724,22,8
3.857241801863279,3.0812979303556585,33.286010114591726,1704.4978576678948,0.0534603739827309,0.0702930185957033,0.0164186980180608,0.1649968602853265,-0.833333,0,11,1,1,1,1,0.005750853314971786,10.000000000000002,0.10415862190021498,1.584263043350923,0,0.0,3.266,21,9
4.110286253097383,3.179880712707765,36.84475306349007,1783.218633897503,0.0507054294190456,0.0644548193513769,0.005258287389786696,0.1317491649282449,-0.833333,0,11,1,1,1,1,0.005968641930258984,-10.000000000000002,0.09218398914171595,1.364303192461898,1,0.0,3.927,21,10
3.981592127378596,3.0647520236225136,35.25147676817002,1793.5524511278827,0.052216034148701865,0.06679546467706782,0.010700581664108384,0.1321041811492849,-0.833333,0,11,1,1,1,1,0.00907472435301998,10.000000000000002,0.1182862213941451,1.2187279815140257,0,0.0,3.855,18,11
