draw_index,role,simulator_seed,posterior_sample_seed,member_index,track
0,primary,9750013,9740013,4,8d
1,primary,9854742,9740013,4,8d
2,primary,9959471,9740013,4,8d
3,primary,10064200,9740013,4,8d
4,primary,10168929,9740013,4,8d
5,primary,10273658,9740013,4,8d
6,primary,10378387,9740013,4,8d
7,primary,10483116,9740013,4,8d
8,primary,10587845,9740013,4,8d
9,primary,10692574,9740013,4,8d
10,primary,10797303,9740013,4,8d
11,primary,10902032,9740013,4,8d
12,primary,11006761,9740013,4,8d
13,primary,11111490,9740013,4,8d
14,primary,11216219,9740013,4,8d
15,primary,11320948,9740013,4,8d
16,primary,11425677,9740013,4,8d
17,primary,11530406,9740013,4,8d
18,primary,11635135,9740013,4,8d
19,primary,11739864,9740013,4,8d
20,primary,11844593,9740013,4,8d
21,primary,11949322,9740013,4,8d
22,primary,12054051,9740013,4,8d
23,primary,12158780,9740013,4,8d
24,primary,12263509,9740013,4,8d
25,primary,12368238,9740013,4,8d
26,primary,12472967,9740013,4,8d
27,primary,12577696,9740013,4,8d
28,primary,12682425,9740013,4,8d
29,primary,12787154,9740013,4,8d
30,primary,12891883,9740013,4,8d
31,primary,12996612,9740013,4,8d
32,primary,13101341,9740013,4,8d
33,primary,13206070,9740013,4,8d
34,primary,13310799,9740013,4,8d
35,primary,13415528,9740013,4,8d
36,primary,13520257,9740013,4,8d
37,primary,13624986,9740013,4,8d
38,primary,13729715,9740013,4,8d
39,primary,13834444,9740013,4,8d
40,primary,13939173,9740013,4,8d
41,primary,14043902,9740013,4,8d
42,primary,14148631,9740013,4,8d
43,primary,14253360,9740013,4,8d
44,primary,14358089,9740013,4,8d
45,primary,14462818,9740013,4,8d
46,primary,14567547,9740013,4,8d
47,primary,14672276,9740013,4,8d
48,primary,14777005,9740013,4,8d
49,primary,14881734,9740013,4,8d
50,primary,14986463,9740013,4,8d
51,primary,15091192,9740013,4,8d
52,primary,15195921,9740013,4,8d
53,primary,15300650,9740013,4,8d
54,primary,15405379,9740013,4,8d
55,primary,15510108,9740013,4,8d
56,primary,15614837,9740013,4,8d
57,primary,15719566,9740013,4,8d
58,primary,15824295,9740013,4,8d
59,primary,15929024,9740013,4,8d
60,primary,16033753,9740013,4,8d
61,primary,16138482,9740013,4,8d
62,primary,16243211,9740013,4,8d
63,primary,16347940,9740013,4,8d
64,primary,16452669,9740013,4,8d
65,primary,16557398,9740013,4,8d
66,primary,16662127,9740013,4,8d
67,primary,16766856,9740013,4,8d
68,primary,16871585,9740013,4,8d
69,primary,16976314,9740013,4,8d
70,primary,17081043,9740013,4,8d
71,primary,17185772,9740013,4,8d
72,primary,17290501,9740013,4,8d
73,primary,17395230,9740013,4,8d
74,primary,17499959,9740013,4,8d
75,primary,17604688,9740013,4,8d
76,primary,17709417,9740013,4,8d
77,primary,17814146,9740013,4,8d
78,primary,17918875,9740013,4,8d
79,primary,18023604,9740013,4,8d
80,primary,18128333,9740013,4,8d
81,primary,18233062,9740013,4,8d
82,primary,18337791,9740013,4,8d
83,primary,18442520,9740013,4,8d
84,primary,18547249,9740013,4,8d
85,primary,18651978,9740013,4,8d
86,primary,18756707,9740013,4,8d
87,primary,18861436,9740013,4,8d
88,primary,18966165,9740013,4,8d
89,primary,19070894,9740013,4,8d
90,primary,19175623,9740013,4,8d
91,primary,19280352,9740013,4,8d
92,primary,19385081,9740013,4,8d
93,primary,19489810,9740013,4,8d
94,primary,19594539,9740013,4,8d
95,primary,19699268,9740013,4,8d
96,primary,19803997,9740013,4,8d
