epoch,train_loss,validation_loss,improved
0,21.72271791628138,20.684131547881336,True
1,19.725007889762757,18.403993076231423,True
2,17.042952857756934,15.11314784724538,True
3,13.210044326363029,10.703717087536324,True
4,8.806789151332609,6.814291553962521,True
5,5.636489242861122,4.382043352359679,True
6,3.8451909358102614,3.223204145198915,True
7,2.9234301447140574,2.405700290493849,True
8,2.1776659439189383,1.7253754487851771,True
9,1.5703923322342255,1.1742652986107802,True
10,1.017896828925071,0.6229176413722155,True
11,0.500983947944874,0.11608799256202651,True
12,0.04659060722669548,-0.2737382445393539,True
13,-0.34993661297837747,-0.6498277597311066,True
14,-0.7181542770475404,-0.9861119540726266,True
15,-1.0341644113899295,-1.266602994174492,True
16,-1.3257819347183637,-1.5390647236893817,True
17,-1.5678921252379925,-1.7694355830913637,True
18,-1.8145832456511892,-1.9604985900041534,True
19,-2.0487550233601066,-2.21288001537323,True
20,-2.290188600437691,-2.458661099178035,True
21,-2.5285096244206504,-2.695299400934359,True
22,-2.744653516345554,-2.870314589942374,True
23,-2.944791765876742,-3.087959025545818,True
24,-3.106198716658521,-3.176348468733997,True
25,-3.2432979503976265,-3.3483936437746373,True
26,-3.4047175097087075,-3.4468267277973452,True
27,-3.541836992724911,-3.6709689593896635,True
28,-3.6856813468630354,-3.7796902423951684,True
29,-3.807145586235037,-3.805312008974029,True
30,-3.9715040862487494,-3.9961852457465197,True
31,-4.10064644982381,-4.136787784390333,True
32,-4.2072637549832335,-4.242072565962629,True
33,-4.266984177450849,-4.294993500593232,True
34,-4.429900897145999,-4.418189490713725,True
35,-4.513994366549165,-4.534852220953964,True
36,-4.534217751797593,-4.42194654418201,False
37,-4.617157293908908,-4.670583397004663,True
38,-4.630674214299054,-4.751586727979706,True
39,-4.8052897249531545,-4.809507014111775,True
40,-4.852925670889271,-4.847740333836253,True
41,-4.889661001780676,-4.880307069638881,True
42,-4.980945854978829,-4.9415384129780096,True
43,-5.061917123340425,-4.955010507164932,True
44,-5.127670528542282,-5.080042622729046,True
45,-5.154957866202926,-5.090315939740437,True
46,-5.258409036093725,-5.200470082352801,True
47,-5.3204500445225005,-5.188332166904356,False
48,-5.400570110814766,-5.329147108589731,True
49,-5.473711466760134,-5.371252369299167,True
50,-5.54669581461011,-5.460395913007782,True
51,-5.591532304318979,-5.555600415206537,True
52,-5.67350488937527,-5.595659642103242,True
53,-5.734096499735328,-5.6181069629948315,True
54,-5.647270908285846,-5.500929744069169,False
55,-5.763058174515236,-5.701620704371755,True
56,-5.866361923124618,-5.792645866114919,True
57,-5.9204192470136,-5.825167074436095,True
58,-5.937282416701171,-5.690539750820253,False
59,-5.969591315994915,-5.79587077396672,False
60,-6.052073094434354,-5.95635900264833,True
61,-6.093173958006359,-5.922939212147782,False
62,-6.019967020358504,-5.981761155477384,True
63,-6.1274051118974135,-5.99624606574454,True
64,-6.2110515514136235,-6.064731686289718,True
65,-6.239196866423219,-6.066644615080299,True
66,-6.218027887472449,-6.0768200874328615,True
67,-6.28736703474443,-6.160393805620147,True
68,-6.340860615428697,-6.2328110811187,True
69,-6.365883001623282,-6.113199066534275,False
70,-6.352778915666107,-6.277818512335056,True
71,-6.322055549994202,-6.283351139905976,True
72,-6.451697235433464,-6.278066853779118,False
73,-6.443456526349898,-6.376757375205435,True
74,-6.568773124098632,-6.4103485409806416,True
75,-6.5902608672341145,-6.379480720147854,False
76,-6.612752275152521,-6.4379879463009715,True
77,-6.646895149543027,-6.489760659380657,True
78,-6.614293427403302,-6.512284602188482,True
79,-6.679414232135255,-6.491295712168624,False
80,-6.720102566356915,-6.487879487944812,False
81,-6.719549526079525,-6.577519637782399,True
82,-6.708719613933447,-6.560676916634164,False
83,-6.660622256142752,-5.981069599709859,False
84,-6.629819157359364,-6.669099358814519,True
85,-6.763909455184098,-6.6559581965934935,False
86,-6.79717519198873,-6.745483745016703,True
87,-6.8975040473053015,-6.6468721948018885,False
88,-6.927098129840706,-6.774685157217631,True
89,-6.926316309033441,-6.6779103697800055,False
90,-6.933860522632343,-6.694760811038133,False
91,-6.900559321719066,-6.793548904977194,True
92,-6.943192321302253,-6.906571327767721,True
93,-7.028799192663805,-6.679600671442544,False
94,-7.003671842908102,-6.716765403747559,False
95,-7.030800463661315,-6.897595226473925,False
96,-7.119072033808782,-6.86523408657167,False
97,-7.0293769807314845,-6.813192502463736,False
98,-7.129356903616471,-6.924180777479963,True
99,-7.141267183208349,-7.058932074104868,True
100,-7.167153336917379,-6.8681071234912405,False
101,-7.206292335221473,-6.90468747673965,False
102,-7.22311478161841,-7.042585300817723,False
103,-7.248401942852798,-7.073417326299156,True
104,-7.276237481388563,-7.023655072654166,False
105,-7.256933273413242,-7.120839267823754,True
106,-7.3004740626529605,-7.028207990599841,False
107,-7.286041334871844,-6.920780616853295,False
108,-7.291729198707329,-7.046466245883849,False
109,-7.265984589945848,-7.127352412154035,True
110,-7.329269712515657,-7.052420906904267,False
111,-7.344376002767001,-7.220000490328161,True
112,-7.360283999507098,-7.096803725638041,False
113,-7.3799397098275765,-7.033333964464141,False
114,-7.3896894128913555,-7.183293584497964,False
115,-7.373847174266028,-7.254469422596257,True
116,-7.423915853721609,-7.183910976968161,False
117,-7.435459472320892,-7.120900777491127,False
118,-7.420085244999701,-7.306179579292856,True
119,-7.512384433303851,-7.281385759027993,False
120,-7.522915752233894,-7.315152684653677,True
121,-7.32541066007882,-7.165499442961158,False
122,-7.4401544453314665,-7.005311656579739,False
123,-7.4503356534191685,-7.364540611825338,True
124,-7.4298642947996925,-7.315191127032769,False
125,-7.514625796177158,-7.230650738971989,False
126,-7.489896558871054,-7.1985377241925494,False
127,-7.576276470598866,-7.045832333913664,False
128,-7.411053377484518,-7.272590823289825,False
129,-7.622974261259421,-7.310190044961325,False
130,-7.65468157545842,-7.4028126018803295,True
131,-7.695510931212969,-7.392297695904244,False
132,-7.6524006758562955,-7.373536207617783,False
133,-7.66890595393012,-7.339256593657703,False
134,-7.694190480042436,-7.3835980717728775,False
135,-7.66606779354687,-7.518251705169678,True
136,-7.806829999800276,-7.512597288736483,False
137,-7.796627910437019,-7.470767651534662,False
138,-7.7081251255030745,-7.643208599090576,True
139,-7.753251086224567,-7.4669677362209415,False
140,-7.8836456655146,-7.609059915309999,False
141,-7.836033785008395,-7.51140634257619,False
142,-7.8331497813028,-7.670101021557319,True
143,-7.891327792180473,-7.667241212798328,False
144,-7.922776628035474,-7.540964647618735,False
145,-7.899175328358335,-7.656277500710837,False
146,-7.928253469595251,-7.556453869982463,False
147,-7.901452965788788,-7.603566420950541,False
148,-7.881161678696144,-7.599247655635927,False
149,-7.928645211989481,-7.662676513485792,False
150,-7.919885888641134,-7.521376754016411,False
151,-7.980320933392051,-7.748697911239252,True
152,-8.006378310067314,-7.550103431794701,False
153,-7.987209134340578,-7.543805429412098,False
154,-7.992557785304329,-7.75754081912157,True
155,-8.018862689371074,-7.773108421883932,True
156,-8.087590955261492,-7.707080720110637,False
157,-8.00253269989703,-7.779129705196474,True
158,-8.075212335411882,-7.626751820634051,False
159,-8.072213831984225,-7.518147880275075,False
160,-8.09289946049561,-7.7296830619253765,False
161,-8.092279773055415,-7.794605729638077,True
162,-8.126720507648548,-7.797401432874726,True
163,-8.176586990682488,-7.751133937370486,False
164,-8.153170281714136,-7.809930252447361,True
165,-8.188778596628863,-7.779901178871713,False
166,-8.021290513622018,-7.707012851063798,False
167,-7.90780637086675,-7.6537581211183126,False
168,-8.073810460948827,-7.909785228822289,True
169,-8.08867211627145,-7.867911520236876,False
170,-8.068785228426494,-7.51392609898637,False
171,-7.71872953675751,-7.643586065711045,False
172,-8.102018121106866,-7.771049620465535,False
173,-8.041517756069682,-7.80188612123815,False
174,-8.122444528945346,-7.941421532049412,True
175,-8.301933347960532,-7.974576763990449,True
176,-8.317761806632427,-7.844795166573873,False
177,-8.273468235327938,-7.92027077558564,False
178,-8.347262916984139,-7.996601807198873,True
179,-8.330633300855775,-7.9786670870897245,False
180,-8.223865803053673,-7.723017841432153,False
181,-8.285830101832948,-7.416766617937786,False
182,-8.19388670682616,-7.664462424487603,False
183,-8.23936816042014,-7.875770857275986,False
184,-8.310893254402357,-7.983969386030988,False
185,-8.347834929441794,-7.884270423796119,False
186,-8.33712229303679,-8.098164837534835,True
187,-8.434711966322455,-7.941922890267721,False
188,-8.424694117172297,-7.76459024475842,False
189,-8.398811252999218,-7.999056569541373,False
190,-8.422604844974803,-8.023426618808653,False
191,-8.307194884443458,-8.016518002021604,False
192,-8.405092104305131,-8.012579066578935,False
193,-8.327699975070791,-7.737162776109649,False
194,-8.411307745946342,-8.093905095356266,False
195,-8.514475901630481,-7.810662930186202,False
196,-8.34897931649717,-8.000976153117854,False
197,-8.338554625109438,-7.603849469161615,False
198,-8.284375580821427,-7.995510803780904,False
199,-8.50274137408451,-7.909551806566192,False
200,-8.330998984303084,-7.682398419263886,False
201,-8.464748360444046,-8.109222881968428,True
202,-8.561673951527428,-8.083128012680426,False
203,-8.57481499905988,-7.632562562895984,False
204,-8.463491005484146,-7.710629584149617,False
205,-8.524798409551638,-8.139152312860256,True
206,-8.543774738707675,-8.101057555035847,False
207,-8.546248122740431,-8.117225153853253,False
208,-8.591742027664651,-8.26988242079572,True
209,-8.564964210594093,-7.9695638051847135,False
210,-8.557851317455771,-7.825198373561952,False
211,-8.601484869280432,-8.167288473175793,False
212,-8.60412852435176,-8.238657504756276,False
213,-8.637580749316093,-8.05032422135516,False
214,-8.633759459005317,-8.251204690700623,False
215,-8.623487604115617,-8.03131872037562,False
216,-8.635633540823054,-8.206810267378644,False
217,-8.553088316259512,-7.945258554598181,False
218,-8.617286767132844,-7.9939731504859,False
219,-8.557837582915402,-7.91214855938423,False
220,-8.455275735866747,-8.108305140239436,False
221,-8.47862140366737,-8.216276620074016,False
222,-8.690977693914057,-7.384174337619688,False
223,-8.487486319955307,-7.800920142197027,False
224,-8.616725497775608,-8.194206670435463,False
225,-8.695001920064291,-8.024679988768042,False
226,-8.693799464839428,-8.252991708895054,False
227,-8.704595281673146,-8.267477240213534,False
228,-8.714797741909749,-8.151045427089784,False
229,-8.570908178485503,-7.859320082315585,False
230,-8.437933219658149,-7.957217537484518,False
231,-8.711422908582676,-8.320897204701494,True
232,-8.692625248388493,-7.974594651198968,False
233,-8.71707931048122,-8.335479219948374,True
234,-8.877927132724114,-8.275678662555974,False
235,-8.884775549500853,-8.141736225965547,False
236,-8.71473547477862,-8.176906218179843,False
237,-8.742455290350723,-7.897032640038467,False
238,-8.691471067249266,-8.145807647705078,False
239,-8.779683037409706,-8.27223072052002,False
240,-8.755751771659058,-8.239727229606814,False
241,-8.82903258005778,-8.186409945604279,False
242,-8.863330150553013,-8.397830493275713,True
243,-8.896324883159409,-8.145323195108553,False
244,-8.809159552512442,-8.105525137738484,False
245,-8.862156433645767,-8.225568380588438,False
246,-8.886755249293588,-8.08994280187095,False
247,-8.661798782255477,-8.157615452277952,False
248,-8.857517590598455,-8.339931055394615,False
249,-8.75333415603172,-8.294670039851491,False
250,-8.760379391857702,-8.452281979816716,True
251,-8.64490240281027,-8.239559699267875,False
252,-8.923707978338259,-8.314710724063035,False
253,-9.008782448494973,-8.399428004753299,False
254,-8.813726280780648,-8.12207090796494,False
255,-8.89591309264466,-8.259886127564965,False
256,-8.91017217251844,-8.30457789723466,False
257,-8.897128296131324,-8.449645782098537,False
258,-8.95566160134489,-8.261119982091392,False
259,-8.961375486865293,-8.197456020262184,False
