model,seed,condition,dose_mV_per_ms,numerically_stable,max_abs_rate_hz,final_T2_so_rms_amplitude,elapsed_s,so_peak_frequency_hz,so_rms_amplitude,so_density_per_min,spindle_density_per_min,sigma_power,coupling_strength,preferred_phase_rad,state_transitions_per_min,so_0p5_1p25_hz_log_psd_mae,delta_0p5_4_hz_log_psd_mae,sigma_10_15_hz_log_psd_mae,composite_log_psd_mae
patient_v1,44017,anchor_patient_v1,0.0,True,59.208224159070426,0.6867194728854027,8.563000000081956,1.0,0.7482331445141713,17.0,4.0,0.09865150959461272,0.5179226405654528,-0.10413024406350355,95.0,0.43862511420003847,0.3475102204481167,0.37050586455892087,0.38554706640235875
patient_v1,55021,anchor_patient_v1,0.0,True,59.66416424071555,0.6345188713721268,4.780999999959022,0.625,0.6228282626034531,17.0,3.0,0.09462567227775104,0.4762293998759304,-0.10372608249684569,127.0,0.45314591866787646,0.35494602797230473,0.48032420877195975,0.42947205180404696
patient_v1,66029,anchor_patient_v1,0.0,True,58.958645783198115,0.3192179026466711,4.780999999959022,0.625,0.6675587985309724,19.0,2.0,0.07576182360757014,0.48036562747824707,-0.22673056690738605,138.0,0.4767036473590699,0.3532837800291927,0.3683410680228913,0.399442831803718
generic_table3,44017,anchor_generic_table3,0.0,True,67.91333250459193,7.2245003810901025,4.938000000081956,0.5,7.336819929562938,54.0,0.0,2.626482276258172,0.5489268764423771,-0.6637997014418672,54.0,0.34488176225549055,0.18517652008311958,0.20843249173791,0.24616359135884006
generic_table3,55021,anchor_generic_table3,0.0,True,64.93770139269313,7.33814461855756,4.875,0.5,7.352595206440642,54.0,0.0,2.6917265918647404,0.5466478655200119,-0.6410318473170207,54.0,0.3564011759617726,0.20341395669210993,0.2171119933632829,0.25897570867238845
generic_table3,66029,anchor_generic_table3,0.0,True,67.41050431360284,7.115251828479705,4.7969999997876585,0.5,7.320672821787647,52.0,0.0,2.6959810606799515,0.5543275195715995,-0.7085105376741582,53.0,0.3291337678466183,0.185203614155384,0.22188297207789046,0.24540678469329757
