seed,condition,stable,R,dT2,dT5,dT6,saturation_fraction,command_range,control_energy,pulse_count,T1,T2,T3,T4,T5,T6,T7,T8_MVP_cortical_state_crossing_rate
77131,SHAM,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.75,8.479222660267437,53.0,0.0,0.8882377028129516,0.3459105457230002,2.9852051323487987,65.0
77131,FIXED,True,0.005392143745740298,-0.10348270357214326,0.010041276146875331,0.21849270598037238,0.0,0.035,0.07350245000000001,0,0.75,7.601769775192782,56.0,0.0,0.8971567428709626,0.4214894768851658,-3.133554114637875,67.0
77131,PHASE_LOCKED_FIXED,True,-0.004847251386495645,-0.01493995021867398,-0.02567099738844969,0.036161892279815075,0.0,0.035,0.006468000000000001,48,0.75,8.35254349582999,53.0,0.0,0.8654357550637177,0.35841932561588735,2.9882896230896443,65.0
77131,PHASE_LOCKED_ADAPTIVE,True,-0.004404446213630713,-0.02111891564099805,-0.04213453217962912,0.06675457860710236,0.3958333333333333,0.05,0.011072287329840261,48,0.75,8.30015067220401,53.0,0.0,0.8508122227406194,0.36900165843849186,2.993268741181379,65.0
77131,PHASE_SHIFTED,True,-0.0037020013295301344,0.0005659617258268989,-0.017537548510992974,0.0015976197412186385,0.3958333333333333,0.05,0.010764047294638012,48,0.75,8.484021575757913,53.0,0.0,0.8726601910105765,0.34646317923954295,2.965637845327029,65.0
88141,SHAM,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.75,8.312862508629308,54.0,0.0,1.0893879881578257,0.278545270821001,-1.3832774190060377,63.0
88141,FIXED,True,-0.03359701891608137,-0.10605512855020086,-0.11215816752276936,0.1898803489588456,0.0,0.035,0.07350245000000001,0,0.75,7.431240806656482,58.0,0.0,0.9672042276847276,0.3314355440453288,-1.4036474419062475,69.0
88141,PHASE_LOCKED_FIXED,True,0.009550482618888839,-0.005429945116674905,-0.012617208781830726,0.06167902949073589,0.0,0.035,0.005929000000000002,44,0.75,8.267724121444987,53.0,0.0,1.0756429524668198,0.29572567279447454,-1.3312933516109227,63.0
88141,PHASE_LOCKED_ADAPTIVE,True,0.010664040340178739,-0.00500827792596346,-0.00747015928728823,0.0601428764999301,0.25,0.05,0.008287334548749886,44,0.75,8.271229382825771,53.0,0.0,1.0812500863606282,0.29529778464362805,-1.3313705386718744,63.0
88141,PHASE_SHIFTED,True,-0.0048817165499727335,0.0008092764299100589,-0.012607634483369342,-0.008537784576341708,0.25,0.05,0.008022334548749887,44,0.75,8.319589912322625,54.0,0.0,1.0756533825925587,0.27616711130397253,-1.3838543073339917,63.0
99149,SHAM,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.75,8.465755507180853,53.0,0.0,0.810432020934468,0.36161361393310065,-2.9427419298088013,69.0
99149,FIXED,True,-0.054248391314874383,-0.1585768183448449,0.04946977586344808,0.05069029556674419,0.0,0.035,0.07350245000000001,0,0.75,7.123282933966765,56.0,0.0,0.8505239113626574,0.37994391490432805,-2.7383976924856688,75.0
99149,PHASE_LOCKED_FIXED,True,-0.0018771599739716596,-0.005394112416155174,0.01030648252649721,-0.0070268975900734994,0.0,0.035,0.006105400000000002,46,0.75,8.420090270287435,53.0,0.0,0.8187847243971429,0.3590725921008164,-2.9279130780048104,69.0
99149,PHASE_LOCKED_ADAPTIVE,True,-0.007999891594107238,-0.007364261730795194,-0.005547402875156139,-0.011723640039682423,0.7608695652173914,0.05,0.011342682091813015,46,0.75,8.403411467877053,53.0,0.0,0.8059362280114175,0.3573741860899003,-2.917677511500113,69.0
99149,PHASE_SHIFTED,True,-0.04480586186091268,-0.06141638935632838,-0.002407662743392218,-0.05398300598760171,0.7608695652173914,0.05,0.011267682091813017,46,0.75,7.945819370756353,54.0,0.0,0.808480773951612,0.3420926240469518,-2.89640025244789,67.0
