track,estimator,parameter,rank_mean,rank_variance,bias_mean,mean_abs_error,median_norm_sd,median_interval_width,corr_width_abs_error,calibration_slope,calibration_intercept,rank_mean_q1,rank_mean_q2,rank_mean_q3,rank_mean_q4,mean_boundary_proximity,fraction_true_near_boundary_0p05
8d,ensemble,mue,0.5206941496003996,0.10061773208464311,-0.01726505517035548,0.14753850079250697,0.5533295276748036,0.626151305437088,0.44957904026096146,0.584674489457912,0.19039769991257557,0.25770323426573427,0.43851461038961037,0.5861521291208791,0.8004066246253746,0.2500000000127329,0.099609375
8d,ensemble,mui,0.5896379011613386,0.03549759783400535,-0.002452919764436956,0.006101153564486594,0.049446520976324244,0.055954005904495716,0.5114617177626817,0.9963544178182264,-0.000630128654618422,0.5519363449050949,0.5950650911588411,0.6029010052447552,0.6086491633366633,0.25000000519321475,0.1005859375
8d,ensemble,b,0.5070495910339661,0.084676287787086,-0.0014168176403472899,0.09222120517188159,0.3856865095394682,0.4364453718066216,0.48571960133933234,0.7844196913942216,0.10637333660097635,0.31669502372627373,0.45394449300699297,0.5350391795704296,0.7225196678321678,0.2499999999472493,0.099609375
8d,ensemble,tauA,0.5246843000749251,0.10026761209114185,-0.019171072945027845,0.18825852038207813,0.7258778220238551,0.8214080816507339,0.4213887257859433,0.3890784904187394,0.28628968144999367,0.2063366321178821,0.4350688374125874,0.6149358454045954,0.8423958853646354,0.250000000167347,0.099609375
8d,ensemble,g_LK,0.49640691339910087,0.08960377462479684,0.028602877049706876,0.15023437680792995,0.6165916701995491,0.6977391588687897,0.5638642486984565,0.535590422735113,0.2608076654067601,0.23075362137862138,0.4509670017482518,0.4989385614385614,0.8049684690309691,0.2500000001055014,0.099609375
8d,ensemble,g_h,0.5071442229645354,0.08582015611403414,0.01716662262151658,0.14822946714957652,0.7193856832188251,0.8140615350008011,0.30513409155068155,0.5327151242574301,0.2508090602930544,0.2160573801198801,0.465842750999001,0.5506993006993007,0.7959774600399601,0.2500000001546141,0.1005859375
8d,ensemble,c_th2ctx,0.4943396447302697,0.09512664062177736,-0.04350025704479776,0.1561473188266973,0.6548290617970203,0.7410088407993316,0.3311292502370694,0.5884193300219632,0.16229007784240237,0.251077047952048,0.3995652784715285,0.5315856018981019,0.7951306505994006,0.24999999975261744,0.1005859375
8d,ensemble,c_ctx2th,0.4986546656468531,0.0840497577141014,0.0008941287505876971,0.2503202850330126,0.9942940026965326,1.1251495838165284,0.06855891914796884,0.0035296112166365357,0.4991293226220621,0.1246487887112887,0.37294736513486515,0.621745442057942,0.8752770666833167,0.24999999994361133,0.1005859375
8d,member_1,mue,0.5203917176573426,0.10363012984414448,-0.016634085523037356,0.14772021449425665,0.5399867035422046,0.6110524785518646,0.4435606912849573,0.5969902662968736,0.1848707811459914,0.25989635364635366,0.4390921578421579,0.5863745629370629,0.7962037962037962,0.2500000000127329,0.099609375
8d,member_1,mui,0.6744525006243756,0.04515400021418701,-0.0050728605251606496,0.008349082136646757,0.051490480700456344,0.058266964070498944,0.523181969718766,0.9951077638885213,-0.0026267424440161694,0.6376748251748252,0.6854005369630369,0.6720232892107891,0.7027113511488512,0.25000000519321475,0.1005859375
8d,member_1,b,0.5098836710164835,0.0891561707383847,-0.0034935352741740644,0.09837701373908203,0.4016582317730981,0.45451907694339755,0.4628704808009232,0.7587470140762786,0.11713295761878886,0.30355191683316685,0.44907826548451546,0.549142263986014,0.7377622377622377,0.2499999999472493,0.099609375
8d,member_1,tauA,0.5252111170079921,0.10256464966933886,-0.022252802777074976,0.18902257946683676,0.7003326727713608,0.7925010240077972,0.4076070379172233,0.3787194154598379,0.28838748909068956,0.19874656593406592,0.42985530094905094,0.625909247002997,0.8463333541458542,0.250000000167347,0.099609375
8d,member_1,g_LK,0.4994712318931069,0.09450464315049648,0.028055011523974827,0.15183399306988576,0.6283557488500582,0.7110514670610428,0.5482847783932981,0.5330523571185677,0.2615288326877957,0.229379995004995,0.44609687187812186,0.5009443681318682,0.8214636925574426,0.2500000001055014,0.099609375
8d,member_1,g_h,0.499068314498002,0.08625999819189363,0.022203155951501685,0.15414966126081708,0.7445857843529904,0.8425781339406967,0.2905759308846846,0.5155274842745363,0.26443941360713885,0.20357767232767232,0.45888486513486515,0.5385825112387612,0.7952282092907093,0.2500000001546141,0.1005859375
8d,member_1,c_th2ctx,0.5008019324425574,0.10127463991702529,-0.04760718960460508,0.1591747865677462,0.6373568874066766,0.7212372142076493,0.3027998498007847,0.5800753282988669,0.16235514614207913,0.24681958666333664,0.40718656343656345,0.541419517982018,0.8077820616883116,0.24999999975261744,0.1005859375
8d,member_1,c_ctx2th,0.5000019511738262,0.08459648391768829,-0.002891395213737269,0.2506477424449258,0.9951104109603504,1.1260734367370606,0.030835370916413394,0.00280248490533041,0.4957073618130107,0.12519901973026973,0.3732361388611389,0.6240400224775224,0.8775326236263736,0.24999999994361133,0.1005859375
8d,member_2,mue,0.5168464348151849,0.10098689185635047,-0.013236332682936336,0.14735216959707031,0.5491489196144554,0.6214205020666123,0.4483723822269355,0.6013282884133941,0.18609952292979723,0.26334993131868134,0.438768262987013,0.5739650974025974,0.7913024475524475,0.2500000000127329,0.099609375
8d,member_2,mui,0.6584792160964036,0.044431171998009826,-0.004185595915714657,0.0069082897748558025,0.038549571230596186,0.04362294644117355,0.4856081878133207,0.9979676252150472,-0.0031694085126850423,0.6160128933566433,0.6825440184815184,0.6712116008991009,0.6641483516483515,0.25000000519321475,0.1005859375
8d,member_2,b,0.5018936141983017,0.08602201639615506,0.0022289091702987207,0.09225906770552683,0.3633092525071703,0.4111231216788292,0.4951633354618528,0.7891288057399529,0.10766450624010164,0.318404251998002,0.45114650974025977,0.5258491508491508,0.7121745442057943,0.2499999999472493,0.099609375
8d,member_2,tauA,0.5220258257367633,0.10089265012701124,-0.016583855123826652,0.18687651799154992,0.7243749824820752,0.819707458615303,0.4147836321692732,0.3753388957440866,0.2957466965996243,0.19712709165834164,0.4231588723776224,0.6235054008491507,0.8443119380619382,0.250000000167347,0.099609375
8d,member_2,g_LK,0.49856393606393606,0.08893090361182386,0.025132822171144653,0.1512059315573424,0.610882154933459,0.6912782341241837,0.5707289287848213,0.5257750780605147,0.26224528285967635,0.22837709165834166,0.45950924075924077,0.5087178446553446,0.7976515671828173,0.2500000001055014,0.099609375
8d,member_2,g_h,0.5029423701298701,0.0886334293929265,0.020389369665281265,0.14824715659597132,0.680519957681589,0.7700808262825012,0.3003383816381495,0.5351088057571562,0.252834966587979,0.2105940934065934,0.4564263861138861,0.5484008179320679,0.7963481830669331,0.2500000001546141,0.1005859375
8d,member_2,c_th2ctx,0.466819313499001,0.09498903365244535,-0.021816664324433077,0.1549611008958891,0.6557181756146815,0.7420149677991867,0.31555968004637763,0.5909574811244157,0.18270459501216946,0.2242210914085914,0.3645339035964036,0.508542239010989,0.76998001998002,0.24999999975261744,0.1005859375
8d,member_2,c_ctx2th,0.49657568993506496,0.0848923031820207,0.004519019361396204,0.25053970838598616,0.9936155723847371,1.124381867647171,0.023674871601250987,0.0040108582100088445,0.5025135897364358,0.12180007492507493,0.3691503808691309,0.6206605894105894,0.8746917145354646,0.24999999994361133,0.1005859375
8d,member_3,mue,0.5127236045204795,0.0980588329639915,-0.007780678153721965,0.14629571464502078,0.5694152378667399,0.6443540000915527,0.4402991127795451,0.5704740740498608,0.2069822846268033,0.25485452047952045,0.4230808254245754,0.5713466221278721,0.8016124500499501,0.2500000000127329,0.099609375
