track,official_n,powered_n,official_unique_canonical,powered_unique_canonical,exact_theta_x_overlap,theta_only_overlap,x_only_overlap,simulator_seed_overlap,sample_id_overlap_metadata_only,paired_row_id_overlap_metadata_only,overlap_proportion_vs_official,canonical_hash_fields,metadata_fields_excluded_from_canonical_hash,allowed_use_in_notebook_33,untouched_final_evaluation,selection_confirmation_split_allowed,future_selection_requires_sealed_bank,independent_cases_by_theta_x
8d,300,1024,300,1024,0,0,0,0,300,300,0.0,"['normalized_theta', 'normalized_x']","['dataset_id', 'sample_id', 'paired_row_id']",descriptive_sensitivity_only,False,False,True,True
7d,300,1024,300,1024,0,0,0,0,300,300,0.0,"['normalized_theta', 'normalized_x']","['dataset_id', 'sample_id', 'paired_row_id']",descriptive_sensitivity_only,False,False,True,True
