dataset_id,track,scale,estimator,cases,joint_rank_ks_statistic,joint_rank_ks_pvalue,mean_posterior_median_abs_error,prior_median_abs_error,recovery_improvement_fraction,median_normalized_posterior_sd,dataset_role,confound_note
powered_1024,8d,32768,ensemble,1024,0.2250122923951049,4.9145567859846834e-46,0.1423813534660212,0.2499999993403889,0.4304745846332541,0.6357103659982847,descriptive_sensitivity,
powered_1024,8d,32768,member_1,1024,0.039950284090909,0.0740765169541347,0.1449093841475246,0.2499999993403889,0.4203624618805602,0.6328563181283674,descriptive_sensitivity,
powered_1024,8d,32768,member_2,1024,0.0561577094780219,0.0030088172778605,0.1422937428130239,0.2499999993403889,0.4308250272461676,0.6333001652740702,descriptive_sensitivity,
powered_1024,8d,32768,member_3,1024,0.0286432317682318,0.3634002185926325,0.1396477251680039,0.2499999993403889,0.4414090978541733,0.5898527767949906,descriptive_sensitivity,
powered_1024,8d,32768,member_4,1024,0.0497383475899101,0.0121761545821909,0.1464622914932078,0.2499999993403889,0.4141508324814381,0.6413159074185608,descriptive_sensitivity,
powered_1024,8d,32768,member_5,1024,0.029275412087912,0.3374187287594496,0.1446471173245527,0.2499999993403889,0.4214115291752158,0.6443059459037428,descriptive_sensitivity,
powered_1024,8d,8192,ensemble,1024,0.1200703593281718,2.5387927885512423e-13,0.1504079223625467,0.2499999993403889,0.3983683089624414,0.7012148825295071,descriptive_sensitivity_confounded_scale,scale_8192_is_single_member_not_five_member_ensemble
powered_1024,8d,8192,member_1,1024,0.1200703593281718,2.5387927885512423e-13,0.1504079223625467,0.2499999993403889,0.3983683089624414,0.7012148825295071,descriptive_sensitivity_confounded_scale,scale_8192_is_single_member_not_five_member_ensemble
powered_1024,7d,32768,ensemble,1024,0.2117784559190809,8.893435253963036e-41,0.1242876117868425,0.2499999992381033,0.5028495513375205,0.5681560922686553,descriptive_sensitivity,
powered_1024,7d,32768,member_1,1024,0.0461579436188811,0.0246706299197235,0.1264876771736323,0.2499999992381033,0.4940492897635419,0.5651516520443732,descriptive_sensitivity,
powered_1024,7d,32768,member_2,1024,0.0301378309190809,0.3040273460950115,0.1207958382082584,0.2499999992381033,0.516816645694423,0.5637549414473588,descriptive_sensitivity,
powered_1024,7d,32768,member_3,1024,0.0339689607267732,0.1838676747103185,0.1268833304978735,0.2499999992381033,0.4924666764617539,0.5584949772415614,descriptive_sensitivity,
powered_1024,7d,32768,member_4,1024,0.0194990556318681,0.8235975019245922,0.1268185699677165,0.2499999992381033,0.4927257185831714,0.5682931668857878,descriptive_sensitivity,
powered_1024,7d,32768,member_5,1024,0.0226902004245754,0.6588291674380932,0.1272108478733571,0.2499999992381033,0.4911566069558271,0.6021776715546454,descriptive_sensitivity,
powered_1024,7d,8192,ensemble,1024,0.1236175933441558,4.2636006854034285e-14,0.1374398252675226,0.2499999992381033,0.4502406972544701,0.7125901787482377,descriptive_sensitivity_confounded_scale,scale_8192_is_single_member_not_five_member_ensemble
powered_1024,7d,8192,member_1,1024,0.1236175933441558,4.2636006854034285e-14,0.1374398252675226,0.2499999992381033,0.4502406972544701,0.7125901787482377,descriptive_sensitivity_confounded_scale,scale_8192_is_single_member_not_five_member_ensemble
