track,case_id,trace_within,trace_between,trace_mix,trace_between_fraction,pairwise_euclid_mean,pairwise_mahal_mean,leading_pc_angle_deg_mean
8d,0,0.2810912914409375,0.002297438636575073,0.28338873007751253,0.008107021884556516,0.07235455699265003,0.5035172888298884,33.92390438362465
8d,21,0.3061920830371434,0.003345347124704148,0.30953743016184754,0.010807568968169598,0.08611504770815373,0.46128700923478805,20.92537412114442
8d,43,0.3661582440850707,0.0018110427292883282,0.36796928681435903,0.004921722530070836,0.06475564613938331,0.3383466371339562,31.911883618753926
8d,65,0.315290703891678,0.001849603847808451,0.3171403077394864,0.005832131087316092,0.06541315764188767,0.44016191659537157,31.962063847736164
8d,87,0.39655855699285936,0.003550580367760468,0.4001091373606198,0.008874029698952656,0.0907223679125309,0.47919514409213965,16.069983811911857
8d,108,0.2105623065924847,0.001963055590191076,0.21252536218267581,0.009236806233524896,0.06814371012151241,0.48948749342840064,5.480869720786934
8d,130,0.2844605838750781,0.003327946011449111,0.2877885298865272,0.011563859104326689,0.08744677379727364,0.5016856971523781,22.837093433246416
8d,152,0.2278089980651784,0.004418106981138115,0.23222710504631655,0.01902494103888926,0.09877343475818634,0.7293161604074317,14.10947500056481
8d,174,0.39974854310972574,0.0024595160719162483,0.402208059181642,0.006115034285788643,0.07668502852320672,0.469821323486629,11.503953586216843
8d,195,0.3606684104342435,0.0009831639562425743,0.36165157439048606,0.002718539129546337,0.047473919577896595,0.31746877672462903,21.27931450939149
8d,217,0.33665886653586496,0.0016603447746282995,0.33831921131049325,0.004907627823430087,0.0631452277302742,0.48864488905400094,38.08913296478696
8d,239,0.36953432897248023,0.0010559120961404211,0.3705902410686207,0.002849271187216455,0.04723856151103974,0.33629901692962727,36.82516577561195
8d,261,0.3556356029211296,0.001962673658039051,0.3575982765791686,0.005488487463681988,0.0674715742468834,0.4266658179599453,39.28165299791931
8d,282,0.35868408130619617,0.003943831002699429,0.3626279123088956,0.010875696185626149,0.09517069272696972,0.4906353653477086,27.581047790811247
8d,304,0.2703560552374984,0.0012955297435195056,0.2716515849810178,0.004769085899535735,0.05452881567180157,0.4390915206992599,30.11345599426766
8d,326,0.36902157508536126,0.002853089574527559,0.37187466465988883,0.0076721805642149705,0.08182483501732349,0.45920923838942296,32.27463942322862
8d,348,0.32964287614088317,0.0017224528461296986,0.3313653289870128,0.005198047880854809,0.06423647440969944,0.4322876687782536,9.559728876063298
8d,370,0.3891771233908906,0.001972381320665897,0.3911495047115565,0.005042525420351435,0.06811473220586776,0.3711267525265521,17.24457773160992
8d,391,0.29161039501685493,0.0015056476275482566,0.29311604264440316,0.0051366947164159455,0.05915101356804371,0.3895197465267627,9.351591259731329
8d,413,0.3616503365453333,0.0039912856739774995,0.36564162221931085,0.010915840624904397,0.09207291528582573,0.5349218118497656,23.722285809630545
8d,435,0.23821249087027574,0.002795617556839454,0.24100810842711518,0.011599682579496676,0.08067941963672638,0.6538090136115688,5.826742428985688
8d,457,0.37088736184513815,0.0014278545482492612,0.3723152163933874,0.0038350690097516548,0.056801849976181984,0.3188176807813134,27.550579972539015
8d,478,0.3874430654219847,0.0015685211160027636,0.38901158653798745,0.004032067861941679,0.06137136109173298,0.29762992123316157,28.513972066798736
8d,500,0.3726717813673307,0.003520421325244811,0.3761922026925755,0.009358039055694361,0.08937542736530305,0.45228283338347663,19.367473133839567
8d,522,0.2932509258945412,0.004360585633411311,0.2976115115279525,0.01465193873390127,0.10087177865207195,0.5721590088217505,9.675679361357474
8d,544,0.2738323167111456,0.0023466129394708623,0.2761789296506165,0.00849671241191163,0.07411001026630401,0.515489749239976,34.662652603294895
8d,565,0.2852079660469391,0.008091021719395802,0.2932989877663349,0.027586258585528253,0.1359759420156479,0.8605530878671088,28.023397422714048
8d,587,0.2814133517173555,0.002934284993514016,0.2843476367108695,0.010319357767329212,0.0828428778797388,0.5510263196862116,24.0647879205754
8d,609,0.2869460427541791,0.0038931362089664736,0.2908391789631456,0.013385872642213043,0.0948606338351965,0.5685688074000437,14.976935723989817
8d,631,0.3676954763866893,0.0010800046042840528,0.36877548099097335,0.002928623674713581,0.05079322773963213,0.3607643740545997,29.20033594507861
8d,652,0.24770614995846343,0.003192161591979499,0.2508983115504429,0.012722929748922274,0.08556585051119328,0.5095185302259908,28.847414112009783
8d,674,0.36632244619464804,0.0017145991291302922,0.36803704532377834,0.004658767781438643,0.06423657275736332,0.43425773728724765,17.445078400320867
8d,696,0.24473403390895956,0.0029615407500562796,0.24769557465901584,0.011956373278502103,0.08326535783708096,0.5335466430552132,5.89071309472803
8d,718,0.37466705264907796,0.002299589565747482,0.37696664221482545,0.006100246834140284,0.07441126219928265,0.3814283830757412,28.000425494273866
8d,740,0.24735736739925956,0.002282910170296454,0.249640277569556,0.009144799038530063,0.07248527966439725,0.7304900285793057,32.14863443784226
8d,761,0.25663609940306686,0.0020226547063208855,0.2586587541093877,0.007819780595809634,0.06871356815099716,0.6305847164916448,39.189006610543984
8d,783,0.30445635432898205,0.002436230156770276,0.3068925844857523,0.007938380658016128,0.0766239695250988,0.4808081277951791,51.741810358915075
8d,805,0.3552062283497793,0.0008006062648112788,0.3560068346145906,0.002248850828041004,0.04361550379544497,0.37885538713818556,13.606104982664693
8d,827,0.2784925000951569,0.00233689777159853,0.2808293978667554,0.008321414315417624,0.07357135154306889,0.4936069277167531,12.451192530954131
8d,848,0.2617907843745444,0.003866903173394487,0.2656576875479389,0.01455596188119604,0.09547371789813042,0.6856915235077464,25.034639551546686
8d,870,0.3749339291823123,0.001299572403364455,0.3762335015856767,0.003454164495950698,0.05554401427507401,0.31218627906758045,14.713035938337788
8d,892,0.30857059247203655,0.004903517237761861,0.3134741097097984,0.01564249514035254,0.10767485424876214,0.7000214342232498,22.677563596506662
8d,914,0.3800440485381928,0.0037564036707088255,0.3838004522089016,0.009787387297460048,0.09377925731241703,0.5731919738914395,16.372646308493536
8d,935,0.24682723823276176,0.0014087778548628905,0.24823601608762463,0.005675154947562513,0.05781718753278255,0.5059892819771784,32.02891558333742
8d,957,0.3586509894322071,0.0030015000183654444,0.36165248945057255,0.00829940372572954,0.0850963018834591,0.5577922783224644,39.793367511182936
8d,979,0.3738461241071864,0.0014929342316396265,0.375339058338826,0.003977561616547578,0.058415516093373296,0.35688261351587564,27.571530151487348
8d,1001,0.3078971841073258,0.006376990923087647,0.31427417503041344,0.02029117067118392,0.11624995358288288,0.6860622035187051,40.30406555888933
8d,1023,0.27495145562274825,0.0011934675714795162,0.27614492319422773,0.004321888513011284,0.052793389186263084,0.5139805351125615,23.560316392648485
7d,0,0.16504390704953306,0.004429612778749217,0.16947351982828227,0.026137492059157608,0.10176530405879021,0.8211077382898481,5.001547938912575
7d,21,0.1906657971158874,0.004652599938512818,0.1953183970544002,0.02382059247197781,0.10433738119900227,0.7679877601149612,7.199656921430881
7d,43,0.26941809837815794,0.0012797088296925808,0.2706978072078505,0.004727444388605553,0.05492352619767189,0.44043372690337146,8.316621479648294
7d,65,0.18814255268904176,0.003102474919088362,0.1912450276081301,0.016222512856362864,0.08519045636057854,0.5326022758503923,5.53299603881241
7d,87,0.3040844750675014,0.0013165869440672395,0.3054010620115686,0.004311009710953027,0.05486246738582849,0.5387223109679697,13.836614167686772
7d,108,0.12748612159054873,0.002621118563994305,0.13010724015454303,0.02014583170683589,0.07409330382943154,0.5404710724585022,18.800067704556117
7d,130,0.17051902501099767,0.0055890238001560025,0.17610804881115366,0.03173633367631762,0.11678871288895606,0.8408457810102986,21.594201055916688
7d,152,0.1435615219397648,0.0031007943154479104,0.1466623162552127,0.021142406547378537,0.08608915917575359,0.7190776776431516,5.57830622380273
7d,174,0.28685797532645807,0.00302418987439653,0.28988216520085464,0.010432479943362912,0.08061486594378948,0.5872867581377033,18.77977586851956
7d,195,0.27632997245013197,0.00120508095630512,0.2775350534064371,0.004342085590681532,0.052709218300879004,0.46564526709224774,9.47669051564074
7d,217,0.24230658133459876,0.0011078804283491906,0.24341446176294793,0.004551415804653847,0.050996072217822076,0.47554080728170955,28.886768127599385
7d,239,0.27297669258127577,0.0020140727878748344,0.2749907653691506,0.007324146995158622,0.06529247146099806,0.4373256026988618,33.717379473649544
7d,261,0.2510485204947937,0.0014725585788137076,0.2525210790736074,0.005831428347351832,0.05917878448963165,0.39767611485267357,8.509094477333122
7d,282,0.2795886908708537,0.0031809126656514412,0.2827696035365051,0.011249132247132745,0.08719042986631394,0.5819181749074082,25.251071911677094
7d,304,0.17170319585627103,0.0031318246620640803,0.1748350205183351,0.017913028252458395,0.08499529324471951,0.7195407604335788,4.5393833114262945
7d,326,0.285249648691447,0.0048685886788511655,0.2901182373702982,0.016781394796070836,0.10612941086292267,0.6608810133941343,37.532871257193
7d,348,0.2457413089649867,0.00099005084816703,0.24673135981315372,0.004012667254445409,0.04823156259953976,0.4233355943698336,5.654337286347287
7d,370,0.3138438415694388,0.0023557985120544788,0.31619964008149326,0.007450351655831504,0.07431529089808464,0.4691320853947226,20.86577504379426
7d,391,0.19314074620674596,0.0028734723007358557,0.19601421850748177,0.014659509512194783,0.08034125119447708,0.5895037649741983,3.46623259278826
7d,413,0.25875092849156245,0.002477569360777785,0.2612284978523402,0.00948429968838329,0.07447166964411736,0.5429892836290785,7.194430571447384
7d,435,0.15825809229634946,0.0011518067412102794,0.15940989903755973,0.007225440503785112,0.05233555734157562,0.40638903133659066,5.342858042270622
7d,457,0.290294803238568,0.0026205476967882117,0.29291535093535626,0.008946433460793738,0.07716320715844631,0.4342139238199114,23.56254585225117
7d,478,0.2904188377775983,0.0009994716653311641,0.2914183094429295,0.003429680404233138,0.048545528948307035,0.37890154237978735,28.763783157955988
7d,500,0.2685641253555412,0.001922131276584409,0.2704862566321256,0.007106206801473837,0.06463564317673445,0.36675166981157775,48.24283859267009
