dataset_id,track,scale,estimator,parameter,ks_statistic,ks_pvalue,rank_mean,rank_variance,bias_mean,normalized_posterior_sd_median,holm_clear_issue,dataset_role
powered_1024,8d,32768,ensemble,mue,0.0715778362262736,5.237741906063496e-05,0.5206941496003996,0.1006177320846431,-0.0172650551703554,0.5533295276748036,True,descriptive_sensitivity
powered_1024,8d,32768,ensemble,mui,0.2524594546078921,5.235034647431306e-58,0.5896379011613386,0.0354975978340053,-0.0024529197644369,0.0494465209763242,True,descriptive_sensitivity
powered_1024,8d,32768,ensemble,b,0.0202844030969031,0.7854500340935979,0.5070495910339661,0.084676287787086,-0.0014168176403472,0.3856865095394682,False,descriptive_sensitivity
powered_1024,8d,32768,ensemble,tauA,0.0721944071553446,4.364710225526788e-05,0.5246843000749251,0.1002676120911418,-0.0191710729450278,0.7258778220238551,True,descriptive_sensitivity
powered_1024,8d,32768,ensemble,g_LK,0.0291719998751248,0.3415821723615128,0.4964069133991008,0.0896037746247968,0.0286028770497068,0.6165916701995491,False,descriptive_sensitivity
powered_1024,8d,32768,ensemble,g_h,0.022730199488012,0.656669908617856,0.5071442229645354,0.0858201561140341,0.0171666226215165,0.7193856832188251,False,descriptive_sensitivity
powered_1024,8d,32768,ensemble,c_th2ctx,0.0460291661463536,0.0252804185231781,0.4943396447302697,0.0951266406217773,-0.0435002570447977,0.6548290617970203,False,descriptive_sensitivity
powered_1024,8d,32768,ensemble,c_ctx2th,0.012775310626873,0.9954907521832056,0.4986546656468531,0.0840497577141014,0.0008941287505876,0.9942940026965326,False,descriptive_sensitivity
powered_1024,8d,32768,member_1,mue,0.0855862887112887,5.647349870452476e-07,0.5203917176573426,0.1036301298441444,-0.0166340855230373,0.5399867035422046,True,descriptive_sensitivity
powered_1024,8d,32768,member_1,mui,0.307943033528971,1.0248449691112907e-86,0.6744525006243756,0.045154000214187,-0.0050728605251606,0.0514904807004563,True,descriptive_sensitivity
powered_1024,8d,32768,member_1,b,0.0367913336663336,0.1219648118441336,0.5098836710164835,0.0891561707383847,-0.003493535274174,0.4016582317730981,False,descriptive_sensitivity
powered_1024,8d,32768,member_1,tauA,0.0780313436563436,7.1870543162326936e-06,0.5252111170079921,0.1025646496693388,-0.0222528027770749,0.7003326727713608,True,descriptive_sensitivity
powered_1024,8d,32768,member_1,g_LK,0.0394283450924075,0.0806665226455018,0.4994712318931069,0.0945046431504964,0.0280550115239748,0.6283557488500582,False,descriptive_sensitivity
powered_1024,8d,32768,member_1,g_h,0.0236345685564435,0.6079359850511298,0.499068314498002,0.0862599981918936,0.0222031559515016,0.7445857843529904,False,descriptive_sensitivity
powered_1024,8d,32768,member_1,c_th2ctx,0.0557167441933066,0.0033300729888999,0.5008019324425574,0.1012746399170252,-0.047607189604605,0.6373568874066766,True,descriptive_sensitivity
powered_1024,8d,32768,member_1,c_ctx2th,0.0131206683941059,0.9936420699461564,0.5000019511738262,0.0845964839176882,-0.0028913952137372,0.9951104109603504,False,descriptive_sensitivity
powered_1024,8d,32768,member_2,mue,0.0714880822302697,5.377925671441029e-05,0.5168464348151849,0.1009868918563504,-0.0132363326829363,0.5491489196144554,True,descriptive_sensitivity
powered_1024,8d,32768,member_2,mui,0.296224283528971,3.854979352410479e-80,0.6584792160964036,0.0444311719980098,-0.0041855959157146,0.0385495712305961,True,descriptive_sensitivity
powered_1024,8d,32768,member_2,b,0.0161596216283715,0.9479517991372288,0.5018936141983017,0.086022016396155,0.0022289091702987,0.3633092525071703,False,descriptive_sensitivity
powered_1024,8d,32768,member_2,tauA,0.0752031171953047,1.752934866197987e-05,0.5220258257367633,0.1008926501270112,-0.0165838551238266,0.7243749824820752,True,descriptive_sensitivity
powered_1024,8d,32768,member_2,g_LK,0.0251389235764235,0.5286135016284306,0.498563936063936,0.0889309036118238,0.0251328221711446,0.610882154933459,False,descriptive_sensitivity
powered_1024,8d,32768,member_2,g_h,0.0214941308691308,0.7229573704310428,0.5029423701298701,0.0886334293929265,0.0203893696652812,0.680519957681589,False,descriptive_sensitivity
powered_1024,8d,32768,member_2,c_th2ctx,0.0786947427572427,5.802939211450258e-06,0.466819313499001,0.0949890336524453,-0.021816664324433,0.6557181756146815,True,descriptive_sensitivity
powered_1024,8d,32768,member_2,c_ctx2th,0.0150289163961038,0.972199370240513,0.4965756899350649,0.0848923031820207,0.0045190193613962,0.9936155723847372,False,descriptive_sensitivity
powered_1024,8d,32768,member_3,mue,0.0536397196553446,0.0053125709303412,0.5127236045204795,0.0980588329639915,-0.0077806781537219,0.5694152378667399,True,descriptive_sensitivity
powered_1024,8d,32768,member_3,mui,0.283596286525974,2.301461173571775e-73,0.6544002872127872,0.0480528286335016,-0.0031546209497719,0.0254600704303077,True,descriptive_sensitivity
powered_1024,8d,32768,member_3,b,0.043407764110889,0.0409458939316617,0.5217243693806193,0.0849807218886728,-0.0109478577360278,0.3295519761051467,False,descriptive_sensitivity
powered_1024,8d,32768,member_3,tauA,0.0683223026973026,0.0001336534934018,0.5201078218656343,0.098033317483437,-0.0057508396166667,0.7286930006839434,True,descriptive_sensitivity
powered_1024,8d,32768,member_3,g_LK,0.0318997408841159,0.2431750277416632,0.4979259022227772,0.0893305341159883,0.0252534718547394,0.5568003726074648,False,descriptive_sensitivity
powered_1024,8d,32768,member_3,g_h,0.0350001560939061,0.1588727094105624,0.5140591830044955,0.0884506032137766,0.0130956362354481,0.6102903157232413,False,descriptive_sensitivity
powered_1024,8d,32768,member_3,c_th2ctx,0.0403600305944056,0.0692281310322664,0.4985571069555445,0.0946259504693458,-0.0430367960761941,0.6287101916512408,False,descriptive_sensitivity
powered_1024,8d,32768,member_3,c_ctx2th,0.0179722621128871,0.8893480550148171,0.4949932879620379,0.084157352710418,0.0061505786998168,0.9970609948926432,False,descriptive_sensitivity
powered_1024,8d,32768,member_4,mue,0.0951948442182817,1.5802545252922986e-08,0.5315212131618382,0.1049265084811077,-0.0253841220146568,0.5274852197163815,True,descriptive_sensitivity
powered_1024,8d,32768,member_4,mui,0.2961452609890109,4.260094516299401e-80,0.6612411026473527,0.0449102813836229,-0.0049823727958937,0.0601326000968165,True,descriptive_sensitivity
powered_1024,8d,32768,member_4,b,0.0246345451423576,0.554832997158443,0.5030467579295704,0.08891536331008,0.0030092547494859,0.4125738466759863,False,descriptive_sensitivity
powered_1024,8d,32768,member_4,tauA,0.0862818821803197,4.415519444802714e-07,0.5298666177572429,0.1044861695357987,-0.0287762148982437,0.6986566768359939,True,descriptive_sensitivity
powered_1024,8d,32768,member_4,g_LK,0.0428858251123875,0.044920560722147,0.5073461694555446,0.0953976625785915,0.0205284668954846,0.6282173837545116,False,descriptive_sensitivity
powered_1024,8d,32768,member_4,g_h,0.0355133148101898,0.1474855047470639,0.5121597152847153,0.089235240625639,0.0140485910942516,0.7468475542500295,False,descriptive_sensitivity
powered_1024,8d,32768,member_4,c_th2ctx,0.0499812687312687,0.0115844339476531,0.5049140312812188,0.0976303916083476,-0.0537496293109143,0.6544144310826099,False,descriptive_sensitivity
powered_1024,8d,32768,member_4,c_ctx2th,0.018622002997003,0.8629424956116889,0.4948459743381618,0.0840415621144737,0.0071170496794366,0.994364411198799,False,descriptive_sensitivity
powered_1024,8d,32768,member_5,mue,0.0663243006993007,0.0002324194468909,0.5220307036713288,0.0998323812041779,-0.0205835449469304,0.5598369457442549,True,descriptive_sensitivity
powered_1024,8d,32768,member_5,mui,0.346174333479021,3.9644624926577723e-110,0.301432942057942,0.0424496523317057,0.006598365701393,0.0497030213051801,True,descriptive_sensitivity
powered_1024,8d,32768,member_5,b,0.0215126670204794,0.7219754117119148,0.4986263736263736,0.088451448534181,0.0008683378200657,0.388997567434911,False,descriptive_sensitivity
powered_1024,8d,32768,member_5,tauA,0.0699612887112887,8.385553387391645e-05,0.5258715893481518,0.0989334888623918,-0.0210373369482113,0.7329328933226296,True,descriptive_sensitivity
powered_1024,8d,32768,member_5,g_LK,0.0513626998001998,0.0086863623465119,0.4799614448051947,0.0899922739294419,0.0425713716322206,0.6194987051131442,True,descriptive_sensitivity
powered_1024,8d,32768,member_5,g_h,0.0251194118381617,0.5296190843536472,0.5068525224775224,0.0857157337941949,0.0159639731300558,0.7614470720717263,False,descriptive_sensitivity
powered_1024,8d,32768,member_5,c_th2ctx,0.0410575752372627,0.0615951034035856,0.5016419127747253,0.095897829750061,-0.050119763942348,0.6691131866943415,False,descriptive_sensitivity
powered_1024,8d,32768,member_5,c_ctx2th,0.0169557005494505,0.9251321479642158,0.505578405969031,0.0852494420417859,-0.0096617538965801,0.9902444298143396,False,descriptive_sensitivity
powered_1024,7d,32768,ensemble,mue,0.0766625952172826,1.111060941272418e-05,0.5188990696803197,0.1009869135626717,-0.0120039305020327,0.5519552714021922,True,descriptive_sensitivity
powered_1024,7d,32768,ensemble,mui,0.1843927556818182,6.020373642274162e-31,0.4607550652472527,0.038363569105952,0.0012246498590684,0.0312785415954388,True,descriptive_sensitivity
powered_1024,7d,32768,ensemble,b,0.0222765515734265,0.6811322857163876,0.5060915646853147,0.0870679005273058,-0.0008655484452901,0.3630610935081627,False,descriptive_sensitivity
powered_1024,7d,32768,ensemble,tauA,0.0703544502372627,7.48605601325765e-05,0.5204239120254746,0.100948846741003,-0.0113234680902678,0.7201008147367141,True,descriptive_sensitivity
powered_1024,7d,32768,ensemble,g_LK,0.0363659777722277,0.1300244155063428,0.5045286744505495,0.0913934900244022,0.0158544389305461,0.5681560922686553,False,descriptive_sensitivity
powered_1024,7d,32768,ensemble,g_h,0.0292744365009989,0.3374578474928609,0.5073559253246753,0.0845468675239252,0.0159164084016083,0.6678579641506355,False,descriptive_sensitivity
powered_1024,7d,32768,ensemble,c_th2ctx,0.0434487387612387,0.0406472493487362,0.4969629979395604,0.0946563320328753,-0.0465175406061462,0.6289631512299483,False,descriptive_sensitivity
powered_1024,7d,32768,member_1,mue,0.0691642342032966,0.0001053379795164,0.5221058238636364,0.0987558657991545,-0.014382762443347,0.5651516520443732,True,descriptive_sensitivity
powered_1024,7d,32768,member_1,mui,0.257644699050949,1.9656804286928608e-60,0.6323920220404595,0.047799779220127,-0.0034116145084226,0.0272068273298581,True,descriptive_sensitivity
powered_1024,7d,32768,member_1,b,0.0236911525974026,0.604901448186699,0.4951591377372627,0.0892929822411608,0.0034092712503479,0.3605520550422219,False,descriptive_sensitivity
powered_1024,7d,32768,member_1,tauA,0.0665828312312687,0.0002165620193409,0.5208268294205795,0.0988583918206989,-0.0094122762893675,0.7377718776602198,True,descriptive_sensitivity
powered_1024,7d,32768,member_1,g_LK,0.0625526816933067,0.0006315499059349,0.5126240946553446,0.0961738521720237,0.0062793183387839,0.5412688970847628,True,descriptive_sensitivity
powered_1024,7d,32768,member_1,g_h,0.0338870114260739,0.1859793588469732,0.5095383132492508,0.0877328118978142,0.0181954354065965,0.6416251963800383,False,descriptive_sensitivity
powered_1024,7d,32768,member_1,c_th2ctx,0.0735299856393606,2.9247372536090487e-05,0.4888334321928071,0.1008330694428481,-0.046420857488556,0.6112278999101314,True,descriptive_sensitivity
powered_1024,7d,32768,member_2,mue,0.0558630822302697,0.0032201140680905,0.5085061422952049,0.0994768039829461,-0.0005719011478504,0.5637549414473588,True,descriptive_sensitivity
powered_1024,7d,32768,member_2,mui,0.2832597090409591,3.453377096884704e-73,0.3320810049325674,0.0476402683671307,0.0035667141751218,0.0204114890083666,True,descriptive_sensitivity
powered_1024,7d,32768,member_2,b,0.0327836226273726,0.2162878151968754,0.4982361388611389,0.0904008320309028,0.0006055379108147,0.2913149458416313,False,descriptive_sensitivity
powered_1024,7d,32768,member_2,tauA,0.0599937172202796,0.0012035856699188,0.5156084150224776,0.0993728540871275,-0.0049469842888356,0.7281877783848718,True,descriptive_sensitivity
powered_1024,7d,32768,member_2,g_LK,0.0345699222652347,0.1689509075019746,0.4959532654845154,0.0901921992698426,0.0114329267380526,0.5548618417435585,False,descriptive_sensitivity
powered_1024,7d,32768,member_2,g_h,0.0270510739260739,0.4342884961870132,0.5089763751873126,0.0877033236164751,0.0125467963389382,0.5696264891831078,False,descriptive_sensitivity
powered_1024,7d,32768,member_2,c_th2ctx,0.0314373126873126,0.2581986782186218,0.5004312094155844,0.0927080544429265,-0.0476326935859106,0.6222401716462264,False,descriptive_sensitivity
powered_1024,7d,32768,member_3,mue,0.0908056786963037,8.487594696769103e-08,0.5254208681943057,0.1050488930066366,-0.0170781863871525,0.5322902644716841,True,descriptive_sensitivity
powered_1024,7d,32768,member_3,mui,0.304530430506993,8.998738827027428e-85,0.3301200752372627,0.0478002270730568,0.0043234952449893,0.0287465761673756,True,descriptive_sensitivity
powered_1024,7d,32768,member_3,b,0.0587049669080919,0.0016485224411236,0.5321553446553446,0.0891388452917832,-0.0114083315056632,0.362715322721922,True,descriptive_sensitivity
powered_1024,7d,32768,member_3,tauA,0.0784586507242757,6.263267768134832e-06,0.5193683269855145,0.1037582244507049,-0.0125732806627638,0.7005786379570647,True,descriptive_sensitivity
powered_1024,7d,32768,member_3,g_LK,0.0467589051573427,0.0219939896842813,0.5090436906843157,0.0926134206745984,0.0151345188332925,0.5584949772415614,True,descriptive_sensitivity
powered_1024,7d,32768,member_3,g_h,0.0363123204920079,0.1310712382442402,0.5103334165834166,0.0863145563225541,0.0141042150189605,0.6981310391684131,False,descriptive_sensitivity
powered_1024,7d,32768,member_3,c_th2ctx,0.0497676151973026,0.0121034467890774,0.4961298467157842,0.0965460418190233,-0.0460668951418483,0.632862383376913,True,descriptive_sensitivity
powered_1024,7d,32768,member_4,mue,0.0845424107142857,8.139230936147373e-07,0.5224453281093906,0.1046213808052037,-0.015584535040034,0.5338439488629745,True,descriptive_sensitivity
powered_1024,7d,32768,member_4,mui,0.282911424512987,5.25263151042145e-73,0.3365062671703296,0.0485262310610343,0.0041977027285611,0.0290940794208871,True,descriptive_sensitivity
powered_1024,7d,32768,member_4,b,0.0452906468531468,0.0290419275256095,0.4838959868256743,0.0920771068134558,0.0083142773200961,0.3486521019195052,False,descriptive_sensitivity
powered_1024,7d,32768,member_4,tauA,0.0744733781843156,2.1945638434566543e-05,0.5169039944430569,0.1038276334692339,-0.0090608334794524,0.7028321746018225,True,descriptive_sensitivity
powered_1024,7d,32768,member_4,g_LK,0.0380615478271728,0.1003017892933062,0.4993970872877122,0.0927382245832284,0.0180363891649903,0.5682931668857878,False,descriptive_sensitivity
powered_1024,7d,32768,member_4,g_h,0.034798209602897,0.1635419732673484,0.5071764173326674,0.0866131596817241,0.0138564821118052,0.6945698865563418,False,descriptive_sensitivity
powered_1024,7d,32768,member_4,c_th2ctx,0.0505295485764235,0.0103432305344041,0.506644722465035,0.0967535852626791,-0.0506466721199103,0.6136588257176743,True,descriptive_sensitivity
powered_1024,7d,32768,member_5,mue,0.0715885676823177,5.221215661005424e-05,0.514053329483017,0.1021391077690939,-0.0098342392502672,0.5449938372171359,True,descriptive_sensitivity
powered_1024,7d,32768,member_5,mui,0.300601742007992,1.4533203655427388e-82,0.6691501857517483,0.0487747444315522,-0.0039342605741694,0.0359965435817188,True,descriptive_sensitivity
powered_1024,7d,32768,member_5,b,0.0563567292082917,0.0028734094583137,0.5220277769105894,0.09289754159889,-0.0078270974354381,0.3954574571843756,True,descriptive_sensitivity
powered_1024,7d,32768,member_5,tauA,0.0806585992132866,3.0479039554921597e-06,0.5268920532592407,0.1026549493939274,-0.0184356779463996,0.7108654543479589,True,descriptive_sensitivity
powered_1024,7d,32768,member_5,g_LK,0.0509685626873126,0.0094375558159969,0.5043501420454546,0.0951854247952251,0.0241660708779818,0.6021776715546454,True,descriptive_sensitivity
powered_1024,7d,32768,member_5,g_h,0.0180415287837162,0.8866565859159004,0.4999131727647352,0.0824165695515106,0.0213169720591395,0.7185771210637644,False,descriptive_sensitivity
powered_1024,7d,32768,member_5,c_th2ctx,0.0523051167582417,0.0071053099312916,0.4924109094030969,0.095653653177539,-0.0422513168741716,0.6392251388161577,True,descriptive_sensitivity
