parameter,ensemble,member_1,member_2,member_3,member_4,member_5
b,0.6811322857163876,0.604901448186699,0.2162878151968754,0.0016485224411236,0.0290419275256095,0.0028734094583137
c_th2ctx,0.0406472493487362,2.9247372536090487e-05,0.2581986782186218,0.0121034467890774,0.0103432305344041,0.0071053099312916
g_LK,0.1300244155063428,0.0006315499059349,0.1689509075019746,0.0219939896842813,0.1003017892933062,0.0094375558159969
g_h,0.3374578474928609,0.1859793588469732,0.4342884961870132,0.1310712382442402,0.1635419732673484,0.8866565859159004
mue,1.111060941272418e-05,0.0001053379795164,0.0032201140680905,8.487594696769103e-08,8.139230936147373e-07,5.221215661005424e-05
mui,6.020373642274162e-31,1.9656804286928608e-60,3.453377096884704e-73,8.998738827027428e-85,5.25263151042145e-73,1.4533203655427388e-82
tauA,7.48605601325765e-05,0.0002165620193409,0.0012035856699188,6.263267768134832e-06,2.1945638434566543e-05,3.0479039554921597e-06
