track,analysis,parameter,f_between,trace_between_fraction,trace_within,trace_between,trace_mix,pairwise_mahal_mean,n_samples_total,member_counts
8d,primary_xo_illustrative_mc_decomp,mue,0.001569878136407707,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,mui,0.008047459859176908,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,b,0.0353845286535598,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,tauA,0.008815401411126989,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,g_LK,0.017697528762972106,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,g_h,0.0017759001425487406,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,c_th2ctx,0.0030912148708577554,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
8d,primary_xo_illustrative_mc_decomp,c_ctx2th,0.0007681582118112633,0.007728681232817203,0.2894433286111275,0.002254439062675191,0.2916977676738026,0.4112356098721963,50000,"[9834, 10100, 9946, 9982, 10138]"
7d,primary_xo_illustrative_mc_decomp,mue,0.008722823881766407,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
7d,primary_xo_illustrative_mc_decomp,mui,0.01811455075668241,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
7d,primary_xo_illustrative_mc_decomp,b,0.08037323936146704,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
7d,primary_xo_illustrative_mc_decomp,tauA,0.012975037315254359,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
7d,primary_xo_illustrative_mc_decomp,g_LK,0.0070679069862482425,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
7d,primary_xo_illustrative_mc_decomp,g_h,0.009786906723839972,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
7d,primary_xo_illustrative_mc_decomp,c_th2ctx,0.00565166762368126,0.02109368733529719,0.19866457139930682,0.004280867637159844,0.20294543903646664,0.6069446511308504,50000,"[9890, 9998, 10058, 9978, 10076]"
