parameter,ensemble,member_1,member_2,member_3,member_4,member_5
b,0.084676287787086,0.0891561707383847,0.086022016396155,0.0849807218886728,0.08891536331008,0.088451448534181
c_ctx2th,0.0840497577141014,0.0845964839176882,0.0848923031820207,0.084157352710418,0.0840415621144737,0.0852494420417859
c_th2ctx,0.0951266406217773,0.1012746399170252,0.0949890336524453,0.0946259504693458,0.0976303916083476,0.095897829750061
g_LK,0.0896037746247968,0.0945046431504964,0.0889309036118238,0.0893305341159883,0.0953976625785915,0.0899922739294419
g_h,0.0858201561140341,0.0862599981918936,0.0886334293929265,0.0884506032137766,0.089235240625639,0.0857157337941949
mue,0.1006177320846431,0.1036301298441444,0.1009868918563504,0.0980588329639915,0.1049265084811077,0.0998323812041779
mui,0.0354975978340053,0.045154000214187,0.0444311719980098,0.0480528286335016,0.0449102813836229,0.0424496523317057
tauA,0.1002676120911418,0.1025646496693388,0.1008926501270112,0.098033317483437,0.1044861695357987,0.0989334888623918
