parameter,ensemble,member_1,member_2,member_3,member_4,member_5
b,0.7854500340935979,0.1219648118441336,0.9479517991372288,0.0409458939316617,0.554832997158443,0.7219754117119148
c_ctx2th,0.9954907521832056,0.9936420699461564,0.972199370240513,0.8893480550148171,0.8629424956116889,0.9251321479642158
c_th2ctx,0.0252804185231781,0.0033300729888999,5.802939211450258e-06,0.0692281310322664,0.0115844339476531,0.0615951034035856
g_LK,0.3415821723615128,0.0806665226455018,0.5286135016284306,0.2431750277416632,0.044920560722147,0.0086863623465119
g_h,0.656669908617856,0.6079359850511298,0.7229573704310428,0.1588727094105624,0.1474855047470639,0.5296190843536472
mue,5.237741906063496e-05,5.647349870452476e-07,5.377925671441029e-05,0.0053125709303412,1.5802545252922986e-08,0.0002324194468909
mui,5.235034647431306e-58,1.0248449691112907e-86,3.854979352410479e-80,2.301461173571775e-73,4.260094516299401e-80,3.9644624926577723e-110
tauA,4.364710225526788e-05,7.1870543162326936e-06,1.752934866197987e-05,0.0001336534934018,4.415519444802714e-07,8.385553387391645e-05
