parameter,ensemble,member_1,member_2,member_3,member_4,member_5
b,0.3630610935081627,0.3605520550422219,0.2913149458416313,0.362715322721922,0.3486521019195052,0.3954574571843756
c_th2ctx,0.6289631512299483,0.6112278999101314,0.6222401716462264,0.632862383376913,0.6136588257176743,0.6392251388161577
g_LK,0.5681560922686553,0.5412688970847628,0.5548618417435585,0.5584949772415614,0.5682931668857878,0.6021776715546454
g_h,0.6678579641506355,0.6416251963800383,0.5696264891831078,0.6981310391684131,0.6945698865563418,0.7185771210637644
mue,0.5519552714021922,0.5651516520443732,0.5637549414473588,0.5322902644716841,0.5338439488629745,0.5449938372171359
mui,0.0312785415954388,0.0272068273298581,0.0204114890083666,0.0287465761673756,0.0290940794208871,0.0359965435817188
tauA,0.7201008147367141,0.7377718776602198,0.7281877783848718,0.7005786379570647,0.7028321746018225,0.7108654543479589
