dataset_id,track,scale,estimator,parameter,ks_statistic,ks_pvalue,rank_mean,rank_variance,bias_mean,normalized_posterior_sd_median,holm_clear_issue
powered_1024,7d,32768,ensemble,mue,0.0766625952172826,1.111060941272418e-05,0.5188990696803197,0.1009869135626717,-0.0120039305020327,0.5519552714021922,True
powered_1024,7d,32768,ensemble,mui,0.1843927556818182,6.020373642274162e-31,0.4607550652472527,0.038363569105952,0.0012246498590684,0.0312785415954388,True
powered_1024,7d,32768,ensemble,tauA,0.0703544502372627,7.48605601325765e-05,0.5204239120254746,0.100948846741003,-0.0113234680902678,0.7201008147367141,True
powered_1024,7d,32768,member_1,mue,0.0691642342032966,0.0001053379795164,0.5221058238636364,0.0987558657991545,-0.014382762443347,0.5651516520443732,True
powered_1024,7d,32768,member_1,mui,0.257644699050949,1.9656804286928608e-60,0.6323920220404595,0.047799779220127,-0.0034116145084226,0.0272068273298581,True
powered_1024,7d,32768,member_1,tauA,0.0665828312312687,0.0002165620193409,0.5208268294205795,0.0988583918206989,-0.0094122762893675,0.7377718776602198,True
powered_1024,7d,32768,member_2,mue,0.0558630822302697,0.0032201140680905,0.5085061422952049,0.0994768039829461,-0.0005719011478504,0.5637549414473588,True
powered_1024,7d,32768,member_2,mui,0.2832597090409591,3.453377096884704e-73,0.3320810049325674,0.0476402683671307,0.0035667141751218,0.0204114890083666,True
powered_1024,7d,32768,member_2,tauA,0.0599937172202796,0.0012035856699188,0.5156084150224776,0.0993728540871275,-0.0049469842888356,0.7281877783848718,True
powered_1024,7d,32768,member_3,mue,0.0908056786963037,8.487594696769103e-08,0.5254208681943057,0.1050488930066366,-0.0170781863871525,0.5322902644716841,True
powered_1024,7d,32768,member_3,mui,0.304530430506993,8.998738827027428e-85,0.3301200752372627,0.0478002270730568,0.0043234952449893,0.0287465761673756,True
powered_1024,7d,32768,member_3,tauA,0.0784586507242757,6.263267768134832e-06,0.5193683269855145,0.1037582244507049,-0.0125732806627638,0.7005786379570647,True
powered_1024,7d,32768,member_4,mue,0.0845424107142857,8.139230936147373e-07,0.5224453281093906,0.1046213808052037,-0.015584535040034,0.5338439488629745,True
powered_1024,7d,32768,member_4,mui,0.282911424512987,5.25263151042145e-73,0.3365062671703296,0.0485262310610343,0.0041977027285611,0.0290940794208871,True
powered_1024,7d,32768,member_4,tauA,0.0744733781843156,2.1945638434566543e-05,0.5169039944430569,0.1038276334692339,-0.0090608334794524,0.7028321746018225,True
powered_1024,7d,32768,member_5,mue,0.0715885676823177,5.221215661005424e-05,0.514053329483017,0.1021391077690939,-0.0098342392502672,0.5449938372171359,True
powered_1024,7d,32768,member_5,mui,0.300601742007992,1.4533203655427388e-82,0.6691501857517483,0.0487747444315522,-0.0039342605741694,0.0359965435817188,True
powered_1024,7d,32768,member_5,tauA,0.0806585992132866,3.0479039554921597e-06,0.5268920532592407,0.1026549493939274,-0.0184356779463996,0.7108654543479589,True
